source,target,weight
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,11,1
0,14,1
0,15,1
0,16,1
0,19,1
0,22,1
0,25,1
0,29,1
0,31,1
0,32,1
0,48,1
0,55,1
0,64,1
0,66,1
0,75,1
0,97,1
0,115,1
0,116,1
0,123,1
0,125,1
0,137,1
0,143,1
0,151,1
0,162,1
0,163,1
0,170,1
0,176,1
0,181,1
0,183,1
0,195,1
0,202,1
0,206,1
0,213,1
0,214,1
0,216,1
0,219,1
0,244,1
0,245,1
0,265,1
0,277,1
0,299,1
0,303,1
0,309,1
0,318,1
0,335,1
0,338,1
0,370,1
0,372,1
0,395,1
0,407,1
0,419,1
0,442,1
0,447,1
0,473,1
0,510,1
0,525,1
0,550,1
0,628,1
0,640,1
0,650,1
0,661,1
0,683,1
0,719,1
0,730,1
0,731,1
0,736,1
0,752,1
0,771,1
0,825,1
0,830,1
0,861,1
0,881,1
0,900,1
0,903,1
0,1055,1
0,1109,1
0,1117,1
0,1181,1
0,1212,1
0,1229,1
0,1231,1
0,1253,1
0,1289,1
0,1348,1
0,1372,1
0,1380,1
0,1390,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,9,1
1,12,1
1,40,1
1,41,1
1,48,1
1,62,1
1,69,1
1,73,1
1,152,1
1,156,1
1,159,1
1,160,1
1,209,1
1,242,1
1,258,1
1,309,1
1,316,1
1,388,1
1,444,1
1,521,1
1,556,1
1,614,1
1,622,1
1,687,1
1,721,1
1,748,1
1,752,1
1,768,1
1,774,1
1,803,1
1,979,1
1,1107,1
1,1165,1
1,1224,1
1,1302,1
1,1379,1
1,1398,1
1,1457,1
2,3,1
2,4,1
2,6,1
2,7,1
2,9,1
2,10,1
2,17,1
2,20,1
2,28,1
2,31,1
2,37,1
2,38,1
2,41,1
2,46,1
2,47,1
2,51,1
2,96,1
2,110,1
2,121,1
2,136,1
2,145,1
2,157,1
2,167,1
2,180,1
2,181,1
2,194,1
2,199,1
2,221,1
2,273,1
2,280,1
2,287,1
2,298,1
2,314,1
2,346,1
2,358,1
2,360,1
2,365,1
2,369,1
2,412,1
2,459,1
2,462,1
2,479,1
2,500,1
2,501,1
2,517,1
2,531,1
2,532,1
2,570,1
2,586,1
2,593,1
2,607,1
2,612,1
2,657,1
2,685,1
2,714,1
2,836,1
2,838,1
2,853,1
2,922,1
2,937,1
2,973,1
2,975,1
2,1021,1
2,1033,1
2,1050,1
2,1064,1
2,1097,1
2,1128,1
2,1132,1
2,1148,1
2,1198,1
2,1221,1
2,1255,1
2,1264,1
2,1271,1
2,1297,1
2,1315,1
2,1352,1
2,1388,1
2,1421,1
3,5,1
3,12,1
3,14,1
3,15,1
3,80,1
3,86,1
3,93,1
3,117,1
3,126,1
3,137,1
3,157,1
3,162,1
3,179,1
3,182,1
3,185,1
3,250,1
3,253,1
3,267,1
3,304,1
3,308,1
3,374,1
3,484,1
3,491,1
3,564,1
3,600,1
3,612,1
3,679,1
3,690,1
3,725,1
3,742,1
3,749,1
3,789,1
3,819,1
3,822,1
3,829,1
3,838,1
3,853,1
3,877,1
3,892,1
3,948,1
3,962,1
3,974,1
3,995,1
3,1105,1
3,1145,1
3,1182,1
3,1316,1
3,1383,1
3,1474,1
3,1498,1
4,7,1
4,8,1
4,13,1
4,18,1
4,20,1
4,30,1
4,38,1
4,49,1
4,55,1
4,61,1
4,83,1
4,89,1
4,93,1
4,105,1
4,110,1
4,120,1
4,147,1
4,156,1
4,191,1
4,198,1
4,223,1
4,226,1
4,260,1
4,271,1
4,276,1
4,278,1
4,291,1
4,292,1
4,316,1
4,317,1
4,335,1
4,343,1
4,348,1
4,387,1
4,393,1
4,404,1
4,408,1
4,415,1
4,442,1
4,446,1
4,497,1
4,505,1
4,506,1
4,514,1
4,602,1
4,610,1
4,660,1
4,668,1
4,718,1
4,734,1
4,743,1
4,806,1
4,899,1
4,944,1
4,959,1
4,977,1
4,982,1
4,1045,1
4,1074,1
4,1146,1
4,1228,1
4,1309,1
4,1325,1
4,1330,1
4,1353,1
4,1382,1
4,1424,1
4,1456,1
5,10,1
5,12,1
5,14,1
5,17,1
5,21,1
5,27,1
5,30,1
5,33,1
5,43,1
5,47,1
5,53,1
5,54,1
5,58,1
5,59,1
5,61,1
5,63,1
5,68,1
5,71,1
5,79,1
5,84,1
5,85,1
5,86,1
5,88,1
5,90,1
5,92,1
5,103,1
5,105,1
5,111,1
5,147,1
5,148,1
5,152,1
5,158,1
5,171,1
5,173,1
5,197,1
5,200,1
5,201,1
5,226,1
5,229,1
5,237,1
5,240,1
5,293,1
5,296,1
5,298,1
5,300,1
5,306,1
5,330,1
5,338,1
5,339,1
5,363,1
5,380,1
5,385,1
5,391,1
5,401,1
5,433,1
5,437,1
5,441,1
5,476,1
5,489,1
5,514,1
5,515,1
5,519,1
5,524,1
5,535,1
5,536,1
5,595,1
5,604,1
5,608,1
5,617,1
5,618,1
5,627,1
5,629,1
5,637,1
5,650,1
5,651,1
5,664,1
5,696,1
5,701,1
5,713,1
5,717,1
5,722,1
5,774,1
5,785,1
5,805,1
5,807,1
5,848,1
5,906,1
5,908,1
5,968,1
5,984,1
5,986,1
5,1055,1
5,1077,1
5,1100,1
5,1159,1
5,1180,1
5,1185,1
5,1188,1
5,1190,1
5,1235,1
5,1253,1
5,1276,1
5,1308,1
5,1309,1
5,1340,1
5,1346,1
5,1359,1
5,1362,1
5,1387,1
5,1392,1
5,1411,1
5,1438,1
5,1475,1
5,1483,1
5,1485,1
6,8,1
6,9,1
6,10,1
6,16,1
6,20,1
6,26,1
6,34,1
6,35,1
6,37,1
6,42,1
6,90,1
6,129,1
6,131,1
6,139,1
6,144,1
6,163,1
6,201,1
6,207,1
6,216,1
6,255,1
6,270,1
6,324,1
6,388,1
6,398,1
6,458,1
6,509,1
6,558,1
6,624,1
6,633,1
6,651,1
6,675,1
6,695,1
6,720,1
6,774,1
6,805,1
6,817,1
6,894,1
6,909,1
6,919,1
6,952,1
6,1005,1
6,1026,1
6,1129,1
6,1151,1
6,1285,1
6,1346,1
6,1394,1
6,1400,1
6,1408,1
6,1440,1
6,1444,1
6,1490,1
7,11,1
7,13,1
7,43,1
7,45,1
7,65,1
7,67,1
7,84,1
7,87,1
7,133,1
7,146,1
7,229,1
7,287,1
7,296,1
7,326,1
7,339,1
7,397,1
7,398,1
7,506,1
7,521,1
7,543,1
7,578,1
7,664,1
7,685,1
7,726,1
7,784,1
7,811,1
7,840,1
7,881,1
7,904,1
7,917,1
7,931,1
7,955,1
7,957,1
7,1010,1
7,1023,1
7,1028,1
7,1065,1
7,1075,1
7,1089,1
7,1132,1
7,1135,1
7,1144,1
7,1149,1
7,1196,1
7,1207,1
7,1243,1
7,1281,1
7,1324,1
7,1432,1
7,1439,1
7,1484,1
8,13,1
8,16,1
8,17,1
8,18,1
8,19,1
8,22,1
8,23,1
8,25,1
8,36,1
8,43,1
8,60,1
8,65,1
8,79,1
8,80,1
8,82,1
8,104,1
8,115,1
8,119,1
8,130,1
8,134,1
8,140,1
8,141,1
8,151,1
8,162,1
8,165,1
8,191,1
8,206,1
8,227,1
8,294,1
8,304,1
8,305,1
8,318,1
8,324,1
8,337,1
8,350,1
8,353,1
8,359,1
8,367,1
8,426,1
8,433,1
8,572,1
8,588,1
8,619,1
8,623,1
8,663,1
8,667,1
8,685,1
8,686,1
8,693,1
8,707,1
8,726,1
8,834,1
8,855,1
8,917,1
8,928,1
8,997,1
8,1001,1
8,1063,1
8,1066,1
8,1104,1
8,1113,1
8,1188,1
8,1235,1
8,1334,1
8,1354,1
8,1489,1
8,1497,1
9,114,1
9,225,1
9,235,1
9,340,1
9,346,1
9,378,1
9,380,1
9,527,1
9,551,1
9,627,1
9,1127,1
9,1140,1
9,1282,1
9,1299,1
9,1337,1
9,1406,1
9,1452,1
10,11,1
10,18,1
10,38,1
10,42,1
10,71,1
10,72,1
10,95,1
10,101,1
10,132,1
10,211,1
10,214,1
10,241,1
10,245,1
10,359,1
10,384,1
10,508,1
10,550,1
10,601,1
10,616,1
10,625,1
10,640,1
10,720,1
10,928,1
10,984,1
10,994,1
10,1214,1
10,1308,1
11,85,1
11,89,1
11,359,1
11,579,1
11,618,1
11,981,1
11,1370,1
12,15,1
12,21,1
12,26,1
12,39,1
12,40,1
12,70,1
12,109,1
12,173,1
12,174,1
12,197,1
12,198,1
12,201,1
12,243,1
12,280,1
12,289,1
12,294,1
12,317,1
12,362,1
12,373,1
12,375,1
12,423,1
12,588,1
12,604,1
12,605,1
12,653,1
12,815,1
12,864,1
12,890,1
12,1103,1
12,1164,1
12,1259,1
13,32,1
13,33,1
13,44,1
13,52,1
13,57,1
13,76,1
13,81,1
13,143,1
13,234,1
13,238,1
13,259,1
13,295,1
13,329,1
13,414,1
13,511,1
13,545,1
13,552,1
13,557,1
13,566,1
13,575,1
13,603,1
13,613,1
13,681,1
13,722,1
13,779,1
13,835,1
13,851,1
13,870,1
13,882,1
13,979,1
13,1118,1
13,1239,1
14,19,1
14,67,1
14,93,1
14,95,1
14,135,1
14,184,1
14,251,1
14,278,1
14,281,1
14,297,1
14,319,1
14,325,1
14,356,1
14,399,1
14,411,1
14,499,1
14,648,1
14,670,1
14,706,1
14,775,1
14,876,1
14,1108,1
14,1179,1
14,1349,1
14,1361,1
15,21,1
15,22,1
15,23,1
15,27,1
15,28,1
15,39,1
15,51,1
15,61,1
15,66,1
15,94,1
15,113,1
15,120,1
15,122,1
15,124,1
15,132,1
15,136,1
15,145,1
15,160,1
15,182,1
15,215,1
15,224,1
15,265,1
15,282,1
15,288,1
15,307,1
15,314,1
15,315,1
15,321,1
15,337,1
15,341,1
15,363,1
15,418,1
15,469,1
15,514,1
15,535,1
15,537,1
15,545,1
15,584,1
15,610,1
15,660,1
15,748,1
15,750,1
15,753,1
15,787,1
15,811,1
15,818,1
15,849,1
15,866,1
15,886,1
15,986,1
15,995,1
15,1039,1
15,1062,1
15,1098,1
15,1131,1
15,1138,1
15,1169,1
15,1205,1
15,1281,1
15,1290,1
15,1301,1
15,1330,1
15,1430,1
15,1444,1
15,1449,1
15,1458,1
15,1459,1
16,24,1
16,28,1
16,35,1
16,45,1
16,70,1
16,80,1
16,82,1
16,84,1
16,85,1
16,98,1
16,124,1
16,138,1
16,151,1
16,175,1
16,186,1
16,227,1
16,248,1
16,257,1
16,279,1
16,283,1
16,371,1
16,414,1
16,419,1
16,446,1
16,449,1
16,459,1
16,460,1
16,467,1
16,472,1
16,491,1
16,499,1
16,512,1
16,533,1
16,556,1
16,577,1
16,674,1
16,682,1
16,684,1
16,692,1
16,712,1
16,781,1
16,801,1
16,804,1
16,881,1
16,885,1
16,921,1
16,930,1
16,1061,1
16,1068,1
16,1091,1
16,1174,1
16,1186,1
16,1409,1
16,1428,1
16,1497,1
17,23,1
17,29,1
17,32,1
17,34,1
17,36,1
17,37,1
17,54,1
17,56,1
17,62,1
17,71,1
17,78,1
17,81,1
17,104,1
17,116,1
17,123,1
17,128,1
17,144,1
17,146,1
17,154,1
17,157,1
17,175,1
17,215,1
17,279,1
17,290,1
17,295,1
17,357,1
17,373,1
17,375,1
17,444,1
17,507,1
17,590,1
17,615,1
17,648,1
17,771,1
17,776,1
17,813,1
17,910,1
17,946,1
17,947,1
17,979,1
17,988,1
17,1022,1
17,1068,1
17,1071,1
17,1236,1
17,1241,1
17,1291,1
17,1295,1
17,1299,1
17,1377,1
17,1453,1
17,1476,1
17,1479,1
18,25,1
18,27,1
18,35,1
18,39,1
18,45,1
18,51,1
18,62,1
18,65,1
18,77,1
18,100,1
18,109,1
18,134,1
18,169,1
18,178,1
18,189,1
18,194,1
18,199,1
18,246,1
18,312,1
18,320,1
18,334,1
18,394,1
18,416,1
18,450,1
18,469,1
18,487,1
18,490,1
18,530,1
18,564,1
18,592,1
18,603,1
18,691,1
18,702,1
18,742,1
18,793,1
18,798,1
18,827,1
18,908,1
18,910,1
18,913,1
18,914,1
18,1004,1
18,1012,1
18,1034,1
18,1073,1
18,1080,1
18,1109,1
18,1145,1
18,1203,1
18,1274,1
18,1342,1
18,1352,1
19,24,1
19,113,1
19,233,1
19,357,1
19,475,1
19,1084,1
19,1171,1
20,33,1
20,41,1
20,44,1
20,49,1
20,59,1
20,60,1
20,92,1
20,95,1
20,222,1
20,436,1
20,488,1
20,607,1
20,611,1
20,624,1
20,686,1
20,758,1
20,798,1
20,813,1
20,820,1
20,823,1
20,901,1
20,1018,1
20,1078,1
20,1083,1
20,1112,1
20,1305,1
20,1338,1
20,1386,1
20,1426,1
20,1485,1
21,29,1
21,30,1
21,116,1
21,123,1
21,137,1
21,155,1
21,239,1
21,252,1
21,261,1
21,263,1
21,270,1
21,279,1
21,424,1
21,460,1
21,523,1
21,560,1
21,581,1
21,738,1
21,764,1
21,766,1
21,794,1
21,906,1
21,953,1
21,965,1
21,978,1
21,1073,1
21,1167,1
21,1310,1
21,1421,1
21,1453,1
22,47,1
22,72,1
22,83,1
22,222,1
22,236,1
22,369,1
22,474,1
22,572,1
22,605,1
22,676,1
22,684,1
22,697,1
22,710,1
22,845,1
22,862,1
22,1412,1
23,24,1
23,50,1
23,52,1
23,54,1
23,56,1
23,77,1
23,78,1
23,83,1
23,96,1
23,97,1
23,150,1
23,168,1
23,170,1
23,171,1
23,184,1
23,207,1
23,211,1
23,221,1
23,262,1
23,297,1
23,310,1
23,321,1
23,420,1
23,426,1
23,435,1
23,445,1
23,462,1
23,466,1
23,501,1
23,537,1
23,578,1
23,622,1
23,623,1
23,632,1
23,693,1
23,735,1
23,828,1
23,831,1
23,878,1
23,934,1
23,935,1
23,936,1
23,957,1
23,1057,1
23,1068,1
23,1134,1
23,1150,1
23,1190,1
23,1204,1
23,1211,1
23,1247,1
23,1261,1
23,1288,1
23,1387,1
23,1447,1
23,1465,1
23,1472,1
24,26,1
24,111,1
24,140,1
24,142,1
24,202,1
24,349,1
25,50,1
25,53,1
25,68,1
25,210,1
25,268,1
25,389,1
25,482,1
25,579,1
25,678,1
25,787,1
25,873,1
25,970,1
25,1418,1
25,1467,1
26,31,1
26,56,1
26,112,1
26,138,1
26,155,1
26,188,1
26,266,1
26,269,1
26,350,1
26,362,1
26,407,1
26,448,1
26,461,1
26,560,1
26,569,1
26,727,1
26,1022,1
26,1259,1
27,108,1
27,182,1
27,217,1
27,234,1
27,354,1
27,968,1
28,40,1
28,64,1
28,102,1
28,106,1
28,256,1
28,427,1
28,477,1
28,479,1
28,512,1
28,573,1
28,673,1
28,750,1
28,763,1
28,858,1
28,975,1
28,1144,1
28,1311,1
29,88,1
29,94,1
29,110,1
29,126,1
29,140,1
29,153,1
29,181,1
29,213,1
29,227,1
29,231,1
29,243,1
29,252,1
29,299,1
29,393,1
29,929,1
29,980,1
29,1030,1
29,1113,1
29,1127,1
29,1213,1
29,1214,1
29,1243,1
