Node,Community
0,0
1,1
2,116
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,108
40,108
41,41
42,42
43,41
44,44
45,45
46,46
47,47
48,177
49,49
50,50
51,51
52,194
53,194
54,194
55,194
56,41
57,57
58,183
59,194
60,194
61,194
62,194
63,194
64,64
65,194
66,41
67,194
68,41
69,194
70,194
71,41
72,194
73,41
74,74
75,41
76,76
77,41
78,194
79,79
80,194
81,194
82,194
83,194
84,41
85,194
86,41
87,41
88,194
89,194
90,194
91,194
92,194
93,194
94,41
95,194
96,194
97,194
98,98
99,194
100,41
101,41
102,41
103,41
104,104
105,105
106,106
107,194
108,108
109,194
110,41
111,194
112,194
113,113
114,114
115,79
116,116
117,194
118,118
119,194
120,194
121,194
122,194
123,194
124,41
125,125
126,126
127,194
128,194
129,194
130,130
131,194
132,194
133,194
134,194
135,194
136,194
137,194
138,194
139,194
140,108
141,194
142,194
143,186
144,194
145,113
146,194
147,194
148,194
149,116
150,194
151,194
152,41
153,41
154,41
155,194
156,194
157,194
158,194
159,194
160,126
161,194
162,194
163,194
164,194
165,194
166,194
167,167
168,194
169,194
170,170
171,171
172,194
173,194
174,174
175,41
176,194
177,177
178,194
179,179
180,194
181,181
182,194
183,183
184,194
185,194
186,186
187,194
188,194
189,189
190,190
191,191
192,194
193,193
194,194
195,195
196,196
197,197
198,198
199,199
200,200
201,201
202,202
203,203
204,204
205,205
206,206
207,207
208,194
209,183
210,194
211,211
212,212
213,213
214,214
215,215
216,194
