source,target,weight
0,1,1
0,2,1
0,3,1
0,4,1
0,6,1
0,12,1
0,18,1
0,19,1
0,21,1
0,23,1
0,32,1
0,61,1
0,70,1
0,83,1
0,118,1
0,138,1
0,162,1
0,473,1
0,493,1
0,504,1
0,720,1
0,767,1
0,833,1
0,870,1
0,871,1
0,886,1
0,994,1
0,1463,1
1,7,1
1,84,1
1,274,1
1,743,1
1,1377,1
2,51,1
2,325,1
2,431,1
2,601,1
3,11,1
3,38,1
3,498,1
3,1151,1
4,5,1
4,60,1
4,73,1
4,81,1
4,172,1
4,257,1
4,360,1
4,457,1
4,542,1
4,1232,1
4,1424,1
5,9,1
5,208,1
5,225,1
5,481,1
5,1312,1
6,22,1
6,33,1
6,129,1
6,140,1
6,253,1
6,521,1
6,567,1
6,691,1
7,8,1
7,10,1
7,13,1
7,35,1
7,40,1
7,47,1
7,54,1
7,74,1
7,79,1
7,156,1
7,173,1
7,412,1
7,447,1
7,492,1
7,806,1
7,962,1
7,973,1
7,1328,1
8,113,1
8,494,1
8,602,1
8,682,1
8,1344,1
9,16,1
9,25,1
9,26,1
9,30,1
9,43,1
9,62,1
9,76,1
9,85,1
9,133,1
9,241,1
9,289,1
9,402,1
9,711,1
9,716,1
9,900,1
9,930,1
9,1091,1
9,1262,1
9,1292,1
9,1491,1
10,77,1
10,200,1
10,472,1
11,132,1
12,52,1
12,80,1
12,110,1
12,125,1
12,174,1
12,189,1
12,216,1
12,231,1
12,352,1
12,390,1
12,489,1
12,1078,1
12,1337,1
13,14,1
13,27,1
13,41,1
13,55,1
13,95,1
13,163,1
13,214,1
13,299,1
13,301,1
13,354,1
13,491,1
13,593,1
13,702,1
13,887,1
13,1429,1
14,15,1
14,20,1
14,42,1
14,983,1
15,191,1
15,643,1
15,923,1
15,1101,1
15,1324,1
15,1334,1
16,17,1
16,424,1
16,747,1
16,1288,1
16,1459,1
17,56,1
17,249,1
17,1280,1
18,155,1
18,188,1
18,321,1
18,335,1
18,560,1
18,569,1
18,572,1
18,598,1
18,706,1
18,861,1
18,1012,1
18,1445,1
19,53,1
19,351,1
20,90,1
20,367,1
20,444,1
22,115,1
22,477,1
22,879,1
22,1145,1
23,24,1
23,1073,1
23,1349,1
24,28,1
24,29,1
24,34,1
24,134,1
24,142,1
24,199,1
24,217,1
24,410,1
24,843,1
24,1127,1
24,1175,1
24,1352,1
25,45,1
25,69,1
25,97,1
25,730,1
25,1293,1
25,1326,1
25,1420,1
26,36,1
26,103,1
26,107,1
26,1161,1
27,37,1
27,131,1
27,135,1
27,182,1
27,212,1
27,432,1
27,603,1
27,1396,1
28,101,1
28,106,1
28,147,1
28,202,1
28,582,1
28,588,1
28,630,1
28,645,1
28,736,1
28,792,1
28,1008,1
28,1136,1
29,31,1
29,66,1
29,92,1
29,341,1
29,513,1
31,48,1
31,344,1
31,779,1
32,50,1
32,72,1
32,165,1
32,204,1
32,221,1
33,39,1
33,63,1
33,433,1
33,464,1
33,609,1
34,78,1
34,121,1
34,159,1
34,233,1
34,337,1
35,859,1
36,46,1
36,68,1
36,93,1
36,104,1
36,120,1
36,324,1
36,681,1
36,960,1
37,88,1
38,486,1
38,959,1
38,1117,1
38,1213,1
39,44,1
39,59,1
39,86,1
39,161,1
39,239,1
39,368,1
39,385,1
40,242,1
40,548,1
41,205,1
41,261,1
41,276,1
42,58,1
43,149,1
43,223,1
43,264,1
44,207,1
46,71,1
46,123,1
46,146,1
47,49,1
47,57,1
47,65,1
47,89,1
47,158,1
47,179,1
47,277,1
47,328,1
47,330,1
47,557,1
47,941,1
47,964,1
47,1075,1
48,67,1
48,117,1
48,197,1
48,954,1
49,114,1
49,119,1
49,1488,1
50,64,1
50,224,1
50,268,1
51,171,1
51,201,1
51,272,1
51,282,1
51,318,1
51,343,1
51,355,1
51,501,1
51,612,1
51,1403,1
52,553,1
52,715,1
52,1105,1
53,400,1
53,536,1
53,801,1
53,1125,1
53,1319,1
54,175,1
54,1251,1
54,1258,1
55,145,1
55,372,1
55,399,1
55,440,1
55,647,1
55,673,1
55,733,1
55,939,1
55,1090,1
55,1340,1
56,296,1
57,386,1
58,126,1
58,378,1
58,429,1
58,563,1
58,605,1
58,911,1
58,1041,1
58,1132,1
58,1149,1
58,1225,1
61,526,1
61,769,1
62,623,1
62,818,1
62,1178,1
63,152,1
63,265,1
65,334,1
65,416,1
66,99,1
66,168,1
66,312,1
66,617,1
66,1036,1
66,1040,1
67,672,1
68,267,1
68,370,1
68,515,1
70,75,1
70,100,1
70,260,1
70,281,1
70,442,1
70,484,1
70,1047,1
70,1052,1
70,1373,1
70,1399,1
71,98,1
71,183,1
71,209,1
71,304,1
71,307,1
71,891,1
71,1021,1
71,1107,1
72,157,1
73,177,1
73,359,1
73,1435,1
74,109,1
74,137,1
74,373,1
74,518,1
74,537,1
74,586,1
75,1342,1
75,1380,1
77,187,1
77,590,1
77,1011,1
77,1037,1
77,1174,1
77,1427,1
78,227,1
78,232,1
78,255,1
78,595,1
78,606,1
78,642,1
79,82,1
79,136,1
79,164,1
79,738,1
79,809,1
79,1391,1
80,203,1
80,283,1
80,302,1
80,349,1
80,445,1
80,570,1
80,826,1
82,326,1
82,628,1
82,1113,1
85,102,1
85,112,1
85,148,1
85,211,1
85,246,1
85,258,1
85,407,1
85,938,1
85,1279,1
86,87,1
86,460,1
86,1068,1
87,122,1
87,176,1
87,190,1
87,213,1
87,317,1
87,358,1
87,621,1
87,827,1
87,893,1
87,979,1
87,1118,1
87,1157,1
87,1238,1
87,1283,1
87,1372,1
87,1379,1
87,1428,1
89,91,1
89,105,1
89,141,1
89,193,1
89,332,1
89,376,1
89,524,1
89,594,1
89,982,1
89,1049,1
89,1063,1
89,1194,1
89,1382,1
90,96,1
90,150,1
90,298,1
90,309,1
90,538,1
90,559,1
90,568,1
90,669,1
90,825,1
90,1092,1
90,1282,1
93,94,1
93,418,1
93,450,1
93,727,1
93,1297,1
94,230,1
94,238,1
94,280,1
94,316,1
94,348,1
97,160,1
97,251,1
97,544,1
97,668,1
98,322,1
98,342,1
98,420,1
98,430,1
98,465,1
98,910,1
98,921,1
98,1287,1
101,167,1
102,116,1
102,215,1
102,1241,1
103,108,1
103,139,1
103,196,1
105,111,1
105,127,1
105,198,1
105,814,1
106,1112,1
106,1134,1
108,144,1
108,423,1
109,166,1
109,218,1
109,510,1
110,475,1
111,128,1
111,181,1
111,235,1
111,313,1
111,338,1
111,585,1
111,615,1
111,1004,1
111,1057,1
111,1296,1
111,1331,1
112,243,1
112,347,1
112,854,1
112,1042,1
112,1165,1
112,1346,1
113,124,1
113,219,1
113,263,1
113,290,1
113,421,1
113,920,1
113,1264,1
115,143,1
115,194,1
115,578,1
116,222,1
116,340,1
117,185,1
117,627,1
117,763,1
117,1216,1
117,1484,1
118,443,1
118,540,1
118,1074,1
119,247,1
119,320,1
119,744,1
119,951,1
120,300,1
120,519,1
120,1137,1
121,613,1
122,310,1
122,1300,1
123,130,1
123,361,1
123,371,1
124,496,1
124,649,1
124,655,1
124,687,1
124,712,1
126,577,1
126,901,1
126,1447,1
127,269,1
127,675,1
127,1207,1
128,488,1
128,967,1
129,169,1
129,228,1
129,292,1
132,1401,1
133,262,1
133,1033,1
134,154,1
134,463,1
135,293,1
135,380,1
135,383,1
135,530,1
135,604,1
135,636,1
135,700,1
135,799,1
135,860,1
136,698,1
137,151,1
137,499,1
137,1098,1
137,1133,1
138,153,1
138,285,1
138,534,1
138,558,1
138,1267,1
138,1398,1
139,210,1
139,237,1
139,547,1
139,1055,1
140,388,1
140,452,1
140,535,1
141,436,1
141,562,1
141,622,1
142,170,1
143,178,1
143,295,1
143,439,1
143,619,1
143,688,1
144,346,1
144,1146,1
145,229,1
145,245,1
145,353,1
145,721,1
147,462,1
147,981,1
147,1476,1
148,226,1
148,591,1
148,726,1
148,907,1
149,195,1
149,1289,1
149,1365,1
150,1474,1
151,406,1
152,294,1
152,500,1
154,180,1
154,458,1
154,725,1
157,186,1
157,273,1
157,571,1
157,1115,1
158,234,1
158,408,1
158,684,1
158,824,1
158,972,1
159,780,1
159,837,1
160,240,1
160,331,1
160,345,1
160,804,1
160,1389,1
160,1431,1
164,541,1
164,748,1
164,945,1
165,286,1
165,401,1
166,455,1
167,220,1
167,461,1
167,549,1
167,848,1
167,1409,1
168,206,1
168,1219,1
169,275,1
170,382,1
170,865,1
170,1448,1
171,495,1
171,517,1
172,327,1
173,807,1
173,1188,1
174,1159,1
175,543,1
175,579,1
175,881,1
175,899,1
175,903,1
175,1000,1
175,1015,1
175,1076,1
175,1094,1
177,1314,1
179,184,1
179,314,1
180,339,1
180,565,1
180,866,1
180,931,1
182,252,1
182,1045,1
183,497,1
183,1290,1
184,405,1
184,1411,1
185,192,1
185,1026,1
186,278,1
186,520,1
186,723,1
186,775,1
186,946,1
186,1277,1
186,1466,1
187,250,1
187,362,1
187,466,1
187,750,1
187,949,1
187,1304,1
189,686,1
189,996,1
189,1271,1
189,1407,1
190,745,1
192,1172,1
194,556,1
195,297,1
195,1234,1
195,1343,1
196,968,1
196,1245,1
197,393,1
197,608,1
197,1160,1
197,1208,1
198,236,1
198,1084,1
199,375,1
200,1065,1
201,550,1
201,990,1
201,995,1
201,1269,1
201,1325,1
203,1384,1
203,1423,1
204,404,1
204,705,1
205,1307,1
206,394,1
206,413,1
206,958,1
207,288,1
207,389,1
209,1029,1
210,266,1
210,357,1
210,830,1
211,279,1
211,287,1
211,366,1
211,722,1
211,875,1
212,397,1
212,1187,1
212,1200,1
212,1360,1
213,259,1
213,632,1
215,323,1
215,384,1
215,483,1
215,611,1
215,667,1
215,794,1
215,856,1
215,987,1
215,1002,1
217,1385,1
220,469,1
220,573,1
221,271,1
221,576,1
223,454,1
223,633,1
224,315,1
224,529,1
224,652,1
224,777,1
224,915,1
225,377,1
227,363,1
228,291,1
228,762,1
228,928,1
230,403,1
230,525,1
230,741,1
230,844,1
232,256,1
232,482,1
232,1153,1
232,1199,1
233,757,1
235,811,1
235,1422,1
236,244,1
236,254,1
236,651,1
236,662,1
236,735,1
236,785,1
236,1220,1
236,1233,1
237,248,1
239,1378,1
241,942,1
242,391,1
242,434,1
243,746,1
245,614,1
245,756,1
245,1114,1
245,1416,1
246,674,1
248,507,1
249,1048,1
250,435,1
250,768,1
250,1062,1
251,527,1
251,678,1
251,965,1
252,487,1
253,425,1
255,828,1
255,1154,1
256,305,1
256,699,1
256,819,1
256,895,1
257,697,1
257,986,1
257,997,1
258,714,1
258,1018,1
259,857,1
260,1069,1
261,369,1
261,448,1
261,468,1
261,640,1
261,971,1
262,284,1
262,742,1
262,884,1
263,676,1
263,1129,1
264,1164,1
265,528,1
265,679,1
267,411,1
267,790,1
269,270,1
269,428,1
269,552,1
270,350,1
270,356,1
270,387,1
270,417,1
270,829,1
270,1001,1
270,1278,1
270,1417,1
271,831,1
271,956,1
272,329,1
273,303,1
273,306,1
273,364,1
273,509,1
273,599,1
273,1192,1
273,1366,1
273,1434,1
273,1483,1
274,918,1
275,516,1
275,1368,1
276,308,1
276,664,1
277,555,1
278,392,1
279,1143,1
280,863,1
281,531,1
281,641,1
281,1252,1
284,374,1
284,456,1
286,885,1
288,924,1
289,717,1
290,479,1
290,947,1
290,969,1
292,381,1
292,853,1
292,1019,1
292,1364,1
294,551,1
294,704,1
294,1322,1
296,311,1
296,502,1
296,583,1
296,1088,1
298,333,1
298,1315,1
299,1370,1
300,917,1
300,985,1
302,319,1
302,395,1
302,451,1
302,467,1
302,625,1
302,734,1
302,776,1
302,840,1
302,896,1
302,925,1
302,1355,1
302,1432,1
303,847,1
304,336,1
304,419,1
304,438,1
304,584,1
304,1014,1
304,1260,1
308,862,1
310,453,1
310,480,1
310,1170,1
311,1275,1
312,998,1
313,810,1
313,1456,1
314,657,1
314,740,1
317,692,1
317,694,1
317,1475,1
318,478,1
318,514,1
318,841,1
318,912,1
321,415,1
321,607,1
321,616,1
321,618,1
321,1255,1
322,459,1
323,427,1
323,970,1
324,878,1
324,944,1
325,943,1
327,365,1
327,906,1
327,1038,1
328,1126,1
336,765,1
336,1085,1
336,1356,1
338,1214,1
339,581,1
341,665,1
341,732,1
341,795,1
341,1059,1
341,1093,1
341,1144,1
342,1158,1
345,506,1
345,683,1
345,749,1
345,936,1
346,1221,1
348,823,1
348,1032,1
348,1209,1
351,575,1
351,1072,1
355,656,1
355,1223,1
358,1022,1
358,1338,1
359,505,1
359,663,1
359,1071,1
361,379,1
361,485,1
362,589,1
363,883,1
363,988,1
363,999,1
363,1025,1
363,1190,1
363,1265,1
363,1390,1
363,1499,1
365,658,1
366,773,1
366,834,1
367,398,1
368,422,1
369,800,1
370,752,1
370,760,1
371,574,1
371,929,1
371,1152,1
372,1210,1
373,1031,1
373,1348,1
377,437,1
377,508,1
378,953,1
378,1162,1
379,980,1
382,620,1
382,1053,1
382,1236,1
382,1341,1
382,1426,1
384,396,1
384,474,1
384,661,1
385,820,1
385,1023,1
386,441,1
386,868,1
388,1347,1
389,709,1
389,889,1
391,1369,1
392,471,1
393,449,1
393,511,1
393,635,1
393,835,1
395,864,1
395,897,1
395,1086,1
395,1124,1
395,1405,1
398,1034,1
398,1345,1
399,703,1
400,1028,1
400,1099,1
401,414,1
407,409,1
407,1254,1
409,1259,1
412,940,1
412,1393,1
413,1184,1
414,1167,1
414,1276,1
416,470,1
418,1351,1
419,554,1
420,1330,1
422,426,1
422,690,1
422,710,1
422,755,1
422,937,1
422,984,1
423,1211,1
425,758,1
425,1257,1
425,1461,1
429,446,1
429,545,1
429,546,1
429,1374,1
430,476,1
430,1080,1
431,1335,1
432,707,1
432,926,1
433,596,1
433,644,1
434,680,1
434,759,1
434,764,1
434,774,1
434,1067,1
434,1249,1
436,566,1
436,654,1
437,1039,1
438,1109,1
439,503,1
439,874,1
439,1010,1
439,1244,1
439,1353,1
439,1362,1
439,1458,1
440,786,1
441,877,1
443,957,1
443,1142,1
444,784,1
444,904,1
444,1156,1
444,1460,1
444,1490,1
445,836,1
445,913,1
445,1217,1
445,1394,1
446,1357,1
447,1327,1
448,1270,1
450,650,1
450,798,1
455,1070,1
456,646,1
456,693,1
456,914,1
456,974,1
456,1228,1
456,1480,1
458,634,1
458,685,1
461,629,1
463,787,1
463,1183,1
463,1402,1
464,626,1
464,989,1
464,1035,1
464,1064,1
466,490,1
469,842,1
472,689,1
473,631,1
474,952,1
475,761,1
475,1452,1
476,592,1
476,793,1
478,935,1
479,851,1
481,1406,1
483,539,1
485,955,1
485,961,1
486,522,1
486,580,1
486,933,1
488,610,1
488,803,1
488,872,1
488,1013,1
490,533,1
490,670,1
492,1310,1
495,639,1
495,677,1
495,855,1
495,1313,1
495,1481,1
497,1492,1
500,882,1
500,993,1
500,1201,1
505,932,1
506,653,1
506,1442,1
507,753,1
507,880,1
507,1054,1
508,512,1
508,701,1
513,1081,1
513,1412,1
