source,target,weight
0,1,1
0,2,1
0,3,1
0,11,1
0,13,1
0,14,1
0,16,1
0,27,1
0,29,1
0,37,1
0,47,1
0,59,1
0,62,1
0,64,1
0,65,1
0,72,1
0,74,1
0,76,1
0,98,1
0,102,1
0,109,1
0,113,1
0,167,1
0,188,1
0,204,1
0,206,1
0,280,1
0,316,1
0,490,1
0,525,1
0,539,1
0,541,1
0,599,1
0,639,1
0,657,1
0,725,1
0,856,1
0,910,1
0,914,1
0,930,1
0,1000,1
0,1114,1
0,1124,1
0,1229,1
0,1292,1
0,1298,1
0,1430,1
0,1463,1
0,1488,1
1,6,1
1,8,1
1,13,1
1,25,1
1,31,1
1,83,1
1,174,1
1,189,1
1,272,1
1,298,1
1,330,1
1,760,1
1,809,1
1,1290,1
1,1317,1
1,1456,1
2,21,1
2,22,1
2,38,1
2,50,1
2,56,1
2,63,1
2,86,1
2,396,1
2,543,1
3,4,1
3,5,1
3,8,1
3,49,1
3,468,1
4,12,1
4,191,1
4,225,1
4,347,1
4,1160,1
5,7,1
5,10,1
5,19,1
5,33,1
5,34,1
5,51,1
5,69,1
5,139,1
5,179,1
5,181,1
5,237,1
5,241,1
5,275,1
5,615,1
5,705,1
5,931,1
5,1101,1
5,1342,1
5,1350,1
6,9,1
6,18,1
6,93,1
6,197,1
6,267,1
6,338,1
7,76,1
7,199,1
7,1063,1
8,42,1
8,115,1
8,129,1
8,132,1
8,135,1
8,200,1
8,228,1
8,304,1
8,348,1
8,428,1
8,652,1
8,696,1
8,1203,1
9,39,1
9,55,1
9,100,1
9,111,1
9,145,1
9,232,1
9,305,1
9,659,1
9,676,1
9,906,1
9,1219,1
10,24,1
10,35,1
10,293,1
10,524,1
10,1133,1
10,1338,1
12,73,1
12,300,1
12,432,1
12,443,1
12,602,1
12,828,1
13,15,1
13,20,1
13,66,1
13,141,1
13,439,1
13,465,1
14,23,1
14,149,1
15,17,1
15,26,1
15,166,1
15,205,1
15,210,1
15,211,1
15,292,1
15,335,1
15,395,1
15,452,1
15,471,1
15,569,1
15,577,1
15,903,1
15,947,1
15,989,1
16,52,1
16,201,1
16,925,1
16,1211,1
17,45,1
17,87,1
17,111,1
17,126,1
17,143,1
17,224,1
17,375,1
17,403,1
17,448,1
17,497,1
17,545,1
17,586,1
17,698,1
17,711,1
17,724,1
17,907,1
17,927,1
17,995,1
17,1037,1
17,1285,1
17,1316,1
19,426,1
20,71,1
20,97,1
20,161,1
20,420,1
20,638,1
20,854,1
20,1092,1
20,1134,1
21,58,1
21,80,1
21,120,1
21,136,1
21,308,1
21,418,1
21,473,1
22,77,1
23,31,1
23,32,1
23,67,1
23,78,1
23,108,1
23,122,1
23,137,1
23,1024,1
24,41,1
24,43,1
24,54,1
24,61,1
24,116,1
24,118,1
24,416,1
24,485,1
25,233,1
26,28,1
26,44,1
26,92,1
26,173,1
26,182,1
26,254,1
26,406,1
26,598,1
26,1175,1
26,1436,1
27,57,1
27,125,1
27,157,1
27,430,1
28,818,1
29,30,1
29,70,1
29,771,1
29,1036,1
29,1074,1
30,81,1
30,89,1
30,197,1
31,36,1
31,88,1
31,212,1
31,489,1
31,729,1
31,946,1
31,1016,1
31,1027,1
31,1320,1
32,53,1
33,265,1
33,747,1
33,1381,1
34,46,1
34,144,1
34,288,1
34,417,1
34,1192,1
34,1293,1
34,1341,1
34,1406,1
35,131,1
35,247,1
35,612,1
35,661,1
35,1222,1
35,1402,1
35,1498,1
36,40,1
36,130,1
37,1085,1
38,121,1
38,214,1
39,85,1
39,187,1
39,226,1
39,782,1
39,1141,1
40,119,1
40,537,1
41,94,1
41,105,1
41,106,1
41,114,1
41,142,1
41,156,1
41,162,1
41,170,1
41,440,1
41,609,1
41,744,1
41,1424,1
42,48,1
42,183,1
42,186,1
42,208,1
43,268,1
43,286,1
43,842,1
45,175,1
45,273,1
45,317,1
45,765,1
45,802,1
45,1234,1
45,1419,1
46,297,1
47,193,1
47,457,1
47,1171,1
48,262,1
48,637,1
48,965,1
48,1475,1
49,611,1
49,765,1
51,799,1
51,1010,1
51,1444,1
52,275,1
52,394,1
52,546,1
52,812,1
52,1105,1
53,166,1
53,218,1
53,389,1
53,483,1
53,655,1
53,728,1
53,932,1
53,973,1
53,1174,1
54,82,1
54,398,1
55,587,1
56,91,1
56,168,1
56,207,1
56,694,1
56,857,1
56,994,1
57,95,1
57,271,1
57,318,1
57,365,1
57,368,1
57,588,1
57,601,1
57,872,1
57,992,1
58,60,1
58,151,1
58,278,1
58,550,1
58,570,1
58,695,1
58,720,1
58,779,1
58,890,1
58,922,1
58,963,1
59,228,1
59,257,1
59,762,1
59,962,1
59,1103,1
59,1263,1
60,68,1
60,192,1
60,331,1
60,404,1
61,75,1
63,143,1
64,96,1
64,163,1
64,270,1
67,84,1
67,117,1
67,171,1
67,176,1
67,178,1
67,264,1
67,269,1
67,319,1
67,332,1
67,360,1
67,363,1
67,596,1
67,606,1
67,748,1
67,821,1
67,1098,1
68,88,1
68,99,1
68,405,1
68,627,1
69,184,1
69,291,1
70,1143,1
71,90,1
71,675,1
71,1145,1
71,1413,1
72,84,1
72,133,1
72,153,1
72,185,1
72,297,1
72,522,1
72,625,1
72,766,1
72,1191,1
73,79,1
73,158,1
73,212,1
73,641,1
73,804,1
74,104,1
75,123,1
75,138,1
75,155,1
75,236,1
75,622,1
75,726,1
75,1188,1
76,152,1
76,815,1
77,148,1
77,164,1
77,215,1
77,515,1
78,86,1
78,367,1
78,889,1
78,1050,1
79,359,1
79,379,1
79,397,1
79,563,1
79,594,1
79,736,1
79,781,1
79,788,1
79,877,1
79,964,1
79,1090,1
79,1376,1
80,706,1
80,826,1
80,1078,1
80,1387,1
81,107,1
81,134,1
81,219,1
81,239,1
81,245,1
81,310,1
81,371,1
81,481,1
81,492,1
81,1470,1
82,101,1
82,195,1
82,250,1
82,374,1
82,1052,1
82,1104,1
82,1499,1
83,244,1
83,534,1
83,607,1
83,685,1
83,1002,1
83,1072,1
83,1258,1
83,1296,1
84,281,1
84,926,1
85,177,1
85,435,1
85,450,1
85,506,1
85,518,1
85,1150,1
86,105,1
86,862,1
86,1255,1
87,664,1
87,761,1
88,127,1
88,431,1
88,634,1
88,656,1
89,110,1
89,154,1
89,169,1
89,174,1
89,1148,1
90,658,1
90,827,1
91,671,1
92,128,1
92,186,1
92,243,1
92,786,1
92,1237,1
93,112,1
93,124,1
93,482,1
93,500,1
93,750,1
93,1169,1
93,1394,1
94,172,1
94,196,1
94,1069,1
95,445,1
95,1485,1
96,103,1
96,303,1
96,366,1
96,630,1
96,701,1
96,945,1
97,140,1
99,825,1
100,234,1
100,255,1
100,313,1
100,683,1
100,795,1
100,824,1
100,1013,1
100,1329,1
101,127,1
101,221,1
101,408,1
102,892,1
103,959,1
104,384,1
104,642,1
105,1019,1
106,146,1
106,147,1
106,180,1
106,391,1
106,457,1
106,567,1
106,604,1
106,680,1
106,944,1
108,678,1
109,216,1
109,307,1
109,354,1
110,413,1
110,1025,1
110,1261,1
110,1310,1
110,1365,1
110,1389,1
111,202,1
111,1093,1
112,351,1
112,521,1
112,623,1
112,662,1
112,717,1
114,237,1
114,263,1
114,266,1
114,553,1
114,677,1
114,874,1
114,1307,1
116,407,1
116,735,1
116,785,1
116,830,1
118,287,1
119,220,1
119,544,1
119,583,1
119,1205,1
120,194,1
121,584,1
121,722,1
121,723,1
121,878,1
121,1056,1
122,238,1
122,1140,1
122,1238,1
123,474,1
123,915,1
125,625,1
126,253,1
127,235,1
127,1346,1
129,714,1
130,150,1
131,252,1
131,301,1
131,427,1
131,513,1
131,1057,1
131,1071,1
131,1253,1
131,1474,1
132,803,1
133,640,1
134,1274,1
136,340,1
137,888,1
137,912,1
138,190,1
138,326,1
138,832,1
138,1048,1
138,1369,1
139,1158,1
140,160,1
140,249,1
140,617,1
140,870,1
141,492,1
142,686,1
142,1215,1
143,772,1
143,904,1
143,1202,1
145,159,1
145,290,1
145,343,1
145,590,1
145,654,1
147,363,1
147,817,1
148,198,1
148,814,1
149,254,1
150,388,1
150,682,1
150,1313,1
151,342,1
151,1386,1
152,279,1
152,597,1
152,749,1
152,1245,1
154,233,1
154,488,1
154,650,1
155,246,1
155,783,1
155,1179,1
157,165,1
157,213,1
157,311,1
157,423,1
157,495,1
157,566,1
157,573,1
157,763,1
157,980,1
157,1111,1
157,1177,1
157,1273,1
157,1496,1
159,687,1
161,178,1
161,942,1
162,920,1
163,203,1
164,390,1
164,548,1
165,1218,1
166,618,1
167,240,1
167,324,1
167,935,1
167,1012,1
168,984,1
169,260,1
169,274,1
169,284,1
169,299,1
169,329,1
169,1032,1
170,328,1
170,967,1
173,1041,1
173,1117,1
174,444,1
175,294,1
175,551,1
175,555,1
175,581,1
175,713,1
175,850,1
176,575,1
176,619,1
177,691,1
177,999,1
179,295,1
179,346,1
179,402,1
179,1085,1
179,1281,1
179,1331,1
179,1412,1
180,253,1
180,437,1
180,968,1
180,1168,1
181,289,1
181,516,1
181,996,1
184,361,1
184,1241,1
186,258,1
187,643,1
187,1161,1
188,776,1
188,864,1
188,1054,1
189,1183,1
190,230,1
190,302,1
190,1004,1
191,540,1
191,580,1
191,1084,1
191,1382,1
192,196,1
192,1449,1
193,223,1
193,362,1
193,582,1
196,209,1
196,248,1
196,349,1
196,1271,1
197,409,1
197,480,1
197,905,1
197,1309,1
198,363,1
198,589,1
198,911,1
198,1390,1
199,843,1
200,229,1
200,242,1
200,306,1
200,376,1
200,401,1
200,645,1
200,1352,1
201,227,1
201,704,1
204,369,1
204,419,1
204,434,1
204,834,1
207,380,1
207,1029,1
208,849,1
208,1126,1
209,283,1
209,308,1
209,333,1
209,436,1
209,477,1
209,484,1
209,510,1
209,666,1
209,997,1
209,1214,1
209,1327,1
209,1404,1
210,217,1
210,495,1
210,697,1
210,885,1
210,975,1
212,373,1
212,392,1
212,438,1
212,852,1
212,1358,1
212,1383,1
212,1457,1
214,276,1
216,486,1
217,719,1
218,277,1
218,322,1
218,544,1
219,231,1
219,356,1
219,1021,1
219,1223,1
220,517,1
220,632,1
220,891,1
220,1113,1
220,1201,1
221,222,1
221,789,1
222,400,1
223,228,1
223,256,1
223,257,1
223,261,1
223,282,1
223,314,1
223,323,1
223,381,1
223,527,1
223,764,1
223,1184,1
224,1035,1
225,509,1
225,1081,1
225,1094,1
227,296,1
227,847,1
228,315,1
228,446,1
228,532,1
228,637,1
228,941,1
228,1265,1
228,1495,1
229,507,1
229,784,1
229,822,1
230,357,1
232,320,1
232,499,1
232,530,1
232,556,1
232,829,1
232,998,1
234,385,1
234,487,1
234,571,1
234,1073,1
234,1135,1
239,421,1
239,1121,1
240,251,1
240,442,1
241,377,1
241,504,1
241,636,1
241,869,1
242,740,1
245,1347,1
247,486,1
247,511,1
248,387,1
248,425,1
248,429,1
251,470,1
251,531,1
251,956,1
251,1045,1
251,1099,1
252,756,1
252,1232,1
253,900,1
254,259,1
255,352,1
255,355,1
257,1380,1
261,727,1
261,853,1
261,860,1
263,345,1
267,1372,1
268,405,1
268,593,1
268,1066,1
268,1240,1
269,396,1
270,410,1
270,502,1
270,559,1
270,879,1
270,1278,1
271,414,1
271,491,1
271,529,1
271,535,1
271,598,1
271,699,1
272,988,1
273,460,1
273,475,1
273,514,1
273,811,1
274,415,1
276,453,1
276,1163,1
277,344,1
278,378,1
278,458,1
278,467,1
279,370,1
280,312,1
280,433,1
280,1131,1
281,498,1
281,523,1
281,554,1
282,285,1
282,1250,1
282,1328,1
283,336,1
283,358,1
283,631,1
283,741,1
283,954,1
283,961,1
283,1138,1
285,508,1
285,1319,1
286,858,1
287,325,1
288,309,1
289,835,1
289,1239,1
290,1082,1
291,334,1
291,350,1
291,718,1
292,382,1
292,386,1
292,424,1
292,1009,1
292,1118,1
292,1482,1
293,411,1
293,449,1
293,648,1
293,1080,1
296,757,1
296,778,1
296,1195,1
297,536,1
297,1022,1
300,512,1
300,668,1
300,733,1
301,716,1
301,1028,1
303,628,1
303,708,1
304,792,1
304,949,1
304,1484,1
305,464,1
305,1487,1
307,339,1
307,461,1
307,688,1
307,867,1
307,918,1
307,1065,1
308,454,1
308,1366,1
308,1399,1
309,321,1
310,342,1
310,412,1
310,633,1
310,1015,1
311,341,1
311,605,1
311,1020,1
312,868,1
312,938,1
312,1083,1
312,1440,1
313,1437,1
318,478,1
318,595,1
320,326,1
320,557,1
321,364,1
321,709,1
321,908,1
321,1060,1
321,1097,1
321,1152,1
321,1193,1
321,1231,1
322,327,1
322,844,1
323,353,1
323,1227,1
324,526,1
324,1008,1
324,1017,1
326,496,1
326,533,1
326,780,1
326,1325,1
328,463,1
328,542,1
328,692,1
328,951,1
330,774,1
330,1047,1
331,1312,1
332,866,1
333,1178,1
334,337,1
335,899,1
336,558,1
336,574,1
336,839,1
336,934,1
336,1469,1
338,393,1
338,585,1
338,591,1
338,1068,1
340,372,1
342,422,1
342,626,1
343,472,1
343,674,1
343,1086,1
343,1410,1
344,441,1
344,547,1
344,807,1
344,928,1
344,948,1
344,1467,1
345,459,1
345,579,1
346,460,1
346,742,1
347,865,1
350,983,1
351,552,1
351,649,1
352,672,1
353,876,1
355,592,1
355,777,1
355,923,1
355,1136,1
355,1343,1
355,1393,1
356,976,1
357,549,1
357,1142,1
357,1256,1
358,710,1
359,670,1
363,455,1
363,746,1
363,916,1
363,1096,1
363,1112,1
363,1340,1
363,1492,1
364,383,1
365,591,1
366,520,1
366,1053,1
366,1417,1
367,958,1
369,778,1
369,791,1
370,529,1
370,707,1
371,578,1
371,1252,1
371,1371,1
372,399,1
372,466,1
376,679,1
377,451,1
377,753,1
381,1128,1
382,624,1
382,873,1
383,813,1
384,519,1
385,456,1
385,575,1
385,641,1
385,1051,1
389,952,1
390,493,1
390,1377,1
390,1471,1
392,1248,1
393,806,1
393,977,1
393,1284,1
393,1294,1
393,1323,1
394,902,1
394,1185,1
396,565,1
396,1391,1
396,1455,1
396,1462,1
397,898,1
399,1023,1
403,477,1
403,688,1
404,567,1
405,616,1
405,665,1
406,503,1
407,1089,1
411,561,1
411,1122,1
411,1392,1
414,819,1
414,901,1
414,1194,1
419,1209,1
419,1324,1
420,422,1
421,833,1
422,858,1
424,651,1
424,1364,1
425,447,1
426,562,1
427,798,1
428,684,1
429,524,1
429,647,1
429,1026,1
433,476,1
433,887,1
433,1148,1
435,469,1
435,572,1
435,1156,1
436,731,1
436,769,1
437,754,1
439,501,1
439,1095,1
440,1077,1
441,1282,1
442,1249,1
443,957,1
444,971,1
445,1435,1
446,568,1
456,936,1
456,1438,1
457,505,1
458,462,1
458,494,1
458,528,1
458,700,1
458,1059,1
458,1478,1
459,479,1
459,1354,1
460,933,1
460,1003,1
461,608,1
461,990,1
463,863,1
465,732,1
465,743,1
466,673,1
466,712,1
466,886,1
466,1005,1
466,1190,1
466,1264,1
474,1244,1
475,538,1
477,1330,1
479,521,1
