source,target,weight
0,1,1
0,3,1
0,5,1
0,6,1
0,7,1
0,26,1
0,31,1
0,49,1
0,55,1
0,64,1
0,73,1
0,75,1
0,77,1
0,85,1
0,111,1
0,122,1
0,125,1
0,133,1
0,185,1
0,189,1
0,197,1
0,241,1
0,287,1
0,290,1
0,306,1
0,357,1
0,391,1
0,496,1
0,606,1
0,622,1
0,780,1
0,877,1
0,910,1
0,911,1
0,1085,1
0,1173,1
0,1243,1
1,2,1
1,3,1
1,13,1
2,4,1
2,10,1
2,11,1
2,13,1
2,14,1
2,24,1
2,27,1
2,29,1
2,34,1
2,38,1
2,39,1
2,41,1
2,58,1
2,82,1
2,86,1
2,114,1
2,140,1
2,145,1
2,170,1
2,208,1
2,221,1
2,236,1
2,237,1
2,317,1
2,392,1
2,456,1
2,515,1
2,602,1
2,775,1
2,913,1
2,1312,1
2,1495,1
3,18,1
3,25,1
3,30,1
3,45,1
3,79,1
3,101,1
3,174,1
3,178,1
3,237,1
3,239,1
3,276,1
3,343,1
3,508,1
3,744,1
3,766,1
3,1237,1
3,1288,1
3,1485,1
4,20,1
4,23,1
4,28,1
4,32,1
4,40,1
4,68,1
4,72,1
4,93,1
4,165,1
4,198,1
4,230,1
4,297,1
4,373,1
4,396,1
4,432,1
4,442,1
4,713,1
4,779,1
4,926,1
4,947,1
4,1241,1
4,1252,1
4,1295,1
5,8,1
5,9,1
5,62,1
5,116,1
5,128,1
5,361,1
5,1060,1
6,47,1
6,135,1
6,149,1
6,162,1
6,1379,1
7,24,1
7,36,1
8,16,1
8,19,1
8,52,1
8,155,1
8,1434,1
9,12,1
9,35,1
9,61,1
9,192,1
9,416,1
9,534,1
9,549,1
9,593,1
9,804,1
10,320,1
10,920,1
11,13,1
11,15,1
11,51,1
11,87,1
11,94,1
11,132,1
11,182,1
11,245,1
11,322,1
11,369,1
11,1207,1
11,1286,1
12,17,1
12,112,1
12,200,1
12,389,1
12,560,1
12,682,1
12,950,1
12,1496,1
13,95,1
13,161,1
13,278,1
13,300,1
13,390,1
13,425,1
13,459,1
14,15,1
14,21,1
14,22,1
14,33,1
14,43,1
14,48,1
14,50,1
14,59,1
14,67,1
14,83,1
14,91,1
14,92,1
14,105,1
14,107,1
14,140,1
14,251,1
14,267,1
14,271,1
14,283,1
14,338,1
14,381,1
14,473,1
14,565,1
14,579,1
14,654,1
14,892,1
14,953,1
14,1493,1
15,56,1
15,706,1
16,148,1
16,242,1
17,134,1
17,282,1
17,472,1
18,86,1
18,99,1
18,201,1
18,324,1
18,371,1
18,899,1
19,599,1
19,663,1
19,1126,1
19,1381,1
20,377,1
20,614,1
20,776,1
20,1261,1
21,1042,1
21,1395,1
22,44,1
22,121,1
22,153,1
22,172,1
22,183,1
22,388,1
22,676,1
22,1043,1
22,1455,1
23,318,1
23,595,1
23,869,1
24,36,1
24,37,1
24,104,1
24,262,1
24,329,1
24,334,1
24,350,1
24,530,1
24,698,1
24,1191,1
24,1220,1
24,1344,1
25,53,1
25,256,1
25,368,1
25,694,1
25,925,1
25,1226,1
26,108,1
26,337,1
27,88,1
28,96,1
28,126,1
28,233,1
28,304,1
28,542,1
28,729,1
29,171,1
29,180,1
29,307,1
29,461,1
29,781,1
29,872,1
29,919,1
29,952,1
29,1417,1
30,154,1
30,319,1
30,358,1
31,33,1
31,323,1
31,521,1
32,67,1
32,135,1
32,702,1
33,202,1
33,592,1
33,646,1
33,806,1
33,1203,1
34,618,1
34,769,1
35,120,1
35,176,1
35,218,1
35,349,1
35,760,1
35,879,1
35,912,1
35,1193,1
35,1305,1
36,261,1
36,380,1
36,1146,1
37,66,1
37,203,1
38,182,1
40,42,1
40,46,1
40,70,1
40,89,1
40,248,1
41,54,1
42,60,1
42,78,1
42,98,1
42,229,1
42,280,1
42,345,1
42,449,1
42,911,1
42,948,1
42,1151,1
42,1331,1
42,1476,1
42,1486,1
43,817,1
43,1375,1
44,159,1
47,156,1
47,372,1
47,461,1
47,624,1
47,628,1
47,1222,1
48,65,1
48,523,1
48,1179,1
49,63,1
49,74,1
49,80,1
49,277,1
49,1046,1
50,191,1
50,207,1
50,750,1
50,832,1
51,333,1
52,1301,1
52,1467,1
53,131,1
53,525,1
53,635,1
53,1484,1
54,160,1
54,354,1
54,410,1
54,805,1
54,870,1
54,890,1
54,1206,1
55,82,1
55,375,1
55,657,1
55,1115,1
55,1177,1
55,1200,1
55,1221,1
56,57,1
56,69,1
56,154,1
56,659,1
57,158,1
57,883,1
58,118,1
58,173,1
58,193,1
58,265,1
58,408,1
58,417,1
58,457,1
58,670,1
58,761,1
58,798,1
58,1398,1
58,1419,1
59,398,1
59,554,1
59,763,1
60,167,1
60,232,1
60,273,1
60,384,1
60,441,1
60,462,1
60,669,1
60,1251,1
61,143,1
62,71,1
62,84,1
62,109,1
62,289,1
62,362,1
62,419,1
62,436,1
62,491,1
62,671,1
63,332,1
63,649,1
63,693,1
63,778,1
63,944,1
63,1377,1
64,166,1
64,299,1
65,76,1
65,89,1
65,97,1
65,127,1
65,141,1
65,215,1
65,219,1
65,314,1
65,418,1
65,517,1
65,752,1
65,842,1
65,927,1
66,81,1
66,100,1
66,247,1
66,252,1
66,360,1
66,395,1
66,447,1
66,585,1
66,721,1
66,845,1
66,1137,1
66,1184,1
66,1249,1
66,1394,1
67,102,1
68,108,1
68,115,1
68,188,1
68,296,1
68,407,1
68,1001,1
69,429,1
70,270,1
70,387,1
70,433,1
70,717,1
70,756,1
70,893,1
74,308,1
74,435,1
74,632,1
75,880,1
75,1174,1
75,1470,1
77,225,1
78,90,1
78,117,1
78,138,1
78,222,1
78,359,1
78,471,1
78,481,1
78,490,1
78,524,1
78,562,1
78,567,1
78,658,1
78,688,1
78,734,1
78,818,1
78,942,1
78,1192,1
78,1415,1
78,1424,1
81,1306,1
81,1446,1
82,141,1
82,727,1
82,1292,1
83,146,1
84,103,1
84,151,1
84,249,1
84,488,1
84,497,1
84,519,1
85,293,1
86,106,1
86,129,1
86,351,1
87,264,1
87,327,1
87,583,1
87,992,1
87,1436,1
88,243,1
88,298,1
88,370,1
88,697,1
89,226,1
89,378,1
90,774,1
91,710,1
91,776,1
91,1360,1
92,179,1
92,640,1
92,859,1
92,1065,1
93,848,1
94,228,1
94,843,1
94,1263,1
95,424,1
95,482,1
96,113,1
96,120,1
96,196,1
96,238,1
96,520,1
96,1389,1
97,114,1
98,119,1
98,123,1
98,124,1
98,157,1
98,212,1
98,564,1
98,569,1
98,615,1
98,629,1
98,703,1
98,811,1
98,898,1
98,1109,1
98,1242,1
99,121,1
99,142,1
99,144,1
99,253,1
99,316,1
99,336,1
100,110,1
100,668,1
100,1018,1
100,1167,1
102,235,1
102,582,1
103,466,1
103,673,1
103,875,1
103,1262,1
105,130,1
106,587,1
107,214,1
107,500,1
108,383,1
108,434,1
108,581,1
109,431,1
109,601,1
109,1454,1
110,145,1
110,386,1
111,356,1
114,119,1
114,954,1
115,150,1
115,385,1
115,531,1
115,653,1
115,1114,1
115,1414,1
117,867,1
117,1244,1
118,330,1
118,537,1
118,983,1
119,163,1
119,224,1
119,1464,1
120,249,1
121,134,1
121,284,1
121,527,1
121,533,1
121,1238,1
121,1383,1
121,1412,1
122,146,1
122,177,1
122,561,1
122,695,1
123,382,1
123,529,1
123,1397,1
124,295,1
124,557,1
124,588,1
125,186,1
125,216,1
125,484,1
125,550,1
125,847,1
127,152,1
127,258,1
127,266,1
127,281,1
127,326,1
127,426,1
127,551,1
127,795,1
127,836,1
127,1313,1
127,1432,1
128,139,1
128,142,1
128,194,1
128,199,1
128,259,1
128,288,1
128,292,1
128,301,1
128,509,1
128,604,1
128,740,1
128,881,1
128,945,1
128,985,1
128,1088,1
128,1228,1
128,1345,1
129,136,1
129,147,1
129,211,1
129,448,1
129,513,1
129,970,1
130,644,1
130,683,1
130,1274,1
131,164,1
131,571,1
131,611,1
131,1315,1
132,187,1
132,255,1
132,262,1
132,1195,1
132,1211,1
133,137,1
133,483,1
133,552,1
133,981,1
133,1453,1
134,621,1
134,1012,1
136,217,1
137,227,1
137,422,1
137,610,1
137,1007,1
137,1420,1
139,305,1
140,275,1
140,592,1
141,306,1
142,190,1
142,501,1
142,924,1
143,169,1
143,341,1
143,344,1
143,450,1
143,479,1
143,578,1
143,655,1
143,1041,1
144,213,1
144,401,1
144,406,1
145,570,1
145,678,1
146,681,1
146,796,1
146,895,1
147,993,1
148,246,1
148,365,1
148,536,1
149,257,1
149,302,1
149,303,1
149,404,1
149,532,1
149,704,1
149,986,1
149,1025,1
149,1210,1
