Source,target,weight
2,116,1
39,108,1
40,140,1
41,68,1
41,77,1
41,124,1
43,84,1
43,124,1
43,175,1
43,194,1
48,177,1
52,194,1
53,194,1
54,194,1
55,194,1
56,66,1
56,101,1
56,124,1
56,194,1
58,183,1
58,194,1
58,209,1
59,194,1
60,194,1
61,194,1
62,194,1
63,194,1
65,194,1
66,101,1
66,124,1
66,194,1
67,194,1
68,124,1
68,194,1
69,194,1
70,194,1
71,77,1
71,110,1
71,124,1
71,194,1
72,194,1
73,84,1
73,124,1
73,194,1
75,124,1
75,154,1
75,194,1
77,86,1
77,124,1
77,152,1
77,194,1
78,194,1
79,115,1
79,194,1
80,194,1
81,194,1
82,194,1
83,194,1
84,124,1
84,153,1
84,194,1
85,194,1
86,124,1
86,194,1
87,94,1
87,124,1
88,194,1
89,194,1
90,194,1
91,194,1
92,194,1
93,194,1
94,124,1
95,194,1
96,194,1
97,194,1
99,194,1
100,110,1
100,124,1
100,194,1
101,124,1
101,194,1
102,124,1
102,194,1
103,124,1
107,194,1
108,124,1
108,140,1
108,194,1
109,194,1
110,194,1
111,194,1
112,194,1
113,116,1
113,145,1
113,194,1
115,194,1
116,140,1
116,149,1
116,194,1
117,194,1
119,194,1
120,194,1
121,194,1
122,194,1
123,194,1
126,160,1
126,194,1
127,194,1
128,194,1
129,194,1
131,194,1
132,194,1
133,194,1
134,194,1
135,194,1
136,194,1
137,194,1
138,194,1
139,194,1
140,194,1
141,194,1
142,194,1
143,186,1
143,194,1
144,194,1
145,194,1
146,194,1
147,194,1
148,194,1
149,194,1
150,194,1
151,194,1
152,194,1
153,194,1
154,194,1
155,194,1
156,194,1
157,194,1
158,194,1
159,194,1
160,194,1
161,194,1
162,194,1
163,194,1
164,194,1
165,194,1
166,194,1
168,194,1
169,194,1
172,194,1
173,194,1
175,194,1
176,194,1
177,194,1
178,194,1
180,194,1
182,194,1
183,194,1
184,194,1
185,194,1
186,194,1
187,194,1
188,194,1
192,194,1
194,208,1
194,210,1
194,216,1
