Source,target,weight
0,1,1
0,13,3
0,25,1
0,37,1
0,41,1
0,54,1
0,63,1
0,64,1
0,70,2
0,75,1
0,87,1
0,202,1
0,251,1
1,5,1
1,6,2
1,7,1
1,9,2
1,11,1
1,13,2
1,14,3
1,15,1
1,16,2
1,17,1
1,19,1
1,21,1
1,23,2
1,25,2
1,26,2
1,27,2
1,29,2
1,30,2
1,31,1
1,33,1
1,34,2
1,35,1
1,37,1
1,39,1
1,40,1
1,41,2
1,42,1
1,44,1
1,47,1
1,49,3
1,50,1
1,52,1
1,53,1
1,54,2
1,56,2
1,57,1
1,58,1
1,60,2
1,61,1
1,63,3
1,64,1
1,65,2
1,66,2
1,67,1
1,70,2
1,72,1
1,74,2
1,76,2
1,77,2
1,78,1
1,79,2
1,81,1
1,82,2
1,83,1
1,95,1
1,98,1
1,100,1
1,106,1
1,107,2
1,111,1
1,121,1
1,127,1
1,146,1
1,154,1
1,163,1
1,165,1
1,171,1
1,174,2
1,180,2
1,183,1
1,186,1
1,193,1
1,195,1
1,198,1
1,201,1
1,204,1
1,207,1
1,214,2
1,215,1
1,218,1
1,224,2
1,227,1
1,243,2
1,275,1
1,277,1
1,282,1
1,283,2
1,345,1
1,350,1
1,359,1
2,5,2
2,6,1
2,9,2
2,11,1
2,13,1
2,14,1
2,15,3
2,17,1
2,19,1
2,23,1
2,25,1
2,26,1
2,27,1
2,32,1
2,33,1
2,34,1
2,35,3
2,36,1
2,37,3
2,39,1
2,42,1
2,54,1
2,56,2
2,61,1
2,63,2
2,64,1
2,65,1
2,66,2
2,70,1
2,71,1
2,82,1
2,95,1
2,106,1
2,111,1
2,121,2
2,154,1
2,163,1
2,165,1
2,171,1
2,172,1
2,180,2
2,193,1
2,198,1
2,203,1
2,210,1
2,214,1
2,218,1
2,220,1
2,251,1
2,255,1
2,275,1
2,288,1
2,363,1
2,376,1
2,383,1
2,385,1
2,439,1
3,6,1
3,9,1
3,10,2
3,17,1
3,18,1
3,20,2
3,21,1
3,32,1
3,38,1
3,48,1
3,49,1
3,56,1
3,74,1
3,81,1
3,95,2
3,107,2
3,172,1
3,196,1
3,204,1
3,210,1
3,226,1
3,313,1
3,332,1
3,333,1
3,344,1
3,347,1
3,368,1
3,385,1
4,6,1
4,8,1
4,14,1
4,17,1
4,56,1
4,60,1
4,172,1
4,307,1
4,344,1
4,358,1
4,363,1
5,11,1
5,12,1
5,13,1
5,14,1
5,15,2
5,22,2
5,23,2
5,24,1
5,28,2
5,32,1
5,35,3
5,37,2
5,42,1
5,51,1
5,53,1
5,65,1
5,72,1
5,93,1
5,107,1
5,121,1
5,123,1
5,158,1
5,165,1
5,184,1
5,195,1
5,217,1
5,221,1
6,7,2
6,8,1
6,9,2
6,13,3
6,14,2
6,16,2
6,17,1
6,18,1
6,19,1
6,20,1
6,21,1
6,23,2
6,25,3
6,26,3
6,27,2
6,29,2
6,30,2
6,31,1
6,33,3
6,37,2
6,39,2
6,40,1
6,41,2
6,47,1
6,49,3
6,52,1
6,54,2
6,58,1
6,60,2
6,61,2
6,63,3
6,65,1
6,66,2
6,69,1
6,70,2
6,76,2
6,77,1
6,79,2
6,82,2
6,95,1
6,100,1
6,107,1
6,111,1
6,121,1
6,146,2
6,163,1
6,165,3
6,168,2
6,180,2
6,183,1
6,198,1
6,204,1
6,207,1
6,208,1
6,214,2
6,218,2
6,224,1
6,255,1
6,264,1
6,266,1
6,275,1
6,277,1
6,286,1
6,292,1
6,304,2
6,306,1
6,307,1
6,308,1
6,311,1
6,319,1
6,325,1
6,387,1
6,402,1
6,432,1
7,14,1
7,18,1
7,21,1
7,23,1
7,33,2
7,37,1
7,49,2
7,56,1
7,57,1
7,61,1
7,62,1
7,70,1
7,82,2
7,107,1
7,134,1
7,168,1
7,198,1
7,209,1
7,214,1
7,251,1
7,304,1
8,14,1
8,20,1
8,21,1
8,39,1
8,53,1
8,56,1
8,95,1
8,107,1
8,165,1
8,172,1
8,204,1
8,251,1
8,304,1
8,344,1
8,350,1
8,358,1
9,10,1
9,13,1
9,14,1
9,19,1
9,21,1
9,26,1
9,27,1
9,30,1
9,31,1
9,33,1
9,37,3
9,38,1
9,39,1
9,41,1
9,45,1
9,49,1
9,52,1
9,54,1
9,56,1
9,57,1
9,58,1
9,61,1
9,62,1
9,63,1
9,67,1
9,70,1
9,76,1
9,84,1
9,98,1
9,100,1
9,121,2
9,165,1
9,258,1
10,11,1
10,13,1
10,21,1
10,25,1
10,29,1
10,31,1
10,32,1
10,34,1
10,35,1
10,36,1
10,39,1
10,40,1
10,47,1
10,49,1
10,50,1
10,54,1
10,64,1
10,75,1
10,77,1
10,78,2
10,82,1
10,104,1
10,107,1
10,108,1
10,111,1
10,115,1
10,117,1
10,134,1
10,138,1
10,142,1
10,146,1
10,202,1
10,204,1
10,205,1
10,208,1
10,209,1
10,210,1
10,212,1
10,215,1
10,219,1
10,220,1
10,223,1
10,226,1
10,233,1
10,239,1
10,250,1
10,254,1
10,255,1
10,260,1
10,261,1
10,264,1
10,267,1
10,276,1
10,285,1
10,288,1
10,292,1
10,293,1
10,311,1
10,346,1
11,14,1
11,17,1
11,19,1
11,20,1
11,25,1
11,26,1
11,28,1
11,29,1
11,31,1
11,32,1
11,34,1
11,35,1
11,36,2
11,37,1
11,39,1
11,42,1
11,45,1
11,48,1
11,49,1
11,50,1
11,53,1
11,56,2
11,57,1
11,58,1
11,59,1
11,61,1
11,64,1
11,69,1
11,74,1
11,75,1
11,77,1
11,78,1
11,80,1
11,83,1
11,95,2
11,98,1
11,107,1
11,115,1
11,121,1
11,130,1
11,134,2
11,142,1
11,145,1
11,146,1
11,162,1
11,165,1
11,172,2
11,174,1
11,182,1
11,183,1
11,193,1
11,195,1
11,196,1
11,198,1
11,204,2
11,205,1
11,206,1
11,209,1
11,210,1
11,212,1
11,215,1
11,219,1
11,223,1
11,224,1
11,226,1
11,233,1
11,239,1
11,249,1
11,250,1
11,253,1
11,255,1
11,260,1
11,261,1
11,262,1
11,264,1
11,266,1
11,267,1
11,269,1
11,274,1
11,275,1
11,277,1
11,279,1
11,281,1
11,285,1
11,286,1
11,287,1
11,288,1
11,292,1
11,306,1
11,307,1
11,309,1
11,311,1
11,313,1
11,323,1
11,332,1
11,333,1
11,345,1
11,347,1
11,348,1
11,361,1
11,375,1
11,390,1
11,399,1
11,422,1
11,429,1
11,430,1
11,433,1
11,448,1
12,28,1
12,35,1
12,37,1
12,93,1
13,14,3
13,18,1
13,21,2
13,23,3
13,25,1
13,26,1
13,29,1
13,32,1
13,33,2
13,37,2
13,39,2
13,40,1
13,41,1
13,47,1
13,49,2
13,51,2
