Node,AvgShortestPath
0,2.492788
1,1.877404
2,2.064904
3,2.475962
4,2.646635
5,2.288462
6,1.935096
7,2.324519
8,2.439904
9,2.149038
10,2.173077
11,2.036058
12,2.774038
13,2.103365
14,1.826923
15,2.310096
16,2.372596
17,2.201923
18,2.274038
19,2.225962
20,2.427885
21,1.925481
22,2.812500
23,1.966346
24,2.822115
25,1.963942
26,1.954327
27,2.096154
28,2.396635
29,2.216346
30,2.009615
31,2.389423
32,2.067308
33,2.088942
34,2.348558
35,2.218750
36,2.343750
37,1.858173
38,2.653846
39,1.887019
40,2.242788
41,2.024038
42,2.466346
43,2.834135
44,2.348558
45,2.514423
46,2.721154
47,2.259615
48,2.536058
49,1.930288
50,2.435096
51,2.461538
52,2.192308
53,2.269231
54,2.009615
55,2.536058
56,2.141827
57,2.250000
58,2.295673
59,2.439904
60,2.149038
61,2.112981
62,2.603365
63,1.937500
64,2.314904
65,1.975962
66,2.052885
67,2.290865
68,2.826923
69,2.516827
70,2.036058
71,2.471154
72,2.697115
73,2.884615
74,2.425481
75,2.298077
76,2.108173
77,2.069712
78,2.425481
79,2.293269
80,2.887019
81,2.564904
82,1.939904
83,2.471154
84,2.502404
85,2.896635
86,2.711538
87,2.651442
88,2.526442
89,3.100962
90,2.887019
91,2.737981
92,2.692308
93,2.812500
94,2.454327
95,2.110577
96,2.911058
97,2.786058
98,2.490385
99,2.788462
100,2.060096
101,3.100962
102,2.920673
103,3.100962
104,2.593750
105,
106,2.497596
107,2.019231
108,2.665865
109,3.100962
110,3.062500
111,2.276442
112,
113,2.961538
114,3.100962
115,2.596154
116,2.826923
117,2.528846
118,2.692308
119,3.100962
120,2.824519
121,2.144231
122,2.841346
123,2.870192
124,2.935096
125,2.805288
126,
127,2.759615
128,
129,3.100962
130,2.574519
131,
132,3.086538
133,3.778846
134,2.653846
135,
136,3.033654
137,
138,2.389423
139,2.889423
140,
141,
142,2.627404
143,2.987981
144,2.887019
145,2.550481
146,2.322115
147,2.980769
148,3.468750
149,2.887019
150,3.105769
151,3.663462
152,4.639423
153,2.754808
154,2.552885
155,3.468750
156,2.817308
157,3.906250
158,2.872596
159,2.701923
160,2.824519
161,2.963942
162,2.545673
163,2.278846
164,2.536058
165,1.906250
166,3.745192
167,3.778846
168,2.228365
169,2.961538
170,2.733173
171,2.829327
172,2.281250
173,2.923077
174,2.473558
175,3.091346
176,2.906250
177,3.105769
178,
179,
180,2.086538
181,
182,2.757212
183,2.430288
184,2.908654
185,2.896635
186,2.442308
187,2.915865
188,3.745192
189,2.944712
190,2.963942
191,2.617788
192,2.963942
193,2.439904
194,2.944712
195,2.423077
196,2.788462
197,3.899038
198,2.057692
199,2.954327
200,2.564904
201,2.497596
202,2.579327
203,2.641827
204,2.185096
205,2.473558
206,2.384615
207,2.456731
208,2.346154
209,2.475962
210,2.310096
211,2.963942
212,2.425481
213,4.872596
214,2.125000
215,2.500000
216,2.975962
217,2.872596
218,2.562500
219,2.403846
