Node,AvgShortestPathWeighted
0,1.681090
1,1.317107
2,1.520833
3,1.828526
4,2.132011
5,1.673478
6,1.306090
7,1.684295
8,2.047276
9,1.580729
10,1.876803
11,1.615585
12,2.279848
13,1.377003
14,1.220954
15,1.539663
16,1.639022
17,1.609175
18,1.941827
19,1.699599
20,1.745593
21,1.387620
22,1.862580
23,1.460938
24,2.040465
25,1.430088
26,1.378606
27,1.473758
28,1.948037
29,1.648638
30,1.353766
31,2.020232
32,1.694311
33,1.426883
34,1.775441
35,1.550881
36,1.511699
37,1.321114
38,2.172035
39,1.310897
40,1.977163
41,1.445513
42,1.785857
43,1.959736
44,1.752404
45,2.155849
46,2.239583
47,1.767428
48,2.155449
49,1.284615
50,2.053285
51,1.834535
52,1.591146
53,1.560296
54,1.430689
55,1.812941
56,1.340264
57,1.711218
58,1.662740
59,1.966546
60,1.508814
61,1.454327
62,2.152925
63,1.299079
64,1.557492
65,1.393429
66,1.530048
67,1.772236
68,2.319111
69,2.110777
70,1.391827
71,1.711538
72,2.226362
73,2.040465
74,1.712139
75,1.853766
76,1.434736
77,1.571715
78,2.012220
79,1.571955
80,2.578125
81,2.140024
82,1.311699
83,2.083333
84,1.826522
85,2.273438
86,1.861378
87,1.846154
88,2.090465
89,2.374599
90,1.871595
91,2.206130
92,1.875801
93,1.978566
94,1.691226
95,1.475761
96,1.806090
97,1.801482
98,2.097957
99,2.260577
100,1.593510
101,2.374599
102,2.268630
103,2.374599
104,2.114744
105,
106,1.883614
107,1.466346
108,2.177083
109,1.875801
110,1.875801
111,1.718590
112,
113,2.427684
114,2.374599
115,2.190946
116,2.272115
117,2.095272
118,2.276442
119,1.875801
120,2.218550
121,1.542468
122,2.268229
123,1.879006
124,2.296675
125,2.245593
126,
127,2.236178
128,
129,2.374599
130,2.139223
131,
132,1.931530
133,2.794271
134,2.042468
135,
136,1.932332
137,
138,2.036739
139,2.321514
140,
141,
142,2.016426
143,2.380769
144,2.413261
145,2.221154
146,1.550801
147,2.474960
148,2.776442
149,2.413261
150,2.432332
151,2.781250
152,3.757212
153,2.040465
154,1.795673
155,2.776442
156,2.294872
157,2.802885
158,2.040465
159,2.155849
160,2.218550
161,2.458534
162,2.214343
163,1.781851
164,1.833373
165,1.302484
166,2.784655
167,2.794271
168,1.688101
169,2.427684
170,1.842949
171,2.279447
172,1.728365
173,2.446514
174,1.727764
175,2.470152
176,1.962139
177,2.432332
178,
179,
180,1.486979
181,
182,2.373878
183,1.765224
184,2.435296
185,2.340745
186,1.775240
187,1.849159
188,2.784655
189,1.850160
190,2.458534
191,2.126002
192,2.458534
193,2.068510
194,2.413862
195,1.810136
196,2.415465
197,2.794071
198,1.458333
199,1.819311
200,1.812700
201,1.831330
202,2.125561
203,2.169071
204,1.439824
205,2.134215
206,2.026763
207,1.782772
208,1.622196
209,1.717748
210,1.577324
211,2.458534
212,1.778846
213,3.769231
214,1.419671
215,2.005809
216,2.305889
217,2.410056
218,1.726162
219,2.032452
220,1.869391
221,2.040465
222,2.334936
223,2.083974
224,1.572596
225,
226,1.865385
227,2.102764
228,2.320713
229,2.771635
230,2.803085
231,2.412059
232,2.218550
233,1.901042
234,1.852564
235,
236,2.295032
237,
238,2.258213
239,2.068429
240,2.074920
241,1.851362
242,2.301242
243,1.653446
244,1.875401
245,2.348958
246,2.471354
247,2.365785
248,3.363381
249,2.135016
250,2.130208
251,1.465745
252,2.458534
253,1.928085
254,2.189984
255,1.860577
256,2.803085
257,2.334135
258,2.578325
259,2.471354
260,2.129207
261,1.724840
262,2.606370
263,2.185096
264,1.719030
265,2.772837
266,2.015024
267,2.292468
268,2.345753
269,2.109135
270,1.836338
271,2.412059
272,1.967147
273,2.240665
274,1.734255
275,1.770833
276,2.499199
277,1.999199
278,2.471354
279,2.231971
280,2.240665
281,2.182692
282,2.057011
283,1.792668
284,2.781250
285,2.117668
286,2.114543
287,2.343349
288,1.741506
289,2.286699
290,2.343349
291,2.346554
292,2.106370
293,2.216186
294,2.471354
295,
296,
297,1.806290
298,
299,2.244792
300,2.471354
301,2.293670
302,1.779808
303,2.381811
304,1.614583
305,2.069912
306,2.170272
307,2.059896
308,2.153646
309,2.221635
310,1.851362
311,1.882412
312,1.783413
313,2.145513
314,2.376202
315,2.591106
316,
317,2.120633
318,2.209054
319,2.167107
320,2.295032
321,2.374599
322,
323,2.606370
324,2.387821
325,2.260016
326,2.799079
327,2.187099
328,1.807893
329,
330,2.569311
331,2.374599
332,2.348157
333,2.333333
334,2.518429
335,2.297676
336,3.764423
337,2.308494
338,2.282212
339,
340,2.214663
341,2.337861
342,2.374599
343,2.088542
344,2.318910
345,2.185096
346,2.606971
347,2.361699
348,2.307292
349,2.218149
350,2.045673
351,1.858974
352,2.076122
353,2.374599
354,2.249199
355,2.284335
356,2.794071
357,1.943910
358,1.939904
359,2.074519
360,2.391026
361,2.482772
362,
363,2.304487
364,2.619792
365,3.066026
366,2.796675
367,2.446514
368,2.345753
369,2.240665
370,2.471354
371,2.447316
372,3.764423
373,2.446514
374,2.308494
375,2.299119
376,2.518429
377,2.262821
378,2.823718
379,2.458534
380,2.256410
381,2.417268
382,2.232772
383,2.021635
384,
385,2.105769
386,2.184295
387,2.258814
388,2.305008
389,
390,2.587540
391,2.586739
392,2.374599
393,2.467548
394,2.548478
395,2.432292
396,2.441506
397,3.112340
398,3.080929
399,2.361458
400,2.965224
401,2.326522
402,2.284054
403,2.374599
404,2.769832
405,
406,2.432332
407,2.729167
408,2.606771
409,2.820513
410,2.304087
411,3.043269
412,2.415224
413,3.025641
414,
415,2.685697
416,
417,2.803686
418,
419,
420,2.597837
421,2.711538
422,2.433974
423,
424,
425,2.374599
426,2.582332
427,2.374599
428,2.273438
429,2.613181
430,2.337340
431,2.537260
432,2.185697
433,2.450321
434,2.374599
435,2.672476
436,2.216146
437,2.807732
438,2.484575
439,2.259615
440,2.308494
441,2.417268
442,2.429928
443,2.374599
444,3.670072
445,
446,2.429928
447,2.862981
448,2.613181
449,2.427684
