Node,Community
0,0
1,0
2,0
3,1
4,1
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,1
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,0
40,0
41,0
42,0
43,0
44,0
45,1
46,1
47,0
48,0
49,0
50,0
51,0
52,1
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,1
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,1
106,0
107,0
108,0
109,0
110,0
111,0
112,1
113,1
114,0
115,1
116,0
117,1
118,1
119,0
120,0
121,0
122,1
123,0
124,1
125,0
126,1
127,0
128,1
129,0
130,0
131,1
132,0
133,1
134,0
135,1
136,0
137,1
138,1
139,0
140,1
141,1
142,1
143,0
144,0
145,1
146,0
147,1
148,1
149,0
150,0
151,1
152,1
153,0
154,0
155,1
156,1
157,1
158,1
159,0
160,0
161,1
162,1
163,0
164,0
165,0
166,1
167,1
168,0
169,1
170,0
171,0
172,0
173,1
174,0
175,0
176,0
177,0
178,1
179,1
180,0
181,1
182,1
183,0
184,0
185,0
186,0
187,0
188,1
189,0
190,1
191,0
192,1
193,0
194,1
195,0
196,0
197,1
198,0
199,0
200,0
201,0
202,1
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,1
212,1
213,1
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,1
223,1
224,0
225,1
226,1
227,0
228,1
229,1
230,1
231,1
232,0
233,0
234,0
235,1
236,0
237,1
238,1
239,1
240,0
241,0
242,1
243,0
244,0
245,1
246,0
247,0
248,0
249,0
250,0
251,0
252,1
253,0
254,1
255,0
256,1
257,0
258,1
259,0
260,1
261,1
262,1
263,0
264,0
265,1
266,0
267,0
268,1
269,0
270,1
271,1
272,0
273,1
274,0
275,0
276,1
277,0
278,0
279,0
280,1
281,1
282,0
283,0
284,1
285,0
286,0
287,0
288,0
289,0
290,1
291,1
292,0
293,0
294,0
295,1
296,1
297,0
298,1
299,0
300,0
301,0
302,1
303,0
304,0
305,0
306,1
307,0
308,0
309,0
310,0
311,1
312,0
313,1
314,0
315,1
316,1
317,1
318,1
319,0
320,0
321,0
322,1
323,1
324,0
325,0
326,1
327,0
328,1
329,1
330,1
331,0
332,1
333,1
334,1
335,0
336,1
337,1
338,1
339,1
340,1
341,0
342,0
343,0
344,1
345,0
346,1
347,1
348,0
349,0
350,1
351,0
352,1
353,0
354,0
355,1
356,1
357,1
358,0
359,1
360,0
361,1
362,1
363,1
364,1
365,1
366,1
367,1
368,1
369,1
370,0
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,0
381,1
382,1
383,1
384,1
385,1
386,0
387,0
388,1
389,1
390,1
391,1
392,0
393,1
394,0
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,0
404,0
405,1
406,0
407,1
408,1
409,0
410,1
411,1
412,1
413,1
414,1
415,0
416,1
417,0
418,1
419,1
420,0
421,1
422,1
423,1
424,1
425,0
426,1
427,0
428,0
429,1
430,1
431,1
432,1
433,1
434,0
435,0
436,1
437,0
438,1
439,1
440,1
441,1
442,0
443,0
444,1
445,1
446,0
447,1
448,1
449,1
