Node,NodeLabel,Community
0,LCLK,0
1,EDDF,0
2,EDDK,0
3,EGNX,0
4,EGTE,0
5,LTBJ,0
6,LFPG,0
7,LFBO,0
8,EGNT,0
9,EDDP,0
10,LIME,0
11,EGSS,0
12,LTBR,0
13,LGAV,0
14,EHAM,0
15,LTAI,0
16,EGBB,0
17,EGPH,0
18,EBLG,0
19,LIPE,0
20,EGAA,0
21,EBBR,0
22,LTAF,0
23,LTBA,0
24,LTAJ,0
25,LKPR,0
26,EKCH,0
27,ESSA,0
28,LTAC,0
29,EPKK,0
30,ENGM,0
31,EKBI,0
32,EDDB,0
33,LIMC,0
34,EPGD,0
35,LTFJ,0
36,LEIB,0
37,EDDM,0
38,LEVT,0
39,LEBL,0
40,LLBG,0
41,EPWA,0
42,EDDG,0
43,ESMS,0
44,EDDN,0
45,LZIB,0
46,EHBK,0
47,LROP,0
48,EINN,0
49,LEMD,0
50,EPKT,0
51,LGIR,0
52,EGGW,0
53,EDDV,0
54,LHBP,0
55,EDLW,0
56,LEPA,0
57,LFLL,0
58,LFML,0
59,LTBS,0
60,EGCC,0
61,LIPZ,0
62,LFRS,0
63,LOWW,0
64,LGTS,0
65,LSZH,0
66,EDDT,0
67,LFSB,0
68,EFTU,0
69,LJLJ,0
70,EGLL,0
71,LGKO,0
72,LTFH,0
73,LTDA,0
74,EPWR,0
75,LIRA,0
76,EFHK,0
77,EVRA,0
78,EYVI,0
79,LIML,0
80,ESOW,0
81,EETN,0
82,LIRF,0
83,LOWG,0
84,LGRP,0
85,LBWN,0
86,LGKR,0
87,LGSA,0
88,LATI,0
89,LGKF,0
90,LGSR,0
91,LWSK,0
92,LGMT,0
93,LTCC,0
94,LFBD,0
95,LEMG,0
96,ENTC,1
97,ENBO,2
98,LOWL,0
99,EDDE,0
100,LSGG,0
101,LGST,0
102,LGZA,0
103,LGLM,0
104,LRCL,0
105,EFKE,3
106,LICC,0
107,EIDW,0
108,LRTR,0
109,LGHI,0
110,LGSM,0
111,LBSF,0
112,EFKK,4
113,LZTT,0
114,LGML,0
115,LKTB,0
116,LRTM,0
117,LFOB,0
118,EGCN,0
119,LGAL,0
120,EGNV,0
121,EDDS,0
122,LZKZ,0
123,LTCG,0
124,LRIA,0
125,LRSB,0
126,LRSV,4
127,LTAT,0
128,LRBM,4
129,LGPA,0
130,EDLP,0
131,EFPO,4
132,EFOU,0
133,ENSH,2
134,LEZG,0
135,EFSI,4
136,EFRO,0
137,EFJY,4
138,EBCI,0
139,EFVA,0
140,LROD,4
141,EFVR,4
142,EFTP,0
143,EFKU,0
144,LTAN,0
