Node,NodeLabel,Community
0,LCLK,0
1,EDDF,0
2,EDDK,0
3,EGNX,1
4,EGTE,0
5,LTBJ,0
6,LFPG,0
7,LFBO,0
8,EGNT,0
9,EDDP,0
10,LIME,1
11,EGSS,1
12,LTBR,0
13,LGAV,0
14,EHAM,0
15,LTAI,2
16,EGBB,1
17,EGPH,1
18,EBLG,2
19,LIPE,1
20,EGAA,2
21,EBBR,0
22,LTAF,2
23,LTBA,0
24,LTAJ,2
25,LKPR,0
26,EKCH,0
27,ESSA,0
28,LTAC,0
29,EPKK,1
30,ENGM,0
31,EKBI,1
32,EDDB,1
33,LIMC,0
34,EPGD,0
35,LTFJ,2
36,LEIB,1
37,EDDM,0
38,LEVT,2
39,LEBL,1
40,LLBG,0
41,EPWA,0
42,EDDG,0
43,ESMS,2
44,EDDN,0
45,LZIB,1
46,EHBK,1
47,LROP,0
48,EINN,1
49,LEMD,1
50,EPKT,0
51,LGIR,2
52,EGGW,1
53,EDDV,0
54,LHBP,0
55,EDLW,2
56,LEPA,1
57,LFLL,0
58,LFML,0
59,LTBS,2
60,EGCC,0
61,LIPZ,1
62,LFRS,0
63,LOWW,0
64,LGTS,1
65,LSZH,0
66,EDDT,0
67,LFSB,0
68,EFTU,2
69,LJLJ,2
70,EGLL,0
71,LGKO,1
72,LTFH,2
73,LTDA,2
74,EPWR,1
75,LIRA,1
76,EFHK,0
77,EVRA,1
78,EYVI,0
79,LIML,0
80,ESOW,1
81,EETN,1
82,LIRF,0
83,LOWG,0
84,LGRP,0
85,LBWN,2
86,LGKR,2
87,LGSA,1
88,LATI,0
89,LGKF,2
90,LGSR,2
91,LWSK,2
92,LGMT,2
93,LTCC,2
94,LFBD,1
95,LEMG,1
96,ENTC,2
97,ENBO,2
98,LOWL,0
99,EDDE,0
100,LSGG,0
101,LGST,2
102,LGZA,2
103,LGLM,2
104,LRCL,0
105,EFKE,2
106,LICC,0
107,EIDW,1
108,LRTR,0
109,LGHI,2
110,LGSM,2
111,LBSF,0
112,EFKK,2
113,LZTT,2
114,LGML,2
115,LKTB,1
116,LRTM,2
117,LFOB,1
118,EGCN,1
119,LGAL,2
120,EGNV,2
121,EDDS,0
122,LZKZ,2
123,LTCG,2
124,LRIA,2
125,LRSB,0
126,LRSV,2
127,LTAT,2
128,LRBM,2
129,LGPA,2
130,EDLP,0
131,EFPO,2
132,EFOU,2
133,ENSH,2
134,LEZG,1
135,EFSI,2
136,EFRO,2
137,EFJY,2
138,EBCI,1
139,EFVA,2
140,LROD,2
141,EFVR,2
142,EFTP,1
143,EFKU,2
144,LTAN,2
