Node,ConnectiveRedundancyWeighted
0,0.187500
1,0.283465
2,0.185714
3,0.125000
4,0.000000
5,0.216216
6,0.338983
7,0.148148
8,0.000000
9,0.139535
10,0.031746
11,0.050847
12,0.000000
13,0.320388
14,0.339744
15,0.250000
16,0.128205
17,0.061224
18,0.000000
19,0.130435
20,0.181818
21,0.240385
22,0.400000
23,0.154639
24,0.166667
25,0.209877
26,0.292135
27,0.304348
28,0.066667
29,0.142857
30,0.351648
31,0.000000
32,0.066667
33,0.352941
34,0.043478
35,0.342857
36,0.228571
37,0.280576
38,0.000000
39,0.306569
40,0.000000
41,0.266667
42,0.076923
43,0.142857
44,0.111111
45,0.000000
46,0.000000
47,0.080000
48,0.000000
49,0.375000
50,0.000000
51,0.150000
52,0.072464
53,0.200000
54,0.263158
55,0.090909
56,0.245283
57,0.088235
58,0.156250
59,0.090909
60,0.245283
61,0.211268
62,0.000000
63,0.344262
64,0.242424
65,0.301075
66,0.230769
67,0.037037
68,0.000000
69,0.000000
70,0.353659
71,0.080000
72,0.000000
73,0.250000
74,0.105263
75,0.023256
76,0.304348
77,0.125000
78,0.066667
79,0.195652
80,0.000000
81,0.000000
82,0.319328
83,0.000000
84,0.157895
85,0.000000
86,0.166667
87,0.111111
88,0.000000
89,0.000000
90,0.250000
91,0.000000
92,0.166667
93,0.250000
94,0.173913
95,0.260870
96,0.277778
97,0.200000
98,0.000000
99,0.000000
100,0.131148
101,0.000000
102,0.000000
103,0.000000
104,0.000000
105,0.000000
106,0.105263
107,0.181818
108,0.000000
109,0.500000
110,0.333333
111,0.080000
112,0.000000
113,0.000000
114,0.000000
115,0.000000
116,0.000000
117,0.000000
118,0.000000
119,0.500000
120,0.000000
121,0.242424
122,0.000000
123,0.285714
124,0.000000
125,0.000000
126,0.000000
127,0.000000
128,0.000000
129,0.000000
130,0.000000
131,0.000000
132,0.333333
133,0.000000
134,0.200000
135,0.000000
136,0.333333
137,0.000000
138,0.000000
139,0.000000
140,0.000000
141,0.000000
142,0.100000
143,0.000000
144,0.000000
145,0.000000
146,0.179487
147,0.000000
148,0.000000
149,0.000000
150,0.000000
151,0.000000
152,0.000000
153,0.200000
154,0.076923
155,0.000000
156,0.000000
157,0.000000
158,0.200000
159,0.000000
160,0.000000
161,0.000000
162,0.000000
163,0.058824
164,0.111111
165,0.339130
166,0.000000
167,0.000000
168,0.088235
169,0.000000
170,0.142857
171,0.000000
172,0.166667
173,0.000000
174,0.166667
175,0.000000
176,0.200000
177,0.000000
178,0.000000
179,0.000000
180,0.278689
181,0.000000
182,0.000000
183,0.083333
184,0.000000
185,0.000000
186,0.153846
187,0.250000
188,0.000000
189,0.200000
190,0.000000
191,0.000000
192,0.000000
193,0.000000
194,0.000000
195,0.050000
196,0.000000
197,0.000000
198,0.181818
199,0.333333
200,0.190476
201,0.176471
202,0.000000
203,0.000000
204,0.193548
205,0.000000
206,0.000000
207,0.071429
208,0.136364
209,0.181818
210,0.148936
211,0.000000
212,0.111111
213,0.000000
214,0.281690
215,0.058824
216,0.142857
217,0.000000
218,0.181818
219,0.000000
220,0.136364
221,0.166667
222,0.000000
223,0.000000
224,0.212121
225,0.000000
226,0.030303
227,0.000000
228,0.000000
229,0.000000
230,0.000000
231,0.000000
232,0.000000
233,0.045455
234,0.166667
235,0.000000
236,0.000000
237,0.000000
238,0.000000
239,0.000000
240,0.000000
241,0.250000
242,0.000000
243,0.181818
244,0.250000
245,0.000000
246,0.000000
247,0.000000
248,0.000000
249,0.000000
250,0.000000
251,0.201613
252,0.000000
253,0.166667
254,0.000000
255,0.025000
256,0.000000
257,0.000000
258,0.000000
259,0.000000
260,0.000000
261,0.181818
262,0.000000
263,0.000000
264,0.111111
265,0.000000
266,0.000000
267,0.000000
268,0.000000
269,0.000000
270,0.333333
271,0.000000
272,0.250000
273,0.000000
274,0.250000
275,0.062500
276,0.000000
277,0.047619
278,0.000000
279,0.000000
280,0.000000
281,0.000000
282,0.000000
283,0.062500
284,0.000000
285,0.000000
286,0.000000
287,0.000000
288,0.210526
289,0.000000
290,0.000000
291,0.000000
292,0.000000
293,0.000000
294,0.000000
295,0.000000
296,0.000000
297,0.125000
298,0.000000
299,0.000000
300,0.000000
301,0.000000
302,0.111111
303,0.000000
304,0.162162
305,0.090909
306,0.000000
307,0.000000
308,0.000000
309,0.000000
310,0.200000
311,0.105263
312,0.333333
313,0.000000
314,0.000000
315,0.000000
316,0.000000
317,0.000000
318,0.000000
319,0.000000
320,0.000000
321,0.000000
322,0.000000
323,0.000000
324,0.000000
325,0.000000
326,0.000000
327,0.000000
328,0.250000
329,0.000000
330,0.000000
331,0.000000
332,0.000000
333,0.000000
334,0.000000
335,0.000000
336,0.000000
337,0.000000
338,0.000000
339,0.000000
340,0.000000
341,0.000000
342,0.000000
343,0.000000
344,0.000000
