Source,target,weight
0,1,1
0,13,1
0,37,1
0,41,1
0,54,1
0,64,1
0,70,1
1,6,1
1,7,1
1,9,1
1,11,1
1,13,1
1,14,1
1,16,1
1,17,1
1,19,1
1,21,1
1,23,1
1,25,1
1,26,1
1,27,1
1,29,1
1,30,1
1,31,1
1,33,1
1,34,1
1,37,1
1,39,1
1,40,1
1,41,1
1,42,1
1,44,1
1,47,1
1,49,1
1,50,1
1,53,1
1,54,1
1,56,1
1,57,1
1,58,1
1,60,1
1,61,1
1,63,1
1,64,1
1,65,1
1,66,1
1,67,1
1,70,1
1,74,1
1,76,1
1,77,1
1,78,1
1,79,1
1,81,1
1,82,1
1,83,1
1,95,1
1,98,1
1,100,1
1,107,1
1,111,1
1,121,1
1,146,1
1,154,1
1,163,1
1,165,1
1,171,1
1,174,1
1,180,1
1,183,1
1,186,1
1,195,1
1,198,1
1,201,1
1,207,1
1,214,1
1,218,1
1,224,1
1,227,1
1,243,1
1,275,1
1,277,1
1,282,1
1,283,1
1,345,1
2,6,1
2,14,1
2,15,1
2,35,1
2,37,1
2,66,1
2,70,1
2,180,1
5,11,1
5,13,1
5,15,1
5,22,1
5,23,1
5,28,1
5,35,1
5,37,1
5,184,1
5,217,1
6,9,1
6,13,1
6,14,1
6,16,1
6,19,1
6,21,1
6,23,1
6,25,1
6,26,1
6,27,1
6,29,1
6,30,1
6,31,1
6,33,1
6,37,1
6,39,1
6,40,1
6,41,1
6,47,1
6,49,1
6,54,1
6,60,1
6,61,1
6,63,1
6,65,1
6,66,1
6,69,1
6,70,1
6,76,1
6,79,1
6,82,1
6,100,1
6,111,1
6,121,1
6,146,1
6,163,1
6,165,1
6,168,1
6,180,1
6,183,1
6,204,1
6,214,1
6,218,1
6,224,1
6,255,1
6,264,1
6,266,1
6,275,1
6,277,1
6,286,1
6,292,1
6,304,1
6,319,1
6,387,1
7,14,1
7,21,1
7,33,1
7,37,1
7,56,1
7,61,1
7,70,1
7,82,1
7,198,1
8,14,1
8,21,1
8,165,1
9,37,1
9,56,1
9,165,1
10,35,1
10,82,1
11,35,1
11,134,1
12,35,1
12,37,1
13,14,1
13,21,1
13,23,1
13,26,1
13,29,1
13,33,1
13,37,1
13,39,1
13,40,1
13,41,1
13,47,1
13,49,1
13,51,1
13,54,1
13,61,1
13,64,1
13,65,1
13,66,1
13,70,1
13,71,1
13,82,1
13,84,1
13,86,1
13,87,1
13,88,1
13,89,1
13,90,1
13,92,1
13,100,1
13,101,1
13,102,1
13,103,1
13,109,1
13,110,1
13,111,1
13,114,1
13,119,1
13,129,1
13,163,1
13,165,1
13,224,1
13,247,1
13,321,1
13,331,1
13,335,1
13,342,1
13,351,1
13,353,1
13,392,1
13,403,1
13,425,1
13,427,1
13,434,1
13,443,1
14,16,1
14,17,1
14,19,1
14,21,1
14,23,1
14,25,1
14,26,1
14,27,1
14,30,1
14,31,1
14,33,1
14,35,1
14,37,1
14,39,1
14,40,1
14,41,1
14,44,1
14,47,1
14,49,1
14,53,1
14,54,1
14,56,1
14,57,1
14,58,1
14,60,1
14,61,1
14,63,1
14,65,1
14,66,1
14,70,1
14,76,1
14,79,1
14,82,1
14,94,1
14,95,1
14,100,1
14,120,1
14,121,1
14,160,1
14,165,1
14,180,1
14,186,1
14,191,1
14,195,1
14,198,1
14,200,1
14,201,1
14,204,1
14,208,1
14,210,1
14,214,1
14,219,1
14,232,1
14,234,1
14,243,1
14,244,1
14,251,1
14,277,1
14,282,1
14,304,1
14,305,1
14,307,1
14,308,1
14,327,1
14,343,1
15,21,1
15,22,1
15,35,1
15,40,1
15,44,1
15,60,1
15,63,1
15,93,1
