Source,target,weight
0,1,1
0,37,1
1,6,1
1,7,1
1,9,1
1,13,1
1,14,1
1,16,1
1,17,1
1,19,1
1,21,1
1,23,1
1,25,1
1,26,1
1,27,1
1,29,1
1,30,1
1,31,1
1,33,1
1,34,1
1,37,1
1,39,1
1,40,1
1,41,1
1,42,1
1,44,1
1,47,1
1,49,1
1,50,1
1,53,1
1,54,1
1,56,1
1,57,1
1,58,1
1,60,1
1,61,1
1,63,1
1,65,1
1,66,1
1,67,1
1,70,1
1,74,1
1,76,1
1,77,1
1,78,1
1,79,1
1,81,1
1,82,1
1,83,1
1,95,1
1,98,1
1,100,1
1,107,1
1,111,1
1,121,1
1,146,1
1,154,1
1,163,1
1,165,1
1,171,1
1,174,1
1,180,1
1,183,1
1,186,1
1,195,1
1,198,1
1,201,1
1,207,1
1,214,1
1,218,1
1,224,1
1,227,1
1,243,1
1,275,1
1,277,1
1,282,1
1,283,1
1,345,1
2,37,1
2,66,1
2,70,1
2,180,1
3,10,1
3,32,1
3,56,1
3,74,1
3,81,1
3,95,1
3,107,1
3,172,1
3,196,1
3,204,1
3,210,1
3,226,1
3,313,1
3,332,1
3,333,1
3,347,1
5,37,1
6,33,1
6,37,1
6,66,1
6,165,1
6,180,1
7,37,1
8,107,1
8,165,1
9,37,1
9,165,1
10,11,1
10,29,1
10,31,1
10,32,1
10,36,1
10,39,1
10,49,1
10,64,1
10,75,1
10,77,1
10,78,1
10,107,1
10,115,1
10,117,1
10,134,1
10,138,1
10,142,1
10,146,1
10,204,1
10,205,1
10,208,1
10,209,1
10,210,1
10,212,1
10,215,1
10,219,1
10,220,1
10,223,1
10,226,1
10,233,1
10,239,1
10,250,1
10,254,1
10,260,1
10,261,1
10,264,1
10,267,1
10,276,1
10,288,1
10,292,1
10,293,1
10,311,1
10,346,1
11,19,1
11,29,1
11,31,1
11,32,1
11,34,1
11,36,1
11,45,1
11,48,1
11,49,1
11,50,1
11,56,1
11,58,1
11,61,1
11,64,1
11,74,1
11,75,1
11,77,1
11,78,1
11,80,1
11,83,1
11,95,1
11,98,1
11,107,1
11,115,1
11,134,1
11,142,1
11,145,1
11,146,1
11,162,1
11,172,1
11,174,1
11,182,1
11,193,1
11,195,1
11,196,1
11,204,1
11,205,1
11,206,1
11,209,1
11,210,1
11,212,1
11,215,1
11,219,1
11,223,1
11,226,1
11,239,1
11,249,1
11,250,1
11,255,1
11,260,1
11,261,1
11,262,1
11,264,1
11,266,1
11,267,1
11,269,1
11,274,1
11,275,1
11,277,1
11,279,1
11,281,1
11,285,1
11,287,1
11,288,1
11,292,1
11,306,1
11,309,1
11,311,1
11,313,1
11,323,1
11,332,1
11,333,1
11,345,1
11,347,1
11,348,1
11,361,1
11,375,1
11,390,1
11,399,1
11,422,1
11,429,1
11,430,1
11,433,1
11,448,1
12,37,1
13,37,1
13,165,1
14,37,1
14,180,1
16,37,1
16,56,1
16,95,1
16,107,1
16,145,1
16,165,1
16,172,1
16,204,1
16,226,1
16,250,1
16,318,1
16,345,1
16,433,1
17,39,1
17,56,1
17,75,1
17,95,1
17,107,1
17,117,1
17,138,1
17,162,1
17,165,1
17,195,1
17,196,1
17,204,1
17,219,1
17,239,1
17,260,1
17,309,1
19,36,1
19,37,1
19,49,1
19,94,1
19,107,1
19,117,1
19,138,1
19,146,1
19,204,1
19,207,1
19,209,1
19,210,1
19,215,1
19,220,1
19,223,1
19,226,1
19,239,1
19,288,1
19,293,1
21,37,1
21,121,1
23,37,1
25,33,1
25,37,1
25,165,1
26,37,1
27,33,1
27,37,1
27,165,1
27,180,1
28,37,1
29,37,1
29,49,1
29,107,1
29,138,1
29,206,1
29,207,1
29,260,1
30,37,1
30,165,1
30,180,1
31,56,1
31,79,1
31,172,1
31,195,1
31,244,1
31,255,1
32,95,1
32,107,1
32,206,1
32,260,1
33,37,1
33,39,1
33,41,1
33,54,1
33,70,1
33,106,1
33,121,1
33,165,1
33,180,1
33,214,1
33,220,1
33,224,1
33,288,1
34,37,1
34,165,1
34,206,1
36,39,1
36,49,1
36,95,1
36,107,1
36,195,1
36,210,1
36,223,1
36,233,1
36,250,1
36,260,1
36,277,1
36,304,1
37,39,1
37,41,1
37,42,1
37,44,1
37,47,1
37,49,1
37,53,1
37,54,1
37,57,1
37,58,1
37,60,1
37,61,1
37,63,1
37,65,1
37,66,1
37,67,1
37,70,1
37,74,1
37,76,1
37,81,1
37,82,1
37,83,1
37,88,1
37,100,1
37,104,1
37,108,1
37,111,1
37,121,1
37,125,1
37,130,1
37,154,1
37,163,1
37,165,1
37,174,1
37,180,1
37,183,1
37,191,1
37,195,1
37,198,1
37,203,1
37,214,1
37,218,1
37,220,1
37,224,1
37,243,1
37,253,1
37,255,1
37,263,1
37,266,1
37,269,1
37,275,1
37,277,1
37,282,1
37,283,1
37,285,1
37,386,1
39,56,1
39,61,1
39,75,1
39,95,1
39,107,1
39,117,1
39,138,1
39,146,1
39,165,1
39,209,1
39,223,1
39,233,1
39,261,1
39,264,1
39,274,1
39,328,1
39,343,1
41,165,1
44,66,1
44,165,1
44,180,1
45,52,1
45,75,1
45,95,1
45,107,1
45,117,1
45,138,1
46,95,1
46,204,1
46,255,1
47,165,1
48,95,1
48,208,1
49,56,1
49,58,1
49,60,1
49,75,1
49,107,1
49,117,1
49,138,1
49,146,1
49,165,1
49,172,1
49,180,1
49,204,1
49,206,1
49,212,1
49,223,1
49,233,1
49,239,1
49,251,1
49,254,1
49,255,1
49,261,1
49,264,1
49,274,1
49,275,1
49,302,1
50,165,1
52,81,1
52,107,1
52,207,1
52,226,1
52,313,1
52,333,1
52,334,1
52,345,1
52,375,1
53,303,1
54,165,1
56,60,1
56,107,1
56,138,1
56,165,1
56,195,1
56,204,1
56,208,1
56,209,1
56,210,1
56,212,1
56,223,1
56,226,1
56,239,1
56,250,1
56,292,1
56,304,1
56,343,1
56,355,1
57,165,1
58,62,1
58,100,1
58,107,1
58,138,1
58,146,1
58,212,1
58,402,1
58,420,1
60,107,1
60,121,1
60,165,1
60,172,1
60,180,1
60,204,1
61,107,1
61,117,1
61,138,1
61,165,1
61,205,1
61,207,1
61,209,1
61,223,1
61,226,1
61,233,1
61,260,1
61,288,1
61,293,1
62,107,1
63,165,1
63,180,1
64,75,1
65,66,1
65,165,1
65,180,1
66,121,1
66,165,1
67,165,1
67,404,1
70,121,1
70,154,1
70,165,1
70,180,1
71,138,1
71,208,1
74,107,1
74,138,1
74,165,1
74,206,1
74,208,1
74,226,1
74,304,1
75,107,1
75,117,1
75,138,1
75,146,1
75,162,1
75,205,1
75,209,1
75,210,1
75,212,1
75,220,1
75,223,1
75,233,1
75,239,1
75,249,1
75,251,1
75,254,1
75,260,1
75,261,1
75,293,1
75,309,1
77,107,1
77,142,1
77,208,1
77,223,1
77,239,1
77,260,1
78,195,1
81,206,1
81,223,1
81,260,1
82,165,1
84,195,1
87,239,1
94,138,1
95,107,1
95,206,1
95,208,1
95,210,1
95,212,1
95,219,1
95,223,1
95,239,1
95,264,1
95,279,1
95,292,1
95,304,1
95,311,1
95,343,1
99,195,1
100,165,1
100,180,1
107,117,1
107,138,1
107,145,1
107,172,1
107,174,1
107,182,1
107,204,1
107,205,1
107,206,1
107,208,1
107,210,1
107,212,1
107,226,1
107,239,1
107,250,1
107,251,1
107,254,1
107,255,1
107,292,1
107,304,1
107,305,1
107,306,1
107,309,1
107,311,1
