Node,DegreeDeviation
0,0.718126
1,12.367220
2,6.276442
3,3.041711
4,1.783784
5,3.401113
6,8.883139
7,1.482304
8,1.604413
9,5.185810
10,7.307400
11,14.103551
12,0.528238
13,7.234060
14,10.964649
15,4.596502
16,3.368743
17,3.377622
18,5.675676
19,3.182770
20,2.541116
21,7.062799
22,0.919713
23,13.240706
24,0.593365
25,6.656993
26,7.015271
27,5.168314
28,4.216043
29,1.746122
30,7.713080
31,1.051626
32,3.814164
33,5.366890
34,1.879496
35,6.729458
36,2.670620
37,12.760593
38,1.463957
39,5.999391
40,0.634991
41,6.675840
42,1.359973
43,0.607958
44,2.389715
45,1.231436
46,0.528238
47,0.772992
48,0.713022
49,8.548064
50,1.603958
51,1.481318
52,5.575827
53,1.999269
54,5.632655
55,0.865709
56,6.265142
57,2.294275
58,1.646654
59,0.865709
60,3.389495
61,3.307472
62,0.642993
63,10.580106
64,2.010564
65,7.660434
66,6.024299
67,1.587938
68,0.493937
69,0.368600
70,7.010167
71,2.080203
72,0.729229
73,0.387911
74,1.499939
75,4.576754
76,6.506388
77,6.712721
78,0.787039
79,3.574727
80,0.226124
81,0.931551
82,7.877903
83,1.041155
84,1.406964
85,0.226124
86,0.678373
87,0.588420
88,0.391659
89,0.162162
90,0.387911
91,0.310517
92,0.493937
93,0.740166
94,1.147297
95,4.275399
96,1.925948
97,2.125706
98,0.599488
99,0.413434
100,4.140872
101,0.162162
102,0.226124
103,0.162162
104,0.990090
105,0.000000
106,1.307393
107,10.670714
108,0.678373
109,0.226124
110,0.358554
111,1.231436
112,0.000000
113,0.162162
114,0.162162
115,0.474322
116,0.508510
117,4.247975
118,0.833029
119,0.226124
120,0.162162
121,4.120713
122,0.226124
123,0.650897
124,0.162162
125,0.226124
126,0.000000
127,0.387911
128,0.000000
129,0.162162
130,0.678373
131,0.000000
132,0.272960
133,0.486486
134,1.030577
135,0.000000
136,0.272960
137,0.000000
138,6.032176
139,0.387911
140,0.000000
141,0.000000
142,1.328455
143,0.226124
144,0.226124
145,1.463957
