Node,DegreeWeighted
0,16
1,127
2,70
3,32
4,11
5,37
6,118
7,27
8,18
9,43
10,63
11,118
12,5
13,103
14,156
15,48
16,39
17,49
18,35
19,46
20,22
21,104
22,10
23,97
24,6
25,81
26,89
27,69
28,30
29,28
30,91
31,15
32,45
33,85
34,23
35,70
36,35
37,139
38,10
39,137
40,22
41,75
42,13
43,7
44,27
45,12
46,5
47,25
48,9
49,152
50,17
51,20
52,69
53,35
54,76
55,11
56,106
57,34
58,32
59,11
60,53
61,71
62,10
63,122
64,33
65,93
66,65
67,27
68,6
69,6
70,82
71,25
72,7
73,4
74,19
75,43
76,69
77,56
78,15
79,46
80,2
81,12
82,119
83,12
84,19
85,2
86,6
87,9
88,7
89,1
90,4
91,4
92,6
93,8
94,23
95,69
96,18
97,20
98,10
99,5
100,61
101,1
102,2
103,1
104,8
105,0
106,19
107,110
108,6
109,2
110,3
111,25
112,0
113,1
114,1
115,5
116,4
117,30
118,7
119,2
120,1
121,66
122,2
123,7
124,1
125,2
126,0
127,4
128,0
129,1
130,6
131,0
132,3
133,3
134,10
135,0
136,3
137,0
138,42
139,4
140,0
141,0
142,10
143,2
144,2
145,10
146,39
147,3
148,5
149,2
150,1
151,6
152,5
153,5
154,13
155,5
156,2
157,2
158,5
159,5
160,1
161,1
162,10
163,17
164,9
165,115
166,4
167,3
168,34
169,1
170,7
171,2
172,42
173,2
174,12
175,2
176,5
177,1
178,0
179,0
180,61
181,0
182,4
183,24
184,3
185,2
186,26
187,4
188,4
189,5
190,1
191,8
192,1
193,13
194,2
195,20
196,4
197,2
198,55
199,9
200,21
201,17
202,15
203,7
204,62
205,12
206,21
207,14
208,44
209,33
210,47
211,1
212,27
213,2
214,71
215,17
216,7
217,4
218,11
219,17
220,22
221,6
222,5
223,19
224,33
225,0
226,33
227,5
228,4
229,7
230,4
231,3
232,1
233,22
234,6
235,0
236,2
237,0
238,6
239,28
240,11
241,4
242,2
243,22
244,4
245,2
246,1
247,3
248,1
249,10
250,16
251,124
252,1
253,6
254,16
255,40
256,4
257,2
258,1
259,1
260,26
261,11
262,2
263,4
264,18
265,1
266,15
267,10
268,3
269,9
270,6
271,3
272,4
273,2
274,8
275,16
276,3
277,21
278,1
279,6
280,2
281,9
282,16
283,16
284,7
285,10
286,5
287,2
288,19
289,2
290,4
291,3
292,14
293,10
294,1
295,0
296,0
297,8
298,0
299,4
300,1
301,4
302,9
303,3
304,37
305,11
306,5
307,17
308,7
309,8
310,5
311,19
312,3
313,12
314,1
315,1
316,0
317,15
318,6
319,6
320,2
321,1
322,0
323,2
324,2
325,4
326,1
327,6
328,4
329,0
330,1
331,1
332,5
333,6
334,3
335,2
336,3
337,1
338,1
339,0
340,3
341,1
342,1
343,13
344,14
345,6
346,4
347,7
348,4
349,3
350,24
351,6
352,9
353,1
354,6
355,6
356,2
357,8
358,12
359,21
360,1
361,4
362,0
363,6
364,1
365,1
366,2
367,2
368,7
369,2
370,1
371,2
372,4
373,2
374,1
375,5
376,1
377,2
378,3
379,1
380,6
381,1
382,6
383,11
384,0
385,11
386,4
387,5
388,4
389,0
390,2
391,2
392,1
393,2
394,1
395,3
396,3
397,1
398,1
399,3
400,2
401,4
402,3
403,1
404,1
405,0
406,1
407,2
408,1
409,2
410,2
411,1
412,2
413,2
414,0
415,1
416,0
417,1
418,0
419,0
420,3
421,2
422,2
423,0
424,0
425,1
426,2
427,1
428,2
429,1
430,2
431,1
432,3
433,4
434,1
435,3
436,2
437,1
438,1
439,4
440,1
441,1
442,2
443,1
444,1
445,0
446,2
447,1
448,1
449,1
