Node,Degree,DegreeDeviation,Neighborhood,ConnectiveRedundancy,XNeighborhood,AvgShortestPath
0,13,0.718126,13,0.187500,13,2.492788
1,91,12.367220,91,0.283465,91,1.877404
2,57,6.276442,57,0.185714,57,2.064904
3,28,3.041711,28,0.125000,28,2.475962
4,11,1.783784,11,0.000000,11,2.646635
5,29,3.401113,29,0.216216,29,2.288462
6,78,8.883139,78,0.338983,78,1.935096
7,23,1.482304,23,0.148148,23,2.324519
8,18,1.604413,18,0.000000,18,2.439904
9,37,5.185810,37,0.139535,37,2.149038
10,61,7.307400,61,0.031746,61,2.173077
11,112,14.103551,112,0.050847,112,2.036058
12,5,0.528238,5,0.000000,5,2.774038
13,70,7.234060,70,0.320388,70,2.103365
14,103,10.964649,103,0.339744,103,1.826923
15,36,4.596502,36,0.250000,36,2.310096
16,34,3.368743,34,0.128205,34,2.372596
17,46,3.377622,46,0.061224,46,2.201923
18,35,5.675676,35,0.000000,35,2.274038
19,40,3.182770,40,0.130435,40,2.225962
20,18,2.541116,18,0.181818,18,2.427885
21,79,7.062799,79,0.240385,79,1.925481
22,6,0.919713,6,0.400000,6,2.812500
23,82,13.240706,82,0.154639,82,1.966346
24,5,0.593365,5,0.166667,5,2.822115
25,64,6.656993,64,0.209877,64,1.963942
26,63,7.015271,63,0.292135,63,1.954327
27,48,5.168314,48,0.304348,48,2.096154
28,28,4.216043,28,0.066667,28,2.396635
29,24,1.746122,24,0.142857,24,2.216346
30,59,7.713080,59,0.351648,59,2.009615
31,15,1.051626,15,0.000000,15,2.389423
32,42,3.814164,42,0.066667,42,2.067308
33,55,5.366890,55,0.352941,55,2.088942
34,22,1.879496,22,0.043478,22,2.348558
35,46,6.729458,46,0.342857,46,2.218750
36,27,2.670620,27,0.228571,27,2.343750
37,100,12.760593,100,0.280576,100,1.858173
38,10,1.463957,10,0.000000,10,2.653846
39,95,5.999391,95,0.306569,95,1.887019
40,22,0.634991,22,0.000000,22,2.242788
41,55,6.675840,55,0.266667,55,2.024038
42,12,1.359973,12,0.076923,12,2.466346
43,6,0.607958,6,0.142857,6,2.834135
44,24,2.389715,24,0.111111,24,2.348558
45,12,1.231436,12,0.000000,12,2.514423
46,5,0.528238,5,0.000000,5,2.721154
47,23,0.772992,23,0.080000,23,2.259615
48,9,0.713022,9,0.000000,9,2.536058
49,95,8.548064,95,0.375000,95,1.930288
50,17,1.603958,17,0.000000,17,2.435096
51,17,1.481318,17,0.150000,17,2.461538
52,64,5.575827,64,0.072464,64,2.192308
53,28,1.999269,28,0.200000,28,2.269231
54,56,5.632655,56,0.263158,56,2.009615
55,10,0.865709,10,0.090909,10,2.536058
56,80,6.265142,80,0.245283,80,2.141827
57,31,2.294275,31,0.088235,31,2.250000
58,27,1.646654,27,0.156250,27,2.295673
59,10,0.865709,10,0.090909,10,2.439904
60,40,3.389495,40,0.245283,40,2.149038
