Node,DegreeWeighted,Neighborhood,ConnectiveRedundancyWeighted,AvgShortestPathWeighted
0,16,13,0.187500,1.681090
1,127,91,0.283465,1.317107
2,70,57,0.185714,1.520833
3,32,28,0.125000,1.828526
4,11,11,0.000000,2.132011
5,37,29,0.216216,1.673478
6,118,78,0.338983,1.306090
7,27,23,0.148148,1.684295
8,18,18,0.000000,2.047276
9,43,37,0.139535,1.580729
10,63,61,0.031746,1.876803
11,118,112,0.050847,1.615585
12,5,5,0.000000,2.279848
13,103,70,0.320388,1.377003
14,156,103,0.339744,1.220954
15,48,36,0.250000,1.539663
16,39,34,0.128205,1.639022
17,49,46,0.061224,1.609175
18,35,35,0.000000,1.941827
19,46,40,0.130435,1.699599
20,22,18,0.181818,1.745593
21,104,79,0.240385,1.387620
22,10,6,0.400000,1.862580
23,97,82,0.154639,1.460938
24,6,5,0.166667,2.040465
25,81,64,0.209877,1.430088
26,89,63,0.292135,1.378606
27,69,48,0.304348,1.473758
28,30,28,0.066667,1.948037
29,28,24,0.142857,1.648638
30,91,59,0.351648,1.353766
31,15,15,0.000000,2.020232
32,45,42,0.066667,1.694311
33,85,55,0.352941,1.426883
34,23,22,0.043478,1.775441
35,70,46,0.342857,1.550881
36,35,27,0.228571,1.511699
37,139,100,0.280576,1.321114
38,10,10,0.000000,2.172035
39,137,95,0.306569,1.310897
40,22,22,0.000000,1.977163
41,75,55,0.266667,1.445513
42,13,12,0.076923,1.785857
43,7,6,0.142857,1.959736
44,27,24,0.111111,1.752404
45,12,12,0.000000,2.155849
46,5,5,0.000000,2.239583
47,25,23,0.080000,1.767428
48,9,9,0.000000,2.155449
49,152,95,0.375000,1.284615
50,17,17,0.000000,2.053285
51,20,17,0.150000,1.834535
52,69,64,0.072464,1.591146
53,35,28,0.200000,1.560296
54,76,56,0.263158,1.430689
55,11,10,0.090909,1.812941
56,106,80,0.245283,1.340264
57,34,31,0.088235,1.711218
58,32,27,0.156250,1.662740
59,11,10,0.090909,1.966546
60,53,40,0.245283,1.508814
61,71,56,0.211268,1.454327
62,10,10,0.000000,2.152925
63,122,80,0.344262,1.299079
64,33,25,0.242424,1.557492
65,93,65,0.301075,1.393429
66,65,50,0.230769,1.530048
67,27,26,0.037037,1.772236
68,6,6,0.000000,2.319111
69,6,6,0.000000,2.110777
70,82,53,0.353659,1.391827
71,25,23,0.080000,1.711538
72,7,7,0.000000,2.226362
73,4,3,0.250000,2.040465
74,19,17,0.105263,1.712139
75,43,42,0.023256,1.853766
76,69,48,0.304348,1.434736
77,56,49,0.125000,1.571715
78,15,14,0.066667,2.012220
79,46,37,0.195652,1.571955
80,2,2,0.000000,2.578125
81,12,12,0.000000,2.140024
82,119,81,0.319328,1.311699
83,12,12,0.000000,2.083333
84,19,16,0.157895,1.826522
85,2,2,0.000000,2.273438
86,6,5,0.166667,1.861378
87,9,8,0.111111,1.846154
88,7,7,0.000000,2.090465
89,1,1,0.000000,2.374599
90,4,3,0.250000,1.871595
91,4,4,0.000000,2.206130
92,6,5,0.166667,1.875801
93,8,6,0.250000,1.978566
94,23,19,0.173913,1.691226
95,69,51,0.260870,1.475761
96,18,13,0.277778,1.806090
97,20,16,0.200000,1.801482
98,10,10,0.000000,2.097957
99,5,5,0.000000,2.260577
100,61,53,0.131148,1.593510
101,1,1,0.000000,2.374599
102,2,2,0.000000,2.268630
103,1,1,0.000000,2.374599
104,8,8,0.000000,2.114744
105,0,0,0.000000,
106,19,17,0.105263,1.883614
107,110,90,0.181818,1.466346
108,6,6,0.000000,2.177083
109,2,1,0.500000,1.875801
110,3,2,0.333333,1.875801
111,25,23,0.080000,1.718590
112,0,0,0.000000,
113,1,1,0.000000,2.427684
114,1,1,0.000000,2.374599
115,5,5,0.000000,2.190946
116,4,4,0.000000,2.272115
117,30,30,0.000000,2.095272
118,7,7,0.000000,2.276442
119,2,1,0.500000,1.875801
120,1,1,0.000000,2.218550
121,66,50,0.242424,1.542468
122,2,2,0.000000,2.268229
123,7,5,0.285714,1.879006
124,1,1,0.000000,2.296675
125,2,2,0.000000,2.245593
126,0,0,0.000000,
127,4,4,0.000000,2.236178
128,0,0,0.000000,
129,1,1,0.000000,2.374599
130,6,6,0.000000,2.139223
131,0,0,0.000000,
132,3,2,0.333333,1.931530
133,3,3,0.000000,2.794271
134,10,8,0.200000,2.042468
135,0,0,0.000000,
136,3,2,0.333333,1.932332
137,0,0,0.000000,
138,42,42,0.000000,2.036739
139,4,4,0.000000,2.321514
140,0,0,0.000000,
141,0,0,0.000000,
142,10,9,0.100000,2.016426
143,2,2,0.000000,2.380769
144,2,2,0.000000,2.413261
145,10,10,0.000000,2.221154
146,39,32,0.179487,1.550801
147,3,3,0.000000,2.474960
148,5,5,0.000000,2.776442
149,2,2,0.000000,2.413261
150,1,1,0.000000,2.432332
151,6,6,0.000000,2.781250
152,5,5,0.000000,3.757212
153,5,4,0.200000,2.040465
154,13,12,0.076923,1.795673
155,5,5,0.000000,2.776442
156,2,2,0.000000,2.294872
157,2,2,0.000000,2.802885
158,5,4,0.200000,2.040465
159,5,5,0.000000,2.155849
160,1,1,0.000000,2.218550
161,1,1,0.000000,2.458534
162,10,10,0.000000,2.214343
163,17,16,0.058824,1.781851
164,9,8,0.111111,1.833373
165,115,76,0.339130,1.302484
166,4,4,0.000000,2.784655
167,3,3,0.000000,2.794271
168,34,31,0.088235,1.688101
169,1,1,0.000000,2.427684
170,7,6,0.142857,1.842949
171,2,2,0.000000,2.279447
172,42,35,0.166667,1.728365
173,2,2,0.000000,2.446514
174,12,10,0.166667,1.727764
175,2,2,0.000000,2.470152
176,5,4,0.200000,1.962139
177,1,1,0.000000,2.432332
178,0,0,0.000000,
179,0,0,0.000000,
180,61,44,0.278689,1.486979
181,0,0,0.000000,
182,4,4,0.000000,2.373878
183,24,22,0.083333,1.765224
