LayerId,LayerName,EdgeCount,AvgDistanceKm,TotalDistanceKm,MaxDistanceKm
0,Lufthansa,244,811.36,197971.72,2952.94
1,Ryanair,601,1167.72,701801.03,3061.66
2,Easyjet,307,1199.19,368151.13,3600.70
3,British_Airways,66,1196.35,78959.06,3588.89
4,Turkish_Airlines,118,1197.02,141248.08,2949.20
5,Air_Berlin,184,1074.63,197731.97,2946.36
6,Air_France,69,895.38,61781.25,3284.13
7,Scandinavian_Airlines,110,846.55,93120.60,2570.94
8,KLM,62,831.20,51534.52,3311.89
9,Alitalia,93,763.75,71029.07,2278.85
10,Swiss_International_Air_Lines,60,830.28,49816.60,2808.99
11,Iberia,35,1248.24,43688.40,3543.45
12,Norwegian_Air_Shuttle,87,1120.17,97454.56,3532.59
13,Austrian_Airlines,72,882.57,63544.90,5436.61
14,Flybe,99,507.05,50197.69,1567.84
15,Wizz_Air,92,1301.48,119736.02,2459.28
16,TAP_Portugal,53,1511.92,80131.96,3364.46
17,Brussels_Airlines,43,1004.98,43214.35,3250.90
18,Finnair,42,1324.87,55644.71,2947.33
19,LOT_Polish_Airlines,55,969.96,53347.92,2508.35
20,Vueling_Airlines,63,973.09,61304.71,3081.47
21,Air_Nostrum,69,665.07,45890.12,1805.81
22,Air_Lingus,58,1301.06,75461.46,3044.66
23,Germanwings,67,983.35,65884.62,2431.48
24,Panagra_Airways,58,1349.92,78295.18,3129.83
25,Netjets,180,767.93,138228.03,2230.96
26,Transavia_Holland,57,1430.65,81547.15,2793.59
27,Niki,37,1203.97,44546.91,2135.47
28,SunExpress,67,1667.29,111708.40,3234.88
29,Aegean_Airlines,53,1118.17,59262.76,3278.12
30,Czech_Airlines,41,813.53,33354.81,2634.60
31,European_Air_Transport,73,884.18,64545.16,5832.70
32,Malev_Hungarian_Airlines,34,973.98,33115.32,2165.80
33,Air_Baltic,45,1031.58,46420.99,2894.28
34,Wideroe,90,210.21,18919.14,921.48
35,TNT_Airways,61,807.74,49271.85,2130.64
36,Olympic_Air,43,377.79,16245.07,2181.67
