Layer,LayerName,Edges,SharedEdges,SharedFrac,UniqueEdges,UniqueFrac,Params(edgeSharedMinLayers,uniqueMaxLayers,minSharedFrac,maxUniqueFrac)
0,Lufthansa,244,0,0.000000,128,0.524590,(19,1,0.50,0.40)
1,Ryanair,601,0,0.000000,523,0.870216,(19,1,0.50,0.40)
2,Easyjet,307,0,0.000000,199,0.648208,(19,1,0.50,0.40)
3,British_Airways,66,0,0.000000,25,0.378788,(19,1,0.50,0.40)
4,Turkish_Airlines,118,0,0.000000,95,0.805085,(19,1,0.50,0.40)
5,Air_Berlin,184,0,0.000000,118,0.641304,(19,1,0.50,0.40)
6,Air_France,69,0,0.000000,31,0.449275,(19,1,0.50,0.40)
7,Scandinavian_Airlines,110,0,0.000000,45,0.409091,(19,1,0.50,0.40)
8,KLM,62,0,0.000000,30,0.483871,(19,1,0.50,0.40)
9,Alitalia,93,0,0.000000,53,0.569892,(19,1,0.50,0.40)
10,Swiss_International_Air_Lines,60,0,0.000000,32,0.533333,(19,1,0.50,0.40)
11,Iberia,35,0,0.000000,10,0.285714,(19,1,0.50,0.40)
12,Norwegian_Air_Shuttle,87,0,0.000000,37,0.425287,(19,1,0.50,0.40)
13,Austrian_Airlines,72,0,0.000000,43,0.597222,(19,1,0.50,0.40)
14,Flybe,99,0,0.000000,88,0.888889,(19,1,0.50,0.40)
15,Wizz_Air,92,0,0.000000,82,0.891304,(19,1,0.50,0.40)
16,TAP_Portugal,53,0,0.000000,33,0.622642,(19,1,0.50,0.40)
17,Brussels_Airlines,43,0,0.000000,24,0.558140,(19,1,0.50,0.40)
18,Finnair,42,0,0.000000,25,0.595238,(19,1,0.50,0.40)
19,LOT_Polish_Airlines,55,0,0.000000,30,0.545455,(19,1,0.50,0.40)
20,Vueling_Airlines,63,0,0.000000,29,0.460317,(19,1,0.50,0.40)
21,Air_Nostrum,69,0,0.000000,42,0.608696,(19,1,0.50,0.40)
22,Air_Lingus,58,0,0.000000,37,0.637931,(19,1,0.50,0.40)
23,Germanwings,67,0,0.000000,47,0.701493,(19,1,0.50,0.40)
24,Panagra_Airways,58,0,0.000000,33,0.568966,(19,1,0.50,0.40)
25,Netjets,180,0,0.000000,143,0.794444,(19,1,0.50,0.40)
26,Transavia_Holland,57,0,0.000000,41,0.719298,(19,1,0.50,0.40)
27,Niki,37,0,0.000000,20,0.540541,(19,1,0.50,0.40)
28,SunExpress,67,0,0.000000,42,0.626866,(19,1,0.50,0.40)
29,Aegean_Airlines,53,0,0.000000,21,0.396226,(19,1,0.50,0.40)
30,Czech_Airlines,41,0,0.000000,28,0.682927,(19,1,0.50,0.40)
31,European_Air_Transport,73,0,0.000000,55,0.753425,(19,1,0.50,0.40)
32,Malev_Hungarian_Airlines,34,0,0.000000,19,0.558824,(19,1,0.50,0.40)
33,Air_Baltic,45,0,0.000000,38,0.844444,(19,1,0.50,0.40)
34,Wideroe,90,0,0.000000,86,0.955556,(19,1,0.50,0.40)
35,TNT_Airways,61,0,0.000000,54,0.885246,(19,1,0.50,0.40)
36,Olympic_Air,43,0,0.000000,25,0.581395,(19,1,0.50,0.40)
