Node,OccCentrality,Deg_L0,Rel_L0,ExRel_L0,Deg_L1,Rel_L1,ExRel_L1,Deg_L2,Rel_L2,ExRel_L2,Deg_L3,Rel_L3,ExRel_L3,Deg_L4,Rel_L4,ExRel_L4,Deg_L5,Rel_L5,ExRel_L5,Deg_L6,Rel_L6,ExRel_L6,Deg_L7,Rel_L7,ExRel_L7,Deg_L8,Rel_L8,ExRel_L8,Deg_L9,Rel_L9,ExRel_L9,Deg_L10,Rel_L10,ExRel_L10,Deg_L11,Rel_L11,ExRel_L11,Deg_L12,Rel_L12,ExRel_L12,Deg_L13,Rel_L13,ExRel_L13,Deg_L14,Rel_L14,ExRel_L14,Deg_L15,Rel_L15,ExRel_L15,Deg_L16,Rel_L16,ExRel_L16,Deg_L17,Rel_L17,ExRel_L17,Deg_L18,Rel_L18,ExRel_L18,Deg_L19,Rel_L19,ExRel_L19,Deg_L20,Rel_L20,ExRel_L20,Deg_L21,Rel_L21,ExRel_L21,Deg_L22,Rel_L22,ExRel_L22,Deg_L23,Rel_L23,ExRel_L23,Deg_L24,Rel_L24,ExRel_L24,Deg_L25,Rel_L25,ExRel_L25,Deg_L26,Rel_L26,ExRel_L26,Deg_L27,Rel_L27,ExRel_L27,Deg_L28,Rel_L28,ExRel_L28,Deg_L29,Rel_L29,ExRel_L29,Deg_L30,Rel_L30,ExRel_L30,Deg_L31,Rel_L31,ExRel_L31,Deg_L32,Rel_L32,ExRel_L32,Deg_L33,Rel_L33,ExRel_L33,Deg_L34,Rel_L34,ExRel_L34,Deg_L35,Rel_L35,ExRel_L35,Deg_L36,Rel_L36,ExRel_L36
0,0.001915,2,0.153846,0.153846,0,0.000000,0.000000,1,0.076923,0.076923,1,0.076923,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.076923,0.076923,0,0.000000,0.000000,1,0.076923,0.076923,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.076923,0.076923,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,2,0.153846,0.153846,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,3,0.230769,0.076923,1,0.076923,0.076923,0,0.000000,0.000000,1,0.076923,0.076923,0,0.000000,0.000000,0,0.000000,0.000000,1,0.076923,0.000000,1,0.076923,0.000000
1,0.015780,77,0.846154,0.483516,0,0.000000,0.000000,0,0.000000,0.000000,2,0.021978,0.010989,1,0.010989,0.000000,7,0.076923,0.032967,1,0.010989,0.000000,4,0.043956,0.000000,1,0.010989,0.000000,2,0.021978,0.000000,1,0.010989,0.000000,1,0.010989,0.000000,0,0.000000,0.000000,2,0.021978,0.010989,3,0.032967,0.010989,0,0.000000,0.000000,1,0.010989,0.000000,0,0.000000,0.000000,1,0.010989,0.000000,5,0.054945,0.000000,0,0.000000,0.000000,1,0.010989,0.000000,1,0.010989,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,3,0.032967,0.010989,0,0.000000,0.000000,1,0.010989,0.000000,5,0.054945,0.054945,2,0.021978,0.010989,1,0.010989,0.000000,2,0.021978,0.010989,1,0.010989,0.000000,1,0.010989,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000
2,0.011090,4,0.070175,0.017544,0,0.000000,0.000000,1,0.017544,0.017544,0,0.000000,0.000000,1,0.017544,0.017544,13,0.228070,0.140351,1,0.017544,0.017544,0,0.000000,0.000000,1,0.017544,0.017544,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.017544,0.000000,0,0.000000,0.000000,1,0.017544,0.017544,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,37,0.649123,0.508772,2,0.035088,0.000000,4,0.070175,0.070175,0,0.000000,0.000000,0,0.000000,0.000000,3,0.052632,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.017544,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000
3,0.004885,0,0.000000,0.000000,16,0.571429,0.464286,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.035714,0.035714,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,3,0.107143,0.071429,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,10,0.357143,0.250000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,2,0.071429,0.035714,0,0.000000,0.000000
4,0.001790,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,11,1.000000,1.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000
5,0.006265,1,0.034483,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,4,0.137931,0.034483,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.034483,0.034483,1,0.034483,0.000000,9,0.310345,0.137931,0,0.000000,0.000000,2,0.068966,0.068966,0,0.000000,0.000000,19,0.655172,0.482759,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000
6,0.019130,6,0.076923,0.000000,0,0.000000,0.000000,26,0.333333,0.153846,1,0.012821,0.000000,1,0.012821,0.000000,1,0.012821,0.000000,50,0.641026,0.256410,3,0.038462,0.000000,1,0.012821,0.000000,2,0.025641,0.000000,1,0.012821,0.012821,0,0.000000,0.000000,0,0.000000,0.000000,1,0.012821,0.000000,4,0.051282,0.025641,0,0.000000,0.000000,0,0.000000,0.000000,1,0.012821,0.012821,1,0.012821,0.000000,2,0.025641,0.000000,3,0.038462,0.025641,0,0.000000,0.000000,2,0.025641,0.025641,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.012821,0.000000,0,0.000000,0.000000,1,0.012821,0.000000,1,0.012821,0.000000,4,0.051282,0.038462,1,0.012821,0.000000,1,0.012821,0.012821,0,0.000000,0.000000,3,0.038462,0.012821,0,0.000000,0.000000
7,0.003110,2,0.086957,0.086957,0,0.000000,0.000000,8,0.347826,0.217391,1,0.043478,0.043478,1,0.043478,0.043478,0,0.000000,0.000000,2,0.086957,0.000000,0,0.000000,0.000000,1,0.043478,0.043478,1,0.043478,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.043478,0.043478,1,0.043478,0.043478,0,0.000000,0.000000,0,0.000000,0.000000,3,0.130435,0.130435,2,0.086957,0.043478,1,0.043478,0.043478,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,3,0.130435,0.086957,0,0.000000,0.000000
8,0.002080,1,0.055556,0.055556,1,0.055556,0.055556,8,0.444444,0.444444,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.055556,0.055556,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,6,0.333333,0.333333,0,0.000000,0.000000,0,0.000000,0.000000,1,0.055556,0.055556,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000
9,0.010045,3,0.081081,0.027027,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,2,0.054054,0.027027,1,0.027027,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,1,0.027027,0.027027,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,2,0.054054,0.000000,0,0.000000,0.000000,1,0.027027,0.027027,0,0.000000,0.000000,1,0.027027,0.027027,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,32,0.864865,0.729730,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0,0.000000,0.000000
