Node,OccCentrality,TotalDegree,AvgRelevance,AvgExclusiveRelevance,Deg_L0,Rel_L0,ExRel_L0,Deg_L1,Rel_L1,ExRel_L1,Deg_L2,Rel_L2,ExRel_L2,Deg_L3,Rel_L3,ExRel_L3,Deg_L4,Rel_L4,ExRel_L4,Deg_L5,Rel_L5,ExRel_L5,Deg_L6,Rel_L6,ExRel_L6,Deg_L7,Rel_L7,ExRel_L7,Deg_L8,Rel_L8,ExRel_L8,Deg_L9,Rel_L9,ExRel_L9,Deg_L10,Rel_L10,ExRel_L10,Deg_L11,Rel_L11,ExRel_L11,Deg_L12,Rel_L12,ExRel_L12,Deg_L13,Rel_L13,ExRel_L13,Deg_L14,Rel_L14,ExRel_L14,Deg_L15,Rel_L15,ExRel_L15,Deg_L16,Rel_L16,ExRel_L16,Deg_L17,Rel_L17,ExRel_L17,Deg_L18,Rel_L18,ExRel_L18,Deg_L19,Rel_L19,ExRel_L19,Deg_L20,Rel_L20,ExRel_L20,Deg_L21,Rel_L21,ExRel_L21,Deg_L22,Rel_L22,ExRel_L22,Deg_L23,Rel_L23,ExRel_L23,Deg_L24,Rel_L24,ExRel_L24,Deg_L25,Rel_L25,ExRel_L25,Deg_L26,Rel_L26,ExRel_L26,Deg_L27,Rel_L27,ExRel_L27,Deg_L28,Rel_L28,ExRel_L28,Deg_L29,Rel_L29,ExRel_L29,Deg_L30,Rel_L30,ExRel_L30,Deg_L31,Rel_L31,ExRel_L31,Deg_L32,Rel_L32,ExRel_L32,Deg_L33,Rel_L33,ExRel_L33,Deg_L34,Rel_L34,ExRel_L34,Deg_L35,Rel_L35,ExRel_L35,Deg_L36,Rel_L36,ExRel_L36
14,0.028570,156,0.0409,0.0165,3,0.0291,0.0000,0,0.0000,0.0000,15,0.1456,0.0388,2,0.0194,0.0000,1,0.0097,0.0000,1,0.0097,0.0000,2,0.0194,0.0097,3,0.0291,0.0000,62,0.6019,0.2913,4,0.0388,0.0194,1,0.0097,0.0000,1,0.0097,0.0000,2,0.0194,0.0000,1,0.0097,0.0000,2,0.0194,0.0194,0,0.0000,0.0000,2,0.0194,0.0097,0,0.0000,0.0000,1,0.0097,0.0000,1,0.0097,0.0000,5,0.0485,0.0000,0,0.0000,0.0000,2,0.0194,0.0194,0,0.0000,0.0000,1,0.0097,0.0000,10,0.0971,0.0194,29,0.2816,0.1650,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0097,0.0000,1,0.0097,0.0097,1,0.0097,0.0000,1,0.0097,0.0097,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0097,0.0000
63,0.025805,122,0.0412,0.0166,4,0.0500,0.0000,0,0.0000,0.0000,1,0.0125,0.0125,1,0.0125,0.0000,1,0.0125,0.0000,8,0.1000,0.0375,1,0.0125,0.0000,0,0.0000,0.0000,1,0.0125,0.0000,1,0.0125,0.0000,1,0.0125,0.0000,1,0.0125,0.0000,1,0.0125,0.0000,64,0.8000,0.4375,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0125,0.0125,1,0.0125,0.0000,1,0.0125,0.0000,2,0.0250,0.0000,1,0.0125,0.0000,1,0.0125,0.0000,1,0.0125,0.0125,3,0.0375,0.0000,1,0.0125,0.0000,3,0.0375,0.0250,0,0.0000,0.0000,18,0.2250,0.0375,2,0.0250,0.0125,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0125,0.0125,0,0.0000,0.0000,1,0.0125,0.0125,0,0.0000,0.0000
23,0.023685,97,0.0320,0.0224,2,0.0244,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0122,0.0000,82,1.0000,0.8293,0,0.0000,0.0000,1,0.0122,0.0000,0,0.0000,0.0000,1,0.0122,0.0000,1,0.0122,0.0000,1,0.0122,0.0000,1,0.0122,0.0000,0,0.0000,0.0000,1,0.0122,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0122,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0122,0.0000,1,0.0122,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0122,0.0000,1,0.0122,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0122,0.0000
49,0.023105,152,0.0432,0.0165,4,0.0421,0.0105,28,0.2947,0.1684,17,0.1789,0.0737,1,0.0105,0.0000,1,0.0105,0.0000,1,0.0105,0.0000,1,0.0105,0.0000,0,0.0000,0.0000,1,0.0105,0.0000,2,0.0211,0.0000,2,0.0211,0.0000,33,0.3474,0.1053,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,4,0.0421,0.0211,2,0.0211,0.0000,1,0.0105,0.0000,1,0.0105,0.0105,1,0.0105,0.0000,8,0.0842,0.0000,32,0.3368,0.1579,1,0.0105,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0105,0.0000,0,0.0000,0.0000,1,0.0105,0.0000,1,0.0105,0.0105,4,0.0421,0.0211,1,0.0105,0.0000,1,0.0105,0.0105,0,0.0000,0.0000,2,0.0211,0.0211,0,0.0000,0.0000
21,0.019735,104,0.0356,0.0205,3,0.0380,0.0380,0,0.0000,0.0000,4,0.0506,0.0253,1,0.0127,0.0000,3,0.0380,0.0380,0,0.0000,0.0000,0,0.0000,0.0000,3,0.0380,0.0127,1,0.0127,0.0127,2,0.0253,0.0000,2,0.0253,0.0253,1,0.0127,0.0000,0,0.0000,0.0000,1,0.0127,0.0000,2,0.0253,0.0127,0,0.0000,0.0000,2,0.0253,0.0000,43,0.5443,0.3038,1,0.0127,0.0127,1,0.0127,0.0000,1,0.0127,0.0000,2,0.0253,0.0253,1,0.0127,0.0127,0,0.0000,0.0000,3,0.0380,0.0380,10,0.1266,0.0886,1,0.0127,0.0127,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0127,0.0000,1,0.0127,0.0000,10,0.1266,0.0633,1,0.0127,0.0000,1,0.0127,0.0127,0,0.0000,0.0000,2,0.0253,0.0253,0,0.0000,0.0000
107,0.019705,110,0.0330,0.0213,1,0.0111,0.0000,54,0.6000,0.4444,0,0.0000,0.0000,1,0.0111,0.0000,1,0.0111,0.0111,0,0.0000,0.0000,0,0.0000,0.0000,2,0.0222,0.0111,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0111,0.0000,0,0.0000,0.0000,1,0.0111,0.0000,0,0.0000,0.0000,1,0.0111,0.0111,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0111,0.0000,40,0.4444,0.2778,0,0.0000,0.0000,0,0.0000,0.0000,3,0.0333,0.0222,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0111,0.0000,1,0.0111,0.0000,1,0.0111,0.0000,0,0.0000,0.0000,1,0.0111,0.0111,0,0.0000,0.0000
6,0.019130,118,0.0409,0.0156,6,0.0769,0.0000,0,0.0000,0.0000,26,0.3333,0.1538,1,0.0128,0.0000,1,0.0128,0.0000,1,0.0128,0.0000,50,0.6410,0.2564,3,0.0385,0.0000,1,0.0128,0.0000,2,0.0256,0.0000,1,0.0128,0.0128,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0128,0.0000,4,0.0513,0.0256,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0128,0.0128,1,0.0128,0.0000,2,0.0256,0.0000,3,0.0385,0.0256,0,0.0000,0.0000,2,0.0256,0.0256,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0128,0.0000,0,0.0000,0.0000,1,0.0128,0.0000,1,0.0128,0.0000,4,0.0513,0.0385,1,0.0128,0.0000,1,0.0128,0.0128,0,0.0000,0.0000,3,0.0385,0.0128,0,0.0000,0.0000
70,0.018120,82,0.0418,0.0133,8,0.1509,0.0377,0,0.0000,0.0000,0,0.0000,0.0000,43,0.8113,0.3019,1,0.0189,0.0000,0,0.0000,0.0000,1,0.0189,0.0000,5,0.0943,0.0189,1,0.0189,0.0000,2,0.0377,0.0000,2,0.0377,0.0000,1,0.0189,0.0000,0,0.0000,0.0000,1,0.0189,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0189,0.0000,1,0.0189,0.0000,1,0.0189,0.0000,1,0.0189,0.0000,3,0.0566,0.0566,0,0.0000,0.0000,4,0.0755,0.0566,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,2,0.0377,0.0000,0,0.0000,0.0000,4,0.0755,0.0189,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
65,0.017380,93,0.0387,0.0175,5,0.0769,0.0000,0,0.0000,0.0000,3,0.0462,0.0308,1,0.0154,0.0000,1,0.0154,0.0000,9,0.1385,0.0615,0,0.0000,0.0000,3,0.0462,0.0000,1,0.0154,0.0000,0,0.0000,0.0000,47,0.7231,0.3692,1,0.0154,0.0000,0,0.0000,0.0000,1,0.0154,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,2,0.0308,0.0154,0,0.0000,0.0000,1,0.0154,0.0154,1,0.0154,0.0000,1,0.0154,0.0000,0,0.0000,0.0000,1,0.0154,0.0000,1,0.0154,0.0154,1,0.0154,0.0154,7,0.1077,0.0769,0,0.0000,0.0000,1,0.0154,0.0000,2,0.0308,0.0308,0,0.0000,0.0000,1,0.0154,0.0000,0,0.0000,0.0000,1,0.0154,0.0000,1,0.0154,0.0154,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
76,0.016515,69,0.0389,0.0169,2,0.0417,0.0000,0,0.0000,0.0000,2,0.0417,0.0000,1,0.0208,0.0000,1,0.0208,0.0208,2,0.0417,0.0000,0,0.0000,0.0000,2,0.0417,0.0000,1,0.0208,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,8,0.1667,0.0208,1,0.0208,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0208,0.0208,0,0.0000,0.0000,40,0.8333,0.4792,1,0.0208,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0208,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0208,0.0000,1,0.0208,0.0208,1,0.0208,0.0208,1,0.0208,0.0000,0,0.0000,0.0000,2,0.0417,0.0417,0,0.0000,0.0000
