Node,XNeighborhood
0,13
1,91
2,57
3,28
4,11
5,29
6,78
7,23
8,18
9,37
10,61
11,112
12,5
13,70
14,103
15,36
16,34
17,46
18,35
19,40
20,18
21,79
22,6
23,82
24,5
25,64
26,63
27,48
28,28
29,24
30,59
31,15
32,42
33,55
34,22
35,46
36,27
37,100
38,10
39,95
40,22
41,55
42,12
43,6
44,24
45,12
46,5
47,23
48,9
49,95
50,17
51,17
52,64
53,28
54,56
55,10
56,80
57,31
58,27
59,10
60,40
61,56
62,10
63,80
64,25
65,65
66,50
67,26
68,6
69,6
70,53
71,23
72,7
73,3
74,17
75,42
76,48
77,49
78,14
79,37
80,2
81,12
82,81
83,12
84,16
85,2
86,5
87,8
88,7
89,1
90,3
91,4
92,5
93,6
94,19
95,51
96,13
97,16
98,10
99,5
100,53
101,1
102,2
103,1
104,8
105,0
106,17
107,90
108,6
109,1
110,2
111,23
112,0
113,1
114,1
115,5
116,4
117,30
118,7
119,1
120,1
121,50
122,2
123,5
124,1
125,2
126,0
127,4
128,0
129,1
130,6
131,0
132,2
133,3
134,8
135,0
136,2
137,0
138,42
139,4
140,0
141,0
142,9
143,2
144,2
145,10
146,32
147,3
148,5
149,2
150,1
151,6
152,5
153,4
154,12
155,5
156,2
157,2
158,4
159,5
160,1
161,1
162,10
163,16
164,8
165,76
166,4
167,3
168,31
169,1
170,6
171,2
172,35
173,2
174,10
175,2
176,4
177,1
178,0
179,0
180,44
181,0
182,4
183,22
184,3
185,2
186,22
187,3
188,4
189,4
190,1
191,8
192,1
193,13
194,2
195,19
196,4
197,2
198,45
199,6
200,17
201,14
202,15
203,7
204,50
205,12
206,21
207,13
208,38
209,27
210,40
211,1
212,24
213,2
214,51
215,16
216,6
217,4
218,9
219,17
220,19
221,5
222,5
223,19
224,26
225,0
226,32
227,5
228,4
229,7
230,4
231,3
232,1
233,21
234,5
235,0
236,2
237,0
238,6
239,28
240,11
241,3
242,2
243,18
244,3
245,2
246,1
247,3
248,1
249,10
250,16
251,99
252,1
253,5
254,16
255,39
256,4
257,2
258,1
259,1
260,26
261,9
262,2
263,4
264,16
265,1
266,15
267,10
268,3
269,9
270,4
271,3
272,3
273,2
274,6
275,15
276,3
277,20
278,1
279,6
280,2
281,9
282,16
283,15
284,7
285,10
286,5
287,2
288,15
289,2
290,4
291,3
292,14
293,10
294,1
295,0
296,0
297,7
298,0
299,4
300,1
301,4
302,8
303,3
304,31
305,10
306,5
307,17
308,7
309,8
310,4
311,17
312,2
313,12
314,1
315,1
316,0
317,15
318,6
319,6
320,2
321,1
322,0
323,2
324,2
325,4
326,1
327,6
328,3
329,0
330,1
331,1
332,5
333,6
334,3
335,2
336,3
337,1
338,1
339,0
340,3
341,1
342,1
343,13
344,14
345,6
346,4
347,7
348,4
349,3
350,24
351,5
352,8
353,1
354,6
355,6
356,2
357,7
358,11
359,21
360,1
361,4
362,0
363,6
364,1
365,1
366,2
367,2
368,7
369,2
370,1
371,2
372,4
373,2
374,1
375,5
376,1
377,2
378,3
379,1
380,6
381,1
382,6
383,10
384,0
385,11
386,4
387,5
388,4
389,0
390,2
391,2
392,1
393,2
394,1
395,3
396,3
397,1
398,1
399,3
400,2
401,4
402,3
403,1
404,1
405,0
406,1
407,2
408,1
409,2
410,2
411,1
412,2
413,2
414,0
415,1
416,0
417,1
418,0
419,0
420,3
421,2
422,2
423,0
424,0
425,1
426,2
427,1
428,2
429,1
430,2
431,1
432,3
433,4
434,1
435,3
436,2
437,1
438,1
439,4
440,1
441,1
442,2
443,1
444,1
445,0
446,2
447,1
448,1
449,1
