Rank,Hub_Node,Hub_Score,Auth_Node,Auth_Score,PR_Node,PR_Score
1,3012,0.383385,619,0.093443,7575,0.002079
2,1733,0.250556,3214,0.087826,8477,0.001964
3,818,0.242354,1120,0.084950,14686,0.001695
4,3515,0.210289,7575,0.080353,8044,0.001372
5,538,0.189688,29677,0.079295,1679,0.001338
6,7355,0.187685,1117,0.076804,398,0.001239
7,7764,0.185746,3787,0.076092,1646,0.001161
8,13231,0.184662,14686,0.075546,7116,0.001103
9,1730,0.126777,834,0.074313,2428,0.001068
10,18359,0.124244,5200,0.073465,2520,0.001049
