UserRank,UserID,MonthIndex,MonthDate,ActivityCount
67,4712,1,2008-09,6
76,385,1,2008-09,1
67,4712,2,2008-10,1
67,4712,3,2008-11,1
14,7764,4,2008-12,1
51,1593,4,2008-12,1
76,385,5,2009-01,1
51,1593,7,2009-03,1
38,59,9,2009-05,3
51,1593,9,2009-05,4
67,4712,9,2009-05,2
76,385,9,2009-05,1
88,578,9,2009-05,1
5,818,10,2009-06,7
86,619,10,2009-06,1
88,578,10,2009-06,1
5,818,11,2009-07,65
16,1368,11,2009-07,5
24,538,11,2009-07,244
31,105,11,2009-07,134
38,59,11,2009-07,72
47,479,11,2009-07,65
52,419,11,2009-07,97
62,740,11,2009-07,43
65,410,11,2009-07,535
69,102,11,2009-07,336
76,385,11,2009-07,43
86,619,11,2009-07,51
88,578,11,2009-07,122
5,818,12,2009-08,26
7,3012,12,2009-08,60
16,1368,12,2009-08,20
18,1733,12,2009-08,323
22,1730,12,2009-08,48
24,538,12,2009-08,499
31,105,12,2009-08,156
38,59,12,2009-08,85
47,479,12,2009-08,92
51,1593,12,2009-08,3
52,419,12,2009-08,17
58,2505,12,2009-08,47
62,740,12,2009-08,52
65,410,12,2009-08,518
69,102,12,2009-08,521
76,385,12,2009-08,51
86,619,12,2009-08,156
88,578,12,2009-08,206
89,2556,12,2009-08,42
5,818,13,2009-09,52
6,3515,13,2009-09,111
7,3012,13,2009-09,680
18,1733,13,2009-09,663
22,1730,13,2009-09,84
24,538,13,2009-09,565
31,105,13,2009-09,362
32,3363,13,2009-09,38
38,59,13,2009-09,159
40,4441,13,2009-09,2
47,479,13,2009-09,54
52,419,13,2009-09,40
58,2505,13,2009-09,195
62,740,13,2009-09,15
65,410,13,2009-09,204
66,3673,13,2009-09,100
69,102,13,2009-09,356
76,385,13,2009-09,56
79,3984,13,2009-09,98
86,619,13,2009-09,129
88,578,13,2009-09,99
89,2556,13,2009-09,127
91,3271,13,2009-09,1
5,818,14,2009-10,57
6,3515,14,2009-10,30
7,3012,14,2009-10,897
16,1368,14,2009-10,5
18,1733,14,2009-10,594
22,1730,14,2009-10,85
24,538,14,2009-10,671
31,105,14,2009-10,464
32,3363,14,2009-10,13
38,59,14,2009-10,152
40,4441,14,2009-10,972
47,479,14,2009-10,57
51,1593,14,2009-10,8
52,419,14,2009-10,46
55,5206,14,2009-10,3
58,2505,14,2009-10,8
62,740,14,2009-10,17
65,410,14,2009-10,108
66,3673,14,2009-10,112
67,4712,14,2009-10,94
69,102,14,2009-10,116
71,5443,14,2009-10,3
76,385,14,2009-10,20
79,3984,14,2009-10,121
86,619,14,2009-10,160
88,578,14,2009-10,140
89,2556,14,2009-10,449
91,3271,14,2009-10,1
5,818,15,2009-11,32
6,3515,15,2009-11,35
7,3012,15,2009-11,721
16,1368,15,2009-11,9
18,1733,15,2009-11,520
22,1730,15,2009-11,149
24,538,15,2009-11,727
31,105,15,2009-11,290
38,59,15,2009-11,138
40,4441,15,2009-11,456
47,479,15,2009-11,17
