Node,AvgShortestPathWeighted
0,0.843675
1,0.936664
2,0.864265
3,1.171494
4,1.078854
5,1.497240
6,1.558357
7,1.137669
8,1.003699
9,1.533032
10,1.109880
11,1.052894
12,1.289058
13,0.985015
14,1.066158
15,0.994000
16,1.109014
17,1.043651
18,1.315590
19,1.071392
20,0.955909
21,0.981605
22,1.000332
23,0.771787
24,1.082637
25,1.533682
26,0.783382
27,1.575872
28,0.869014
29,1.506600
30,1.537147
31,1.205942
32,1.146352
33,1.220178
34,1.594377
35,1.348578
36,0.938665
37,1.491391
38,0.925984
39,0.709927
40,1.054539
41,0.564900
42,0.679732
43,0.669286
44,0.926143
45,0.970489
46,0.710210
47,0.915699
48,0.631261
49,0.626295
50,0.804506
51,0.918658
52,0.588229
53,0.650886
54,0.625753
55,0.745669
56,0.712027
57,0.768157
58,0.711768
59,0.562385
60,0.602474
61,0.695023
62,0.729938
63,0.849372
64,0.834544
65,0.674627
66,0.649052
67,0.655466
68,0.618564
69,0.791266
70,0.650421
71,0.747896
72,0.827712
73,0.716628
74,0.978477
75,0.784998
76,0.659741
77,0.655786
78,0.710969
79,0.960686
80,0.759868
81,0.723094
82,0.691730
83,0.745208
84,0.623733
85,0.680378
86,0.839849
87,0.700954
88,0.664125
89,0.586051
90,0.633950
91,0.716020
92,0.528441
93,0.595804
94,0.697915
95,0.691815
96,0.798834
97,0.722405
98,0.592643
99,0.661288
100,0.563406
101,0.561223
102,0.532666
103,0.594566
104,0.623382
105,1.103605
106,0.946182
107,0.687166
108,0.612673
109,0.636713
110,0.720805
111,0.645244
112,0.586037
113,0.720832
114,1.479010
115,0.830242
116,0.622244
117,0.656177
118,0.798985
119,0.723349
120,0.859987
121,0.644750
122,0.653262
123,0.716812
124,0.725043
125,0.676994
126,0.591874
127,0.649739
128,0.587062
129,0.722257
130,0.752566
131,0.822295
132,0.627193
133,0.728752
134,0.641381
135,0.601340
136,0.702229
137,0.635923
138,0.669210
139,0.701220
140,0.637623
141,0.657754
142,0.662590
143,0.614241
144,0.680252
145,0.669831
146,0.631339
147,0.675909
148,0.687997
149,0.660228
150,0.609616
151,0.794150
152,0.685281
153,0.643748
154,0.790082
155,0.702039
156,0.731719
157,0.724223
158,0.726110
159,0.623607
160,0.577999
161,0.843809
162,0.627109
163,0.908997
164,0.765199
165,0.713354
166,0.643572
167,0.721420
168,0.600784
169,0.691216
170,0.755876
171,0.693268
172,0.739615
173,0.650341
174,0.828662
175,0.673995
176,0.756305
177,0.630595
178,0.856801
179,0.760771
180,0.738819
181,0.683720
182,0.649295
183,0.687924
184,0.758857
185,0.786041
186,0.604353
187,0.690055
188,0.545966
189,0.886651
190,0.679053
191,0.743761
192,0.713535
193,1.578792
194,0.795725
195,0.589677
196,0.565544
197,0.833593
198,0.910662
199,1.234549
200,1.119929
201,0.800414
202,0.789331
203,1.522316
204,1.514978
205,1.457196
206,1.385363
207,1.522886
208,0.874158
209,0.818796
210,0.967327
211,0.957477
212,1.287534
213,1.024190
214,1.133608
215,0.884766
216,1.062458
