Node,Degree
0,0
1,0
2,0
3,1
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,2
22,1
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,1
39,1
40,1
41,4
42,2
43,4
44,0
45,0
46,3
47,0
48,2
49,0
50,0
51,0
52,2
53,1
54,1
55,2
56,1
57,0
58,1
59,3
60,2
61,0
62,3
63,0
64,0
65,2
66,2
67,0
68,2
69,0
70,2
71,2
72,1
73,0
74,0
75,0
76,2
77,1
78,0
79,0
80,0
81,2
82,1
83,0
84,2
85,2
86,0
87,1
88,1
89,0
90,1
91,0
92,10
93,2
94,2
95,1
96,1
97,1
98,1
99,1
100,4
101,3
102,6
103,3
104,6
105,0
106,0
107,3
108,0
109,0
110,0
111,0
112,2
113,0
114,0
115,0
116,1
117,2
118,0
119,0
120,1
121,0
122,0
123,0
124,0
125,1
126,0
127,0
128,2
129,0
130,0
131,0
132,1
133,1
134,0
135,3
136,0
137,1
138,1
139,0
140,1
141,0
142,0
143,0
144,0
145,0
146,1
147,1
148,1
149,2
150,1
151,0
152,0
153,0
154,0
155,0
156,0
157,2
158,1
159,1
160,2
161,0
162,1
163,0
164,0
165,0
166,1
167,1
168,1
169,0
170,0
171,0
172,1
173,0
174,0
175,0
176,0
177,1
178,1
179,0
180,2
181,0
182,1
183,0
184,0
185,0
186,7
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
