source,target,weight
0,103,10
0,107,189
0,116,37
0,119,685
0,131,576
0,143,30
0,162,68
0,164,845
0,195,4
0,196,1
1,66,196
1,116,193
1,148,20
2,66,498
2,116,13
2,188,41
2,196,832
3,84,3
3,112,90
3,115,2
3,147,92
4,66,302
4,129,198
4,172,235
4,180,354
5,103,10
5,113,50
5,178,198
5,182,9
6,56,90
6,120,5
6,143,10
7,102,34
7,153,26
7,205,832
8,89,19
8,103,70
8,112,36
8,122,313
8,125,272
8,144,245
8,148,114
8,159,177
8,163,136
8,206,832
9,99,154
9,116,48
9,183,204
10,102,34
10,146,109
10,152,110
10,173,68
10,183,101
11,72,182
11,92,37
11,99,191
11,102,37
11,103,37
11,117,762
11,130,408
11,146,504
11,151,198
12,117,272
12,127,1019
12,151,1517
13,137,245
13,155,154
13,183,920
14,54,198
14,97,111
14,128,282
14,156,1
15,58,22
15,125,245
15,140,2
15,148,250
15,173,136
16,103,10
16,146,19
16,149,161
16,166,245
17,102,34
17,129,4
17,161,139
17,188,381
18,103,20
18,138,8
18,197,149
19,53,47
19,120,136
19,152,227
19,175,599
20,56,200
20,70,5
20,120,136
20,205,832
21,65,234
21,108,198
21,116,4
21,156,136
21,159,177
21,180,19
21,198,129
22,103,50
22,120,548
22,150,17
22,168,11
22,175,735
22,206,832
23,104,108
23,132,401
23,135,762
23,173,136
23,174,272
23,188,1073
23,195,1664
24,112,21
24,183,19
25,104,108
25,145,19
25,166,45
26,103,50
26,113,204
26,122,136
26,128,1924
26,145,136
26,157,110
26,183,517
26,184,2
26,188,272
27,111,18
27,113,50
27,129,106
28,104,274
28,113,50
28,152,425
29,41,13
29,139,208
29,190,2
30,99,154
30,113,50
30,195,1664
31,120,34
31,128,1019
31,145,136
31,170,38
32,66,150
32,126,415
32,144,1
32,167,40
33,108,139
33,158,381
33,183,397
34,113,50
34,127,1019
34,156,45
35,111,154
35,120,14
35,129,106
36,72,155
36,120,2590
36,138,53
37,102,34
37,120,272
37,187,208
38,42,301
38,78,66
38,112,17
38,131,1796
38,156,19
39,41,377
39,54,539
39,60,37
39,62,37
39,82,39
39,84,318
39,87,176
39,92,112
39,93,885
39,102,186
39,108,1696
39,119,12
39,121,216
39,125,1019
39,126,565
39,127,565
39,129,565
39,157,5
39,188,136
40,43,154
40,49,37
40,72,1
40,84,154
40,96,150
40,104,98
40,140,17
41,42,74
41,43,188
41,46,53
41,48,1085
41,49,1045
41,50,42
41,54,695
41,57,142
41,59,515
41,60,779
41,68,1524
41,71,331
41,74,154
41,76,255
41,77,388
41,81,250
41,82,70
41,84,960
41,86,317
41,87,280
41,91,571
41,92,794
41,93,72
41,95,57
41,98,78
41,100,87
41,101,168
41,102,2349
41,103,38
41,104,21
41,105,154
41,108,793
41,111,219
41,112,410
41,119,18
41,120,95
41,121,95
41,122,189
41,124,699
41,126,1926
41,127,4090
41,129,1915
41,158,112
41,169,5
41,177,2270
42,54,139
42,67,346
42,68,10
42,84,154
42,87,5
42,89,94
42,92,263
42,100,95
42,101,232
42,102,246
42,103,154
42,119,163
42,123,20
42,126,30
42,127,30
42,128,1099
42,129,30
42,130,1099
42,145,10
43,53,1
43,54,536
43,56,51
43,64,99
43,71,75
43,77,1273
43,82,202
43,84,1759
43,87,1061
43,88,1
43,92,10
43,115,154
43,124,466
43,126,320
43,127,341
43,129,318
43,175,20
43,194,1559
44,63,283
44,74,12
44,78,15
44,96,472
44,99,10
44,105,34
44,119,4
44,122,8
44,125,72
44,126,8
44,127,8
44,129,8
44,152,200
44,159,69
44,173,8
45,60,2
45,101,1
45,102,2
45,103,1
45,113,77
45,119,6
45,126,6
45,127,1266
45,129,2
45,146,1530
45,160,154
46,48,495
46,59,104
46,87,5
46,99,1105
46,107,53
46,110,110
46,112,441
46,119,37
46,126,10
46,127,10
46,128,1648
46,129,5
46,154,88
46,167,28
47,56,308
47,64,90
47,158,136
47,198,832
47,207,832
48,59,1210
48,60,248
48,70,112
48,72,112
48,73,126
48,78,8
48,84,5
48,90,86
48,92,1013
48,101,136
48,102,584
48,119,203
48,126,310
48,127,310
48,128,1019
48,129,175
48,147,5
48,155,92
48,177,23
49,59,34
49,61,191
49,76,14
49,83,391
49,86,269
49,87,154
49,92,154
49,102,1821
49,103,37
49,104,108
49,119,553
49,126,553
49,127,5916
49,129,553
49,146,25
50,76,20
50,98,154
50,100,308
50,119,106
50,124,139
50,127,3
50,128,1019
50,149,74
50,153,109
50,176,11
51,88,17
51,102,160
51,119,317
51,126,3
51,127,3
51,128,1019
51,129,3
51,146,109
51,149,174
51,158,7
51,208,198
52,54,288
52,55,327
52,59,136
52,62,136
52,68,723
52,70,6
52,72,155
52,77,334
52,78,260
52,83,136
52,89,23
52,90,638
52,91,136
52,92,693
52,99,141
52,100,226
52,102,80
52,107,708
52,117,13
52,119,317
52,121,218
52,122,265
52,123,41
52,126,770
52,127,770
52,128,1796
52,129,770
52,132,106
52,134,120
52,135,25
52,139,79
52,143,19
52,145,397
52,146,2
52,148,9
52,152,247
52,158,136
52,162,210
52,176,8
52,182,34
52,186,190
52,194,70
52,195,1215
52,196,484
52,205,2496
52,208,25
53,54,420
53,63,1
53,65,112
53,71,154
53,75,1300
53,77,7
53,84,53
53,88,542
53,89,129
53,92,358
53,116,3
53,119,264
53,126,10
53,127,10
53,128,1019
53,129,380
53,152,212
53,194,35
53,195,54
53,196,55
54,58,14
54,59,8
54,60,123
54,62,10
54,65,133
54,66,330
54,76,193
54,77,444
54,78,2439
54,82,194
54,84,370
54,85,154
54,87,1
54,88,17
54,89,300
54,90,185
54,91,105
54,92,141
54,93,209
54,97,4
54,99,37
54,101,1578
54,102,242
54,103,257
54,104,185
54,106,4
54,108,326
54,109,130
54,111,20
54,119,2
54,125,3200
54,126,694
54,127,141
54,128,1019
54,129,141
54,142,4
54,143,817
54,146,14
54,150,2115
54,152,357
54,166,1546
54,167,1290
54,183,123
54,186,201
54,194,3223
54,195,1559
54,196,1521
54,197,1664
55,59,10
55,62,7
55,65,372
55,72,2637
55,88,10
55,92,154
55,95,1603
55,104,108
55,107,186
55,116,206
55,141,227
55,146,2153
55,161,198
55,177,198
55,194,3154
55,195,56
55,196,321
56,58,35
56,62,154
56,66,1928
56,67,1251
56,68,315
56,69,154
56,71,136
56,84,167
56,85,12
56,86,1
56,95,36
56,101,430
56,102,106
56,104,247
56,119,20
56,124,699
56,125,1019
56,126,160
56,127,171
56,128,1019
56,129,162
56,136,161
56,142,2172
56,143,8
56,145,5
56,146,3
56,152,136
56,177,154
56,194,104
56,195,109
56,196,248
56,209,195
57,78,10
57,82,354
57,84,16
57,92,37
57,98,154
57,99,37
57,102,191
57,103,37
57,104,108
57,108,53
57,109,1599
57,123,11
57,160,98
57,173,4
57,176,40
57,188,1736
57,195,107
57,196,107
57,198,832
58,61,424
58,63,215
58,75,10
58,77,3
58,87,291
58,102,234
58,109,43
58,122,4
58,126,3
58,127,3
58,129,3
58,137,69
58,140,339
58,152,131
58,159,91
58,166,8
58,169,19
58,183,59
58,194,173
58,195,476
58,196,828
58,198,1964
58,205,1664
58,209,271
59,60,334
59,63,27
59,69,154
59,75,106
59,82,273
59,84,18
59,87,25
59,91,11
59,92,1277
59,101,17
59,102,1236
59,107,136
59,112,248
59,113,88
59,116,117
59,118,154
59,126,316
59,127,339
59,128,1019
59,129,316
59,137,68
59,145,689
59,147,110
59,148,5
59,150,21
59,162,112
59,166,16
59,170,16
59,180,41
59,185,163
59,191,4
59,194,70
59,195,164
59,196,181
59,199,1664
59,210,1
60,78,331
60,82,37
60,92,706
60,95,1353
60,102,124
60,108,42
60,109,37
60,111,154
60,112,90
60,119,126
60,123,138
60,126,700
60,127,907
60,129,838
60,137,214
60,146,93
60,164,20
60,188,2168
60,194,104
60,195,159
60,196,997
60,199,56
61,63,68
61,74,14
61,84,14
61,87,18
61,99,467
61,120,2
61,121,2
61,122,34
61,128,590
61,140,630
61,176,56
61,181,1692
61,194,104
61,195,2904
61,196,668
62,63,206
62,65,24
62,71,193
62,77,87
62,82,39
62,84,820
62,85,724
62,87,2537
62,88,21
62,92,58
62,94,1106
62,100,70
62,102,133
62,108,49
62,119,200
62,126,674
62,127,310
62,129,510
62,132,22
62,137,221
62,143,154
62,156,14
62,158,8
62,169,14
62,180,451
62,188,41
62,194,35
62,195,176
62,196,1447
63,79,4
63,81,198
63,87,155
63,88,198
63,89,16
63,90,179
63,102,5
63,104,123
63,105,113
63,109,203
63,117,198
63,120,1
63,122,1
63,123,124
63,143,198
63,146,2409
63,158,476
63,169,377
63,187,22
63,188,39
63,194,3223
63,195,312
63,196,312
63,198,1664
64,67,901
64,75,28
64,77,70
64,79,22
64,93,14
64,95,154
64,98,27
64,102,362
64,126,1
64,137,205
64,145,12
64,160,10
65,67,137
65,72,19
65,73,7
65,82,1
65,88,62
65,90,1213
65,108,350
65,126,4
65,127,4
65,129,4
65,134,1066
65,140,81
65,156,14
65,161,25
65,183,431
65,188,5
65,194,35
65,195,111
65,196,1203
65,206,832
66,84,289
66,88,7
66,92,28
66,101,1910
66,119,317
66,124,466
66,126,321
66,127,321
66,128,1068
66,129,321
66,139,220
66,170,2
66,188,80
66,194,35
66,195,1324
66,196,618
66,206,832
67,69,1
67,70,11
67,71,291
67,77,1299
67,89,625
67,92,9
67,100,139
67,102,43
67,103,308
67,104,185
67,112,1776
67,121,1
67,122,20
67,136,154
67,139,167
67,142,3539
67,145,38
67,147,70
67,152,7
67,177,272
67,182,9
67,194,35
67,195,140
67,196,210
67,206,832
68,73,1267
68,76,17
68,81,518
68,92,7
68,95,121
68,99,1044
68,102,335
68,107,50
68,119,106
68,124,699
68,126,5
68,127,5
68,129,5
68,135,121
68,136,408
68,137,2286
68,142,76
68,158,15
68,159,949
