Node,Degree,DegreeDeviation,Neighborhood,ConnectiveRedundancy,XNeighborhood,AvgShortestPath
0,0,0.000000,0,0,0,
1,0,0.000000,0,0,0,
2,0,0.000000,0,0,0,
3,1,0.500000,1,0,0,1.000000
4,0,0.000000,0,0,0,
5,0,0.000000,0,0,0,
6,0,0.000000,0,0,0,
7,0,0.000000,0,0,0,
8,0,0.000000,0,0,0,
9,0,0.000000,0,0,0,
10,0,0.000000,0,0,0,
11,0,0.000000,0,0,0,
12,0,0.000000,0,0,0,
13,0,0.000000,0,0,0,
14,0,0.000000,0,0,0,
15,0,0.000000,0,0,0,
16,0,0.000000,0,0,0,
17,0,0.000000,0,0,0,
18,0,0.000000,0,0,0,
19,0,0.000000,0,0,0,
20,0,0.000000,0,0,0,
21,2,1.000000,2,0,0,3.066667
22,1,0.500000,1,0,0,1.000000
23,0,0.000000,0,0,0,
24,0,0.000000,0,0,0,
25,0,0.000000,0,0,0,
26,0,0.000000,0,0,0,
27,0,0.000000,0,0,0,
28,0,0.000000,0,0,0,
29,0,0.000000,0,0,0,
30,0,0.000000,0,0,0,
31,0,0.000000,0,0,0,
32,0,0.000000,0,0,0,
33,0,0.000000,0,0,0,
34,0,0.000000,0,0,0,
35,0,0.000000,0,0,0,
36,0,0.000000,0,0,0,
37,0,0.000000,0,0,0,
38,1,0.500000,1,0,0,5.121951
39,1,0.500000,1,0,0,5.121951
40,1,0.500000,1,0,0,4.317073
41,4,2.000000,4,0,0,5.975610
42,2,1.000000,2,0,0,4.146341
43,4,2.000000,4,0,0,4.463415
44,0,0.000000,0,0,0,
45,0,0.000000,0,0,0,
46,3,1.500000,3,0,0,5.756098
47,0,0.000000,0,0,0,
48,2,1.000000,2,0,0,4.878049
49,0,0.000000,0,0,0,
50,0,0.000000,0,0,0,
51,0,0.000000,0,0,0,
52,2,1.000000,2,0,0,4.146341
53,1,0.500000,1,0,0,4.195122
54,1,0.500000,1,0,0,4.902439
55,2,1.000000,2,0,0,1.000000
56,1,0.500000,1,0,0,4.266667
57,0,0.000000,0,0,0,
58,1,0.500000,1,0,0,1.000000
59,3,1.500000,3,0,0,4.000000
60,2,1.000000,2,0,0,6.902439
61,0,0.000000,0,0,0,
62,3,1.500000,3,0,0,4.439024
63,0,0.000000,0,0,0,
64,0,0.000000,0,0,0,
65,2,1.000000,2,0,0,3.866667
66,2,1.000000,2,0,0,3.333333
67,0,0.000000,0,0,0,
68,2,1.000000,2,0,0,6.926829
69,0,0.000000,0,0,0,
70,2,1.000000,2,0,0,4.146341
71,2,1.000000,2,0,0,5.195122
72,1,0.500000,1,0,0,1.500000
73,0,0.000000,0,0,0,
74,0,0.000000,0,0,0,
75,0,0.000000,0,0,0,
76,2,1.000000,2,0,0,4.146341
77,1,0.500000,1,0,0,5.439024
78,0,0.000000,0,0,0,
79,0,0.000000,0,0,0,
80,0,0.000000,0,0,0,
81,2,1.000000,2,0,0,6.926829
82,1,0.500000,1,0,0,5.439024
83,0,0.000000,0,0,0,
84,2,1.000000,2,0,0,3.878049
85,2,1.000000,2,0,0,3.707317
86,0,0.000000,0,0,0,
87,1,0.500000,1,0,0,4.317073
88,1,0.500000,1,0,0,4.800000
89,0,0.000000,0,0,0,
90,1,0.500000,1,0,0,4.195122
91,0,0.000000,0,0,0,
92,10,5.000000,10,0,0,3.219512
93,2,1.000000,2,0,0,4.146341
94,2,0.000000,2,0,0,5.268293
95,1,0.500000,1,0,0,1.500000
96,1,0.500000,1,0,0,1.000000
97,1,0.500000,1,0,0,1.000000
98,1,0.500000,1,0,0,5.121951
99,1,0.500000,1,0,0,6.731707
100,4,2.000000,4,0,1,3.243902
101,3,1.500000,3,0,0,3.926829
102,6,3.000000,6,0,0,3.024390
103,3,1.500000,3,0,0,3.634146
104,6,3.000000,6,0,0,3.341463
105,0,0.000000,0,0,0,
106,0,0.000000,0,0,0,
107,3,1.500000,3,0,1,4.121951
108,0,0.000000,0,0,0,
109,0,0.000000,0,0,0,
110,0,0.000000,0,0,0,
111,0,0.000000,0,0,0,
112,2,1.000000,2,0,0,4.878049
113,0,0.000000,0,0,0,
114,0,0.000000,0,0,0,
115,0,0.000000,0,0,0,
116,1,0.500000,1,0,0,2.800000
117,2,0.000000,2,0,0,6.146341
118,0,0.000000,0,0,0,
119,0,0.000000,0,0,0,
120,1,0.500000,1,0,0,1.000000
121,0,0.000000,0,0,0,
122,0,0.000000,0,0,0,
123,0,0.000000,0,0,0,
124,0,0.000000,0,0,0,
125,1,0.500000,1,0,0,2.800000
126,0,0.000000,0,0,0,
127,0,0.000000,0,0,0,
128,2,1.000000,2,0,0,2.533333
129,0,0.000000,0,0,0,
130,0,0.000000,0,0,0,
131,0,0.000000,0,0,0,
132,1,0.500000,1,0,0,1.500000
133,1,0.500000,1,0,0,1.000000
134,0,0.000000,0,0,0,
135,3,0.500000,3,0,0,2.400000
136,0,0.000000,0,0,0,
137,1,0.500000,1,0,0,5.414634
138,1,0.500000,1,0,0,4.133333
139,0,0.000000,0,0,0,
140,1,0.500000,1,0,0,1.000000
141,0,0.000000,0,0,0,
142,0,0.000000,0,0,0,
143,0,0.000000,0,0,0,
144,0,0.000000,0,0,0,
145,0,0.000000,0,0,0,
146,1,0.500000,1,0,0,7.878049
147,1,0.500000,1,0,0,1.000000
148,1,0.500000,1,0,0,1.000000
149,2,0.000000,2,0,0,3.200000
150,1,0.500000,1,0,0,2.800000
151,0,0.000000,0,0,0,
152,0,0.000000,0,0,0,
153,0,0.000000,0,0,0,
154,0,0.000000,0,0,0,
155,0,0.000000,0,0,0,
156,0,0.000000,0,0,0,
157,2,0.000000,2,0,0,1.000000
158,1,0.500000,1,0,0,1.000000
159,1,0.500000,1,0,0,1.000000
160,2,0.000000,2,0,0,7.073171
161,0,0.000000,0,0,0,
162,1,0.500000,1,0,0,1.000000
163,0,0.000000,0,0,0,
164,0,0.000000,0,0,0,
165,0,0.000000,0,0,0,
166,1,0.500000,1,0,0,2.800000
167,1,0.500000,1,0,0,1.000000
168,1,0.500000,1,0,0,3.333333
169,0,0.000000,0,0,0,
170,0,0.000000,0,0,0,
171,0,0.000000,0,0,0,
172,1,0.500000,1,0,0,1.000000
173,0,0.000000,0,0,0,
174,0,0.000000,0,0,0,
175,0,0.000000,0,0,0,
176,0,0.000000,0,0,0,
177,1,0.500000,1,0,0,8.048780
178,1,0.500000,1,0,0,1.500000
179,0,0.000000,0,0,0,
180,2,1.000000,2,0,0,2.400000
181,0,0.000000,0,0,0,
182,1,0.500000,1,0,0,1.000000
183,0,0.000000,0,0,0,
184,0,0.000000,0,0,0,
185,0,0.000000,0,0,0,
186,7,3.500000,7,0,0,1.866667
187,0,0.000000,0,0,0,
188,0,0.000000,0,0,0,
189,0,0.000000,0,0,0,
190,0,0.000000,0,0,0,
191,0,0.000000,0,0,0,
192,0,0.000000,0,0,0,
193,0,0.000000,0,0,0,
194,0,0.000000,0,0,0,
195,0,0.000000,0,0,0,
196,0,0.000000,0,0,0,
197,0,0.000000,0,0,0,
198,0,0.000000,0,0,0,
199,0,0.000000,0,0,0,
200,0,0.000000,0,0,0,
