Node,Degree,DegreeDeviation,Neighborhood,ConnectiveRedundancy,XNeighborhood,AvgShortestPath
0,10,0.872635,10,0.5454545454545454,10,2.129630
1,3,0.408138,3,0.5,3,2.685185
2,4,0.389144,4,0.5,4,2.263889
3,4,0.320559,4,0.19999999999999996,4,2.597222
4,4,0.607329,4,0.4285714285714286,4,2.486111
5,4,0.361776,4,0,4,2.560185
6,3,0.254755,3,0,3,2.625000
7,3,0.361776,3,0.25,3,2.574074
8,10,0.798863,10,0.2857142857142857,10,2.259259
9,3,0.254755,3,0,3,2.601852
10,5,0.478867,5,0.2857142857142857,5,2.361111
11,9,0.822217,9,0.3076923076923077,9,2.273148
12,3,0.361776,3,0.25,3,2.504630
13,3,0.408138,3,0.5,3,2.611111
14,4,0.346504,4,0.33333333333333337,4,2.486111
15,5,0.580930,5,0.375,5,2.527778
16,4,0.408138,4,0.33333333333333337,4,2.509259
17,4,0.320559,4,0.19999999999999996,4,2.365741
18,3,0.290465,3,0.25,3,2.731481
19,4,0.346504,4,0.33333333333333337,4,2.643519
20,4,0.369175,4,0.4285714285714286,4,2.675926
21,7,0.658595,7,0.41666666666666663,7,2.430556
22,6,0.497696,6,0.5,6,2.444444
23,7,0.793429,7,0.46153846153846156,7,2.236111
24,2,0.254755,2,0.33333333333333337,2,2.666667
25,3,0.254755,3,0,3,2.689815
26,9,0.886166,9,0.4,9,2.259259
27,3,0.254755,3,0,3,2.486111
28,3,0.369175,3,0.5714285714285714,3,2.597222
29,3,0.254755,3,0,3,2.671296
30,3,0.254755,3,0,3,2.277778
31,4,0.346504,4,0.33333333333333337,4,2.564815
32,4,0.320559,4,0.19999999999999996,4,2.527778
33,3,0.290465,3,0.25,3,2.685185
34,3,0.254755,3,0,3,2.453704
35,3,0.290465,3,0.25,3,2.532407
36,3,0.565838,3,0.8,3,2.759259
37,3,0.254755,3,0,3,2.560185
38,5,0.592909,5,0.4444444444444444,5,2.569444
39,19,1.477797,19,0.5777777777777777,19,2.078704
40,7,0.460442,7,0.2222222222222222,7,2.467593
41,47,4.639171,47,0.7025316455696202,47,1.865741
42,21,1.649360,21,0.5227272727272727,21,2.050926
43,20,1.475966,20,0.6226415094339622,20,2.083333
44,15,0.844926,15,0.34782608695652173,15,2.166667
45,11,0.706150,11,0.2142857142857143,11,2.194444
46,15,1.024312,15,0.5588235294117647,15,2.115741
47,5,0.474327,5,0.5,5,2.611111
48,21,1.979342,21,0.6557377049180328,21,2.083333
49,17,1.602459,17,0.5526315789473684,17,2.111111
50,11,0.754292,11,0.38888888888888884,11,2.226852
51,11,0.605545,11,0.2666666666666667,11,2.175926
52,46,3.195454,46,0.5353535353535354,46,1.833333
