Node,OccCentrality,TotalDegree,AvgRelevance,AvgExclusiveRelevance,Deg_L0,Rel_L0,ExRel_L0,Deg_L1,Rel_L1,ExRel_L1,Deg_L2,Rel_L2,ExRel_L2,Deg_L3,Rel_L3,ExRel_L3,Deg_L4,Rel_L4,ExRel_L4,Deg_L5,Rel_L5,ExRel_L5,Deg_L6,Rel_L6,ExRel_L6,Deg_L7,Rel_L7,ExRel_L7,Deg_L8,Rel_L8,ExRel_L8,Deg_L9,Rel_L9,ExRel_L9,Deg_L10,Rel_L10,ExRel_L10,Deg_L11,Rel_L11,ExRel_L11,Deg_L12,Rel_L12,ExRel_L12,Deg_L13,Rel_L13,ExRel_L13,Deg_L14,Rel_L14,ExRel_L14,Deg_L15,Rel_L15,ExRel_L15,Deg_L16,Rel_L16,ExRel_L16,Deg_L17,Rel_L17,ExRel_L17,Deg_L18,Rel_L18,ExRel_L18,Deg_L19,Rel_L19,ExRel_L19,Deg_L20,Rel_L20,ExRel_L20,Deg_L21,Rel_L21,ExRel_L21,Deg_L22,Rel_L22,ExRel_L22,Deg_L23,Rel_L23,ExRel_L23,Deg_L24,Rel_L24,ExRel_L24,Deg_L25,Rel_L25,ExRel_L25,Deg_L26,Rel_L26,ExRel_L26,Deg_L27,Rel_L27,ExRel_L27,Deg_L28,Rel_L28,ExRel_L28,Deg_L29,Rel_L29,ExRel_L29,Deg_L30,Rel_L30,ExRel_L30,Deg_L31,Rel_L31,ExRel_L31,Deg_L32,Rel_L32,ExRel_L32,Deg_L33,Rel_L33,ExRel_L33,Deg_L34,Rel_L34,ExRel_L34,Deg_L35,Rel_L35,ExRel_L35,Deg_L36,Rel_L36,ExRel_L36,Deg_L37,Rel_L37,ExRel_L37,Deg_L38,Rel_L38,ExRel_L38,Deg_L39,Rel_L39,ExRel_L39,Deg_L40,Rel_L40,ExRel_L40,Deg_L41,Rel_L41,ExRel_L41,Deg_L42,Rel_L42,ExRel_L42
196,0.034170,324,0.0542,0.0049,0,0.0000,0.0000,0,0.0000,0.0000,36,0.2590,0.0288,18,0.1295,0.0000,126,0.9065,0.1367,48,0.3453,0.0216,2,0.0144,0.0000,91,0.6547,0.0144,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0072,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0072,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0072,0.0072,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
194,0.029440,162,0.0314,0.0153,42,0.3500,0.0083,119,0.9917,0.6500,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0083,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
195,0.028860,293,0.0516,0.0058,0,0.0000,0.0000,0,0.0000,0.0000,30,0.2273,0.0606,10,0.0758,0.0000,105,0.7955,0.1061,53,0.4015,0.0303,1,0.0076,0.0000,91,0.6894,0.0379,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0076,0.0076,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,2,0.0152,0.0076,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
102,0.017620,250,0.0868,0.0066,1,0.0149,0.0149,1,0.0149,0.0149,2,0.0299,0.0000,7,0.1045,0.0299,1,0.0149,0.0000,0,0.0000,0.0000,1,0.0149,0.0149,5,0.0746,0.0149,0,0.0000,0.0000,4,0.0597,0.0000,3,0.0448,0.0000,27,0.4030,0.0000,14,0.2090,0.0000,7,0.1045,0.0000,23,0.3433,0.0299,2,0.0299,0.0000,1,0.0149,0.0000,6,0.0896,0.0000,10,0.1493,0.0149,2,0.0299,0.0000,5,0.0746,0.0149,6,0.0896,0.0746,17,0.2537,0.0299,8,0.1194,0.0000,7,0.1045,0.0000,4,0.0597,0.0000,7,0.1045,0.0149,0,0.0000,0.0000,13,0.1940,0.0149,3,0.0448,0.0000,2,0.0299,0.0000,7,0.1045,0.0000,4,0.0597,0.0000,19,0.2836,0.0000,8,0.1194,0.0000,3,0.0448,0.0000,20,0.2985,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
188,0.016390,173,0.0639,0.0063,1,0.0159,0.0000,1,0.0159,0.0000,9,0.1429,0.0000,8,0.1270,0.0159,3,0.0476,0.0000,3,0.0476,0.0000,3,0.0476,0.0159,1,0.0159,0.0000,1,0.0159,0.0159,9,0.1429,0.0000,15,0.2381,0.0000,2,0.0317,0.0000,7,0.1111,0.0317,3,0.0476,0.0000,0,0.0000,0.0000,13,0.2063,0.0000,6,0.0952,0.0317,0,0.0000,0.0000,2,0.0317,0.0000,0,0.0000,0.0000,6,0.0952,0.0000,15,0.2381,0.0000,14,0.2222,0.0000,1,0.0159,0.0000,4,0.0635,0.0159,1,0.0159,0.0000,5,0.0794,0.0000,4,0.0635,0.0159,0,0.0000,0.0000,4,0.0635,0.0000,5,0.0794,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,7,0.1111,0.0317,2,0.0317,0.0000,4,0.0635,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,11,0.1746,0.0952,2,0.0317,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0159,0.0000
128,0.015405,167,0.0637,0.0080,1,0.0164,0.0000,1,0.0164,0.0000,5,0.0820,0.0000,4,0.0656,0.0000,23,0.3770,0.2295,5,0.0820,0.0000,2,0.0328,0.0000,2,0.0328,0.0000,0,0.0000,0.0000,6,0.0984,0.0000,7,0.1148,0.0000,1,0.0164,0.0000,9,0.1475,0.0000,1,0.0164,0.0000,1,0.0164,0.0000,16,0.2623,0.0492,6,0.0984,0.0000,2,0.0328,0.0000,6,0.0984,0.0164,0,0.0000,0.0000,11,0.1803,0.0164,2,0.0328,0.0000,7,0.1148,0.0000,0,0.0000,0.0000,6,0.0984,0.0000,0,0.0000,0.0000,5,0.0820,0.0000,6,0.0984,0.0000,1,0.0164,0.0000,6,0.0984,0.0000,6,0.0984,0.0000,4,0.0656,0.0164,3,0.0492,0.0000,8,0.1311,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0164,0.0000,0,0.0000,0.0000,2,0.0328,0.0000,1,0.0164,0.0164,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
186,0.015070,140,0.0626,0.0085,0,0.0000,0.0000,2,0.0385,0.0192,3,0.0577,0.0000,4,0.0769,0.0000,2,0.0385,0.0000,14,0.2692,0.0769,1,0.0192,0.0192,2,0.0385,0.0000,1,0.0192,0.0000,6,0.1154,0.0000,6,0.1154,0.0385,0,0.0000,0.0000,12,0.2308,0.0385,0,0.0000,0.0000,1,0.0192,0.0000,9,0.1731,0.0000,4,0.0769,0.0000,7,0.1346,0.0000,6,0.1154,0.0385,0,0.0000,0.0000,5,0.0962,0.0192,3,0.0577,0.0000,5,0.0962,0.0000,1,0.0192,0.0000,4,0.0769,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,4,0.0769,0.0192,0,0.0000,0.0000,7,0.1346,0.0000,7,0.1346,0.0000,3,0.0577,0.0192,5,0.0962,0.0000,11,0.2115,0.0577,3,0.0577,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0192,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0192,0.0192
92,0.014640,212,0.0822,0.0093,0,0.0000,0.0000,1,0.0167,0.0167,2,0.0333,0.0167,2,0.0333,0.0000,2,0.0333,0.0167,2,0.0333,0.0000,1,0.0167,0.0167,5,0.0833,0.0000,0,0.0000,0.0000,5,0.0833,0.0000,1,0.0167,0.0000,19,0.3167,0.0167,5,0.0833,0.0000,8,0.1333,0.0000,15,0.2500,0.0000,1,0.0167,0.0000,10,0.1667,0.0833,10,0.1667,0.0000,11,0.1833,0.0333,2,0.0333,0.0000,9,0.1500,0.0167,3,0.0500,0.0000,14,0.2333,0.0333,4,0.0667,0.0000,4,0.0667,0.0333,2,0.0333,0.0000,7,0.1167,0.0167,0,0.0000,0.0000,11,0.1833,0.0667,1,0.0167,0.0000,1,0.0167,0.0000,5,0.0833,0.0000,1,0.0167,0.0000,20,0.3333,0.0000,4,0.0667,0.0000,4,0.0667,0.0000,20,0.3333,0.0333,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
126,0.013820,157,0.0474,0.0112,0,0.0000,0.0000,2,0.0260,0.0130,1,0.0130,0.0000,2,0.0260,0.0000,4,0.0519,0.0130,3,0.0390,0.0130,2,0.0260,0.0130,30,0.3896,0.0649,2,0.0260,0.0130,53,0.6883,0.3117,3,0.0390,0.0000,1,0.0130,0.0000,4,0.0519,0.0130,1,0.0130,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,5,0.0649,0.0000,0,0.0000,0.0000,2,0.0260,0.0000,0,0.0000,0.0000,2,0.0260,0.0000,3,0.0390,0.0000,6,0.0779,0.0000,2,0.0260,0.0000,3,0.0390,0.0000,0,0.0000,0.0000,1,0.0130,0.0000,2,0.0260,0.0130,0,0.0000,0.0000,1,0.0130,0.0000,6,0.0779,0.0000,4,0.0519,0.0130,3,0.0390,0.0000,7,0.0909,0.0000,1,0.0130,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0130,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
127,0.013710,162,0.0449,0.0091,0,0.0000,0.0000,1,0.0119,0.0119,1,0.0119,0.0000,1,0.0119,0.0000,18,0.2143,0.0476,7,0.0833,0.0000,0,0.0000,0.0000,31,0.3690,0.0238,1,0.0119,0.0000,59,0.7024,0.2500,9,0.1071,0.0476,2,0.0238,0.0000,6,0.0714,0.0000,1,0.0119,0.0000,1,0.0119,0.0119,1,0.0119,0.0000,1,0.0119,0.0000,0,0.0000,0.0000,1,0.0119,0.0000,0,0.0000,0.0000,4,0.0476,0.0000,1,0.0119,0.0000,2,0.0238,0.0000,0,0.0000,0.0000,1,0.0119,0.0000,0,0.0000,0.0000,1,0.0119,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0119,0.0000,2,0.0238,0.0000,0,0.0000,0.0000,1,0.0119,0.0000,4,0.0476,0.0000,2,0.0238,0.0000,1,0.0119,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,1,0.0119,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000
