Node,DegreeWeighted
0,22
1,6
2,8
3,5
4,7
5,4
6,3
7,4
8,14
9,3
10,7
11,13
12,4
13,6
14,6
15,8
16,6
17,5
18,4
19,6
20,7
21,12
22,12
23,13
24,3
25,3
26,15
27,3
28,7
29,3
30,3
31,6
32,5
33,4
34,3
35,4
36,15
37,3
38,9
39,45
40,9
41,158
42,44
43,53
44,23
45,14
46,34
47,10
48,61
49,38
50,18
51,15
52,99
53,44
54,133
55,50
56,80
57,38
58,55
59,115
60,72
61,41
62,71
63,49
64,20
65,52
66,54
67,76
68,60
69,38
70,70
71,43
72,39
73,53
74,16
75,43
76,34
77,93
78,49
79,15
80,22
81,40
82,60
83,41
84,106
85,48
86,24
87,80
88,79
89,124
90,50
91,35
92,212
93,66
94,47
95,61
96,44
97,44
98,94
99,65
100,128
101,123
102,250
103,92
104,85
105,10
106,18
107,56
108,90
109,96
110,51
111,44
112,121
113,69
114,7
115,22
116,108
117,63
118,30
119,80
120,48
121,89
122,65
123,74
124,60
125,68
126,157
127,162
128,167
129,133
130,30
131,29
132,77
133,36
134,66
135,135
136,63
137,125
138,65
139,55
140,93
141,44
142,76
143,103
144,29
145,54
146,121
147,40
148,61
149,76
150,90
151,34
152,57
153,63
154,34
155,38
156,48
157,35
158,56
159,91
160,84
161,29
162,98
163,20
164,45
165,35
166,44
167,41
168,78
169,39
170,32
171,42
172,52
173,81
174,23
175,88
176,36
177,69
178,28
179,30
180,51
181,46
182,89
183,71
184,40
185,39
186,140
187,38
188,173
189,18
190,16
191,36
192,34
193,2
194,162
195,293
196,324
197,31
198,21
199,13
200,5
201,6
202,13
203,3
204,3
205,10
206,18
207,10
208,17
209,13
210,5
211,9
212,5
213,6
214,2
215,4
216,5
