Node,ExclusiveNeighborhood
0,6
1,1
2,1
3,3
4,1
5,4
6,3
7,2
8,6
9,3
10,3
11,5
12,2
13,1
14,2
15,3
16,2
17,3
18,2
19,2
20,3
21,3
22,4
23,4
24,1
25,3
26,6
27,3
28,1
29,3
30,3
31,2
32,3
33,2
34,3
35,2
36,1
37,3
38,3
39,7
40,5
41,11
42,10
43,8
44,12
45,9
46,7
47,3
48,6
49,10
50,6
51,8
52,22
53,13
54,22
55,7
56,16
57,10
58,11
59,20
60,9
61,7
62,14
63,15
64,10
65,12
66,8
67,13
68,14
69,16
70,10
71,12
72,10
73,9
74,7
75,13
76,8
77,20
78,15
79,8
80,3
81,5
82,12
83,10
84,23
85,19
86,8
87,16
88,17
89,16
90,8
91,14
92,24
93,11
94,8
95,15
96,9
97,13
98,19
99,17
100,16
101,11
102,19
103,19
104,16
105,4
106,4
107,16
108,15
109,7
110,6
111,10
112,27
113,18
114,7
115,11
116,18
117,17
118,6
119,59
120,14
121,23
122,16
123,15
124,26
125,22
126,37
127,33
128,21
129,28
130,11
131,7
132,8
133,5
134,7
135,16
136,15
137,19
138,6
139,15
140,14
141,7
142,10
143,26
144,6
145,11
146,24
147,11
148,16
149,14
150,16
151,8
152,12
153,15
154,8
155,7
156,12
157,10
158,19
159,15
160,14
161,7
162,17
163,6
164,8
165,3
166,7
167,6
168,16
169,11
170,8
171,6
172,11
173,20
174,7
175,12
176,15
177,10
178,5
179,16
180,9
181,6
182,21
183,13
184,10
185,14
186,19
187,8
188,17
189,1
190,6
191,6
192,2
193,2
194,79
195,33
196,29
197,16
198,12
199,11
200,3
201,1
202,1
203,3
204,3
205,10
206,18
207,10
208,5
209,1
210,2
211,2
212,3
213,1
214,0
215,0
216,3
