source,target,weight
0,103,1
0,107,1
0,116,1
0,119,1
0,131,1
0,143,1
0,162,1
0,164,1
0,195,1
0,196,1
1,66,1
1,116,1
1,148,1
2,66,1
2,116,1
2,188,1
2,196,1
3,84,1
3,112,1
3,115,1
3,147,1
4,66,1
4,129,1
4,172,1
4,180,1
5,103,1
5,113,1
5,178,1
5,182,1
6,56,1
6,120,1
6,143,1
7,102,1
7,153,1
7,205,1
8,89,1
8,103,1
8,112,1
8,122,1
8,125,1
8,144,1
8,148,1
8,159,1
8,163,1
8,206,1
9,99,1
9,116,1
9,183,1
10,102,1
10,146,1
10,152,1
10,173,1
10,183,1
11,72,1
11,92,1
11,99,1
11,102,1
11,103,1
11,117,1
11,130,1
11,146,1
11,151,1
12,117,1
12,127,1
12,151,1
13,137,1
13,155,1
13,183,1
14,54,1
14,97,1
14,128,1
14,156,1
15,58,1
15,125,1
15,140,1
15,148,1
15,173,1
16,103,1
16,146,1
16,149,1
16,166,1
17,102,1
17,129,1
17,161,1
17,188,1
18,103,1
18,138,1
18,197,1
19,53,1
19,120,1
19,152,1
19,175,1
20,56,1
20,70,1
20,120,1
20,205,1
21,65,1
21,108,1
21,116,1
21,156,1
21,159,1
21,180,1
21,198,1
22,103,1
22,120,1
22,150,1
22,168,1
22,175,1
22,206,1
23,104,1
23,132,1
23,135,1
23,173,1
23,174,1
23,188,1
23,195,1
24,112,1
24,183,1
25,104,1
25,145,1
25,166,1
26,103,1
26,113,1
26,122,1
26,128,1
26,145,1
26,157,1
26,183,1
26,184,1
26,188,1
27,111,1
27,113,1
27,129,1
28,104,1
28,113,1
28,152,1
29,41,1
29,139,1
29,190,1
30,99,1
30,113,1
30,195,1
31,120,1
31,128,1
31,145,1
31,170,1
32,66,1
32,126,1
32,144,1
32,167,1
33,108,1
33,158,1
33,183,1
34,113,1
34,127,1
34,156,1
35,111,1
35,120,1
35,129,1
36,72,1
36,120,1
36,138,1
37,102,1
37,120,1
37,187,1
38,42,1
38,78,1
38,112,1
38,131,1
38,156,1
39,41,1
39,54,1
39,60,1
39,62,1
39,82,1
39,84,1
39,87,1
39,92,1
39,93,1
39,102,1
39,108,1
39,119,1
39,121,1
39,125,1
39,126,1
39,127,1
39,129,1
39,157,1
39,188,1
40,43,1
40,49,1
40,72,1
40,84,1
40,96,1
40,104,1
40,140,1
41,42,1
41,43,1
41,46,1
41,48,1
41,49,1
41,50,1
41,54,1
41,57,1
41,59,1
41,60,1
41,68,1
41,71,1
41,74,1
41,76,1
41,77,1
41,81,1
41,82,1
41,84,1
41,86,1
41,87,1
41,91,1
41,92,1
41,93,1
41,95,1
41,98,1
41,100,1
41,101,1
41,102,1
41,103,1
41,104,1
41,105,1
41,108,1
41,111,1
41,112,1
41,119,1
41,120,1
41,121,1
41,122,1
41,124,1
41,126,1
41,127,1
41,129,1
41,158,1
41,169,1
41,177,1
42,54,1
42,67,1
42,68,1
42,84,1
42,87,1
42,89,1
42,92,1
42,100,1
42,101,1
42,102,1
42,103,1
42,119,1
42,123,1
42,126,1
42,127,1
42,128,1
42,129,1
42,130,1
42,145,1
43,53,1
43,54,1
43,56,1
43,64,1
43,71,1
43,77,1
43,82,1
43,84,1
43,87,1
43,88,1
43,92,1
43,115,1
43,124,1
43,126,1
43,127,1
43,129,1
43,175,1
43,194,1
44,63,1
44,74,1
44,78,1
44,96,1
44,99,1
44,105,1
44,119,1
44,122,1
44,125,1
44,126,1
44,127,1
44,129,1
44,152,1
44,159,1
44,173,1
45,60,1
45,101,1
45,102,1
45,103,1
45,113,1
45,119,1
45,126,1
45,127,1
45,129,1
45,146,1
45,160,1
46,48,1
46,59,1
46,87,1
46,99,1
46,107,1
46,110,1
46,112,1
46,119,1
46,126,1
46,127,1
46,128,1
46,129,1
46,154,1
46,167,1
47,56,1
47,64,1
47,158,1
47,198,1
47,207,1
48,59,1
48,60,1
48,70,1
48,72,1
48,73,1
48,78,1
48,84,1
48,90,1
48,92,1
48,101,1
48,102,1
48,119,1
48,126,1
48,127,1
48,128,1
48,129,1
48,147,1
48,155,1
48,177,1
49,59,1
49,61,1
49,76,1
49,83,1
49,86,1
49,87,1
49,92,1
49,102,1
49,103,1
49,104,1
49,119,1
49,126,1
49,127,1
49,129,1
49,146,1
50,76,1
50,98,1
50,100,1
50,119,1
50,124,1
50,127,1
50,128,1
50,149,1
50,153,1
50,176,1
51,88,1
51,102,1
51,119,1
51,126,1
51,127,1
51,128,1
51,129,1
51,146,1
51,149,1
51,158,1
51,208,1
52,54,1
52,55,1
52,59,1
52,62,1
52,68,1
52,70,1
52,72,1
52,77,1
52,78,1
52,83,1
52,89,1
52,90,1
52,91,1
52,92,1
52,99,1
52,100,1
52,102,1
52,107,1
52,117,1
52,119,1
52,121,1
52,122,1
52,123,1
52,126,1
52,127,1
52,128,1
52,129,1
52,132,1
52,134,1
52,135,1
52,139,1
52,143,1
52,145,1
52,146,1
52,148,1
52,152,1
52,158,1
52,162,1
52,176,1
52,182,1
52,186,1
52,194,1
52,195,1
52,196,1
52,205,1
52,208,1
53,54,1
53,63,1
53,65,1
53,71,1
53,75,1
53,77,1
53,84,1
53,88,1
53,89,1
53,92,1
53,116,1
53,119,1
53,126,1
53,127,1
53,128,1
53,129,1
53,152,1
53,194,1
53,195,1
53,196,1
54,58,1
54,59,1
54,60,1
54,62,1
54,65,1
54,66,1
54,76,1
54,77,1
54,78,1
54,82,1
54,84,1
54,85,1
54,87,1
54,88,1
54,89,1
54,90,1
54,91,1
54,92,1
54,93,1
54,97,1
54,99,1
54,101,1
54,102,1
54,103,1
54,104,1
54,106,1
54,108,1
54,109,1
54,111,1
54,119,1
54,125,1
54,126,1
54,127,1
54,128,1
54,129,1
54,142,1
54,143,1
54,146,1
54,150,1
54,152,1
54,166,1
54,167,1
54,183,1
54,186,1
54,194,1
54,195,1
54,196,1
54,197,1
55,59,1
55,62,1
55,65,1
55,72,1
55,88,1
55,92,1
55,95,1
55,104,1
55,107,1
55,116,1
55,141,1
55,146,1
55,161,1
55,177,1
55,194,1
55,195,1
55,196,1
56,58,1
56,62,1
56,66,1
56,67,1
56,68,1
56,69,1
56,71,1
56,84,1
56,85,1
56,86,1
56,95,1
56,101,1
56,102,1
56,104,1
56,119,1
56,124,1
56,125,1
56,126,1
56,127,1
56,128,1
56,129,1
56,136,1
56,142,1
56,143,1
56,145,1
56,146,1
56,152,1
56,177,1
56,194,1
56,195,1
56,196,1
56,209,1
57,78,1
57,82,1
57,84,1
57,92,1
57,98,1
57,99,1
57,102,1
57,103,1
57,104,1
57,108,1
57,109,1
57,123,1
57,160,1
57,173,1
57,176,1
57,188,1
57,195,1
57,196,1
57,198,1
58,61,1
58,63,1
58,75,1
58,77,1
58,87,1
58,102,1
58,109,1
58,122,1
58,126,1
58,127,1
58,129,1
58,137,1
58,140,1
58,152,1
58,159,1
58,166,1
58,169,1
58,183,1
58,194,1
58,195,1
58,196,1
58,198,1
58,205,1
58,209,1
59,60,1
59,63,1
59,69,1
59,75,1
59,82,1
59,84,1
59,87,1
59,91,1
59,92,1
59,101,1
59,102,1
59,107,1
59,112,1
59,113,1
59,116,1
59,118,1
59,126,1
59,127,1
59,128,1
59,129,1
59,137,1
59,145,1
59,147,1
59,148,1
59,150,1
59,162,1
59,166,1
59,170,1
59,180,1
59,185,1
59,191,1
59,194,1
59,195,1
59,196,1
59,199,1
59,210,1
60,78,1
60,82,1
60,92,1
60,95,1
60,102,1
60,108,1
60,109,1
60,111,1
60,112,1
60,119,1
60,123,1
60,126,1
60,127,1
60,129,1
60,137,1
60,146,1
60,164,1
60,188,1
60,194,1
60,195,1
60,196,1
60,199,1
61,63,1
61,74,1
61,84,1
61,87,1
61,99,1
61,120,1
61,121,1
61,122,1
61,128,1
61,140,1
61,176,1
61,181,1
61,194,1
61,195,1
61,196,1
62,63,1
62,65,1
62,71,1
62,77,1
62,82,1
62,84,1
62,85,1
62,87,1
62,88,1
62,92,1
62,94,1
62,100,1
62,102,1
62,108,1
62,119,1
62,126,1
62,127,1
62,129,1
62,132,1
62,137,1
62,143,1
62,156,1
62,158,1
62,169,1
62,180,1
62,188,1
62,194,1
62,195,1
62,196,1
63,79,1
63,81,1
63,87,1
63,88,1
63,89,1
63,90,1
63,102,1
63,104,1
63,105,1
63,109,1
63,117,1
63,120,1
63,122,1
63,123,1
63,143,1
63,146,1
63,158,1
63,169,1
63,187,1
63,188,1
63,194,1
63,195,1
63,196,1
63,198,1
64,67,1
64,75,1
64,77,1
64,79,1
64,93,1
64,95,1
64,98,1
64,102,1
64,126,1
64,137,1
64,145,1
64,160,1
65,67,1
65,72,1
65,73,1
65,82,1
65,88,1
65,90,1
65,108,1
65,126,1
65,127,1
65,129,1
65,134,1
65,140,1
65,156,1
65,161,1
65,183,1
65,188,1
65,194,1
65,195,1
65,196,1
65,206,1
66,84,1
66,88,1
66,92,1
66,101,1
66,119,1
66,124,1
66,126,1
66,127,1
66,128,1
66,129,1
66,139,1
66,170,1
66,188,1
66,194,1
66,195,1
66,196,1
66,206,1
67,69,1
67,70,1
67,71,1
67,77,1
67,89,1
67,92,1
67,100,1
67,102,1
67,103,1
67,104,1
67,112,1
67,121,1
67,122,1
67,136,1
67,139,1
67,142,1
67,145,1
67,147,1
67,152,1
67,177,1
67,182,1
67,194,1
67,195,1
67,196,1
67,206,1
68,73,1
68,76,1
68,81,1
68,92,1
68,95,1
68,99,1
68,102,1
68,107,1
68,119,1
68,124,1
68,126,1
68,127,1
68,129,1
68,135,1
68,136,1
68,137,1
68,142,1
68,158,1
68,159,1
68,180,1
68,194,1
68,196,1
69,77,1
69,89,1
69,92,1
69,99,1
69,106,1
69,107,1
69,112,1
69,117,1
69,119,1
69,122,1
69,126,1
69,127,1
69,129,1
69,136,1
69,137,1
69,142,1
69,194,1
69,195,1
69,196,1
69,211,1
69,212,1
70,73,1
70,84,1
70,87,1
70,89,1
70,92,1
70,98,1
70,102,1
70,109,1
70,113,1
70,119,1
70,121,1
70,122,1
70,126,1
70,127,1
70,128,1
70,129,1
70,133,1
70,140,1
70,145,1
70,148,1
70,169,1
70,172,1
70,185,1
70,194,1
70,195,1
70,196,1
70,199,1
71,75,1
71,77,1
71,88,1
71,92,1
71,110,1
71,111,1
71,124,1
71,127,1
71,135,1
71,142,1
71,162,1
71,164,1
71,187,1
71,188,1
71,194,1
71,195,1
71,196,1
72,75,1
72,83,1
72,102,1
72,104,1
72,105,1
72,126,1
72,137,1
72,141,1
72,152,1
72,158,1
72,175,1
72,194,1
72,195,1
72,196,1
73,84,1
73,89,1
73,92,1
73,96,1
73,122,1
73,124,1
73,125,1
73,127,1
73,131,1
73,146,1
73,148,1
73,155,1
73,159,1
73,185,1
73,186,1
73,188,1
73,194,1
73,195,1
73,196,1
74,84,1
74,97,1
74,143,1
74,159,1
74,162,1
74,195,1
74,196,1
74,197,1
75,77,1
75,85,1
75,89,1
75,91,1
75,119,1
75,124,1
75,126,1
75,127,1
75,129,1
75,149,1
75,150,1
75,151,1
75,154,1
75,159,1
75,162,1
75,176,1
75,194,1
75,195,1
75,196,1
76,92,1
76,96,1
76,107,1
76,112,1
76,119,1
76,123,1
76,126,1
76,127,1
76,129,1
76,173,1
76,195,1
76,196,1
77,84,1
77,86,1
77,88,1
77,92,1
77,102,1
77,104,1
77,110,1
77,111,1
77,119,1
77,124,1
77,126,1
77,127,1
77,129,1
77,133,1
77,134,1
77,135,1
77,136,1
77,137,1
77,138,1
77,152,1
77,159,1
77,164,1
77,175,1
77,177,1
77,179,1
77,194,1
77,195,1
77,196,1
78,84,1
78,99,1
78,100,1
78,102,1
78,112,1
78,119,1
78,126,1
78,127,1
78,129,1
78,135,1
78,140,1
78,149,1
78,158,1
78,167,1
78,194,1
78,195,1
78,196,1
78,208,1
79,115,1
79,129,1
79,131,1
79,137,1
79,140,1
79,148,1
79,194,1
79,196,1
79,206,1
80,89,1
80,100,1
80,123,1
80,128,1
80,194,1
80,195,1
80,196,1
81,87,1
81,112,1
81,126,1
81,127,1
81,129,1
81,132,1
81,149,1
81,161,1
81,165,1
81,194,1
81,195,1
81,196,1
82,85,1
82,88,1
82,102,1
82,108,1
82,109,1
82,119,1
82,125,1
82,126,1
82,127,1
82,129,1
82,137,1
82,151,1
82,169,1
82,181,1
82,194,1
82,195,1
82,196,1
82,198,1
83,89,1
83,98,1
83,102,1
83,111,1
83,115,1
83,121,1
83,126,1
83,127,1
83,128,1
83,149,1
83,151,1
83,159,1
83,173,1
83,182,1
83,194,1
83,195,1
83,196,1
83,198,1
83,199,1
84,87,1
84,88,1
84,89,1
84,92,1
84,94,1
84,102,1
84,104,1
84,108,1
84,111,1
84,112,1
84,115,1
84,121,1
84,124,1
84,126,1
84,127,1
84,129,1
84,149,1
84,153,1
84,159,1
84,188,1
84,194,1
84,195,1
84,196,1
84,205,1
85,88,1
85,97,1
85,98,1
85,101,1
85,102,1
85,103,1
85,119,1
85,122,1
85,123,1
85,126,1
85,127,1
85,128,1
85,129,1
85,143,1
85,145,1
85,153,1
85,156,1
85,178,1
85,179,1
85,194,1
85,195,1
85,196,1
85,197,1
86,92,1
86,119,1
86,124,1
86,126,1
86,127,1
86,128,1
86,129,1
86,137,1
86,161,1
86,174,1
86,194,1
87,88,1
87,93,1
87,94,1
87,102,1
87,104,1
87,106,1
87,112,1
87,119,1
87,124,1
87,126,1
87,127,1
87,128,1
87,129,1
87,137,1
87,160,1
87,161,1
87,165,1
87,175,1
87,184,1
87,195,1
87,197,1
87,211,1
88,89,1
88,91,1
88,102,1
88,104,1
88,108,1
88,111,1
88,120,1
88,121,1
88,124,1
88,126,1
88,127,1
88,128,1
88,129,1
88,148,1
88,150,1
88,153,1
88,157,1
88,184,1
88,194,1
88,195,1
88,196,1
89,91,1
89,92,1
89,95,1
89,96,1
89,97,1
89,107,1
89,116,1
89,119,1
89,122,1
89,123,1
89,126,1
89,127,1
89,128,1
89,129,1
89,139,1
89,140,1
89,141,1
89,142,1
89,143,1
89,152,1
89,158,1
89,159,1
89,168,1
89,172,1
89,175,1
89,180,1
89,182,1
89,184,1
89,185,1
89,188,1
89,194,1
89,195,1
89,196,1
90,92,1
90,100,1
90,102,1
90,108,1
90,119,1
90,126,1
90,127,1
90,128,1
90,129,1
90,140,1
90,155,1
90,183,1
90,188,1
90,193,1
90,194,1
90,195,1
90,196,1
91,92,1
91,93,1
91,98,1
91,100,1
91,101,1
91,102,1
91,123,1
91,159,1
91,166,1
91,176,1
91,194,1
91,195,1
91,196,1
91,207,1
92,93,1
92,94,1
92,96,1
92,98,1
92,99,1
92,100,1
92,101,1
92,102,1
92,103,1
92,104,1
92,107,1
92,108,1
92,109,1
92,111,1
92,112,1
92,119,1
92,126,1
92,127,1
92,128,1
92,129,1
92,137,1
92,141,1
92,142,1
92,159,1
92,172,1
92,175,1
92,188,1
92,194,1
92,195,1
92,196,1
92,206,1
93,94,1
93,100,1
93,101,1
93,108,1
93,110,1
93,112,1
93,119,1
93,125,1
93,126,1
93,127,1
93,129,1
93,130,1
93,135,1
93,162,1
93,194,1
93,195,1
93,196,1
93,197,1
94,99,1
94,100,1
94,101,1
94,102,1
94,117,1
94,119,1
94,124,1
94,126,1
94,127,1
94,128,1
94,129,1
94,161,1
94,163,1
94,197,1
95,97,1
95,102,1
95,103,1
95,109,1
95,116,1
95,119,1
95,123,1
95,126,1
95,127,1
95,129,1
95,139,1
95,143,1
95,159,1
95,168,1
95,171,1
95,172,1
95,183,1
95,188,1
95,189,1
95,194,1
95,195,1
95,196,1
95,197,1
96,97,1
96,122,1
96,132,1
96,139,1
96,141,1
96,143,1
96,146,1
96,155,1
96,160,1
96,173,1
96,182,1
96,194,1
96,195,1
96,196,1
96,197,1
97,98,1
97,102,1
97,109,1
97,116,1
97,123,1
97,126,1
97,127,1
97,129,1
97,139,1
97,143,1
97,146,1
97,149,1
97,156,1
97,188,1
97,194,1
97,195,1
97,196,1
98,99,1
98,100,1
98,101,1
98,102,1
98,103,1
98,107,1
98,113,1
98,114,1
98,119,1
98,121,1
98,126,1
98,127,1
98,129,1
98,133,1
98,134,1
98,135,1
