source,target,weight
0,103,1
0,107,2
0,116,1
0,119,5
0,131,2
0,143,1
0,162,1
0,164,7
0,195,1
0,196,1
1,66,2
1,116,3
1,148,1
2,66,2
2,116,2
2,188,3
2,196,1
3,84,1
3,112,1
3,115,1
3,147,2
4,66,2
4,129,1
4,172,2
4,180,2
5,103,1
5,113,1
5,178,1
5,182,1
6,56,1
6,120,1
6,143,1
7,102,1
7,153,2
7,205,1
8,89,1
8,103,2
8,112,1
8,122,2
8,125,1
8,144,2
8,148,1
8,159,2
8,163,1
8,206,1
9,99,1
9,116,1
9,183,1
10,102,1
10,146,1
10,152,2
10,173,1
10,183,2
11,72,2
11,92,1
11,99,2
11,102,1
11,103,1
11,117,2
11,130,1
11,146,2
11,151,1
12,117,1
12,127,1
12,151,2
13,137,2
13,155,1
13,183,3
14,54,1
14,97,2
14,128,2
14,156,1
15,58,1
15,125,2
15,140,1
15,148,3
15,173,1
16,103,1
16,146,1
16,149,2
16,166,2
17,102,1
17,129,1
17,161,1
17,188,2
18,103,1
18,138,1
18,197,2
19,53,2
19,120,1
19,152,1
19,175,2
20,56,4
20,70,1
20,120,1
20,205,1
21,65,3
21,108,1
21,116,1
21,156,1
21,159,2
21,180,2
21,198,2
22,103,1
22,120,6
22,150,1
22,168,1
22,175,2
22,206,1
23,104,1
23,132,3
23,135,2
23,173,1
23,174,1
23,188,4
23,195,1
24,112,2
24,183,1
25,104,1
25,145,1
25,166,1
26,103,1
26,113,1
26,122,1
26,128,5
26,145,1
26,157,2
26,183,2
26,184,1
26,188,1
27,111,1
27,113,1
27,129,1
28,104,4
28,113,1
28,152,2
29,41,1
29,139,1
29,190,1
30,99,1
30,113,1
30,195,1
31,120,2
31,128,1
31,145,1
31,170,2
32,66,2
32,126,1
32,144,1
32,167,1
33,108,1
33,158,2
33,183,1
34,113,1
34,127,1
34,156,1
35,111,1
35,120,2
35,129,1
36,72,2
36,120,12
36,138,1
37,102,1
37,120,1
37,187,1
38,42,4
38,78,1
38,112,1
38,131,2
38,156,1
39,41,4
39,54,4
39,60,1
39,62,1
39,82,3
39,84,2
39,87,2
39,92,2
39,93,5
39,102,2
39,108,8
39,119,1
39,121,1
39,125,1
39,126,2
39,127,2
39,129,2
39,157,1
39,188,1
40,43,1
40,49,1
40,72,1
40,84,1
40,96,1
40,104,2
40,140,2
41,42,2
41,43,5
41,46,2
41,48,8
41,49,5
41,50,4
41,54,4
41,57,2
41,59,6
41,60,9
41,68,11
41,71,4
41,74,1
41,76,2
41,77,1
41,81,3
41,82,1
41,84,8
41,86,2
41,87,2
41,91,3
41,92,8
41,93,2
41,95,2
41,98,3
41,100,2
41,101,4
41,102,11
41,103,2
41,104,2
41,105,1
41,108,6
41,111,4
41,112,4
41,119,1
41,120,1
41,121,1
41,122,1
41,124,1
41,126,2
41,127,3
41,129,2
41,158,2
41,169,1
41,177,2
42,54,4
42,67,3
42,68,1
42,84,1
42,87,1
42,89,2
42,92,6
42,100,2
42,101,4
42,102,3
42,103,1
42,119,1
42,123,1
42,126,1
42,127,1
42,128,2
42,129,1
42,130,2
42,145,1
43,53,1
43,54,2
43,56,2
43,64,1
43,71,2
43,77,5
43,82,4
43,84,14
43,87,2
43,88,1
43,92,1
43,115,1
43,124,1
43,126,2
43,127,2
43,129,2
43,175,3
43,194,1
44,63,4
44,74,1
44,78,1
44,96,4
44,99,1
44,105,1
44,119,1
44,122,1
44,125,1
44,126,1
44,127,1
44,129,1
44,152,1
44,159,3
44,173,1
45,60,1
45,101,1
45,102,1
45,103,1
45,113,2
45,119,1
45,126,1
45,127,3
45,129,1
45,146,1
45,160,1
46,48,6
46,59,2
46,87,1
46,99,3
46,107,1
46,110,2
46,112,7
46,119,1
46,126,1
46,127,1
46,128,2
46,129,1
46,154,1
46,167,3
47,56,2
47,64,1
47,158,5
47,198,1
47,207,1
48,59,11
48,60,2
48,70,2
48,72,2
48,73,2
48,78,1
48,84,1
48,90,3
48,92,6
48,101,1
48,102,3
48,119,1
48,126,2
48,127,2
48,128,1
48,129,2
48,147,1
48,155,2
48,177,2
49,59,2
49,61,2
49,76,1
49,83,3
49,86,3
49,87,1
49,92,1
49,102,10
49,103,1
49,104,1
49,119,1
49,126,1
49,127,3
49,129,1
49,146,1
50,76,1
50,98,1
50,100,2
50,119,1
50,124,1
50,127,1
50,128,1
50,149,2
50,153,2
50,176,2
51,88,1
51,102,2
51,119,1
51,126,1
51,127,1
51,128,1
51,129,1
51,146,2
51,149,3
51,158,1
51,208,1
52,54,5
52,55,2
52,59,1
52,62,1
52,68,2
52,70,1
52,72,2
52,77,3
52,78,3
52,83,1
52,89,1
52,90,2
52,91,1
52,92,9
52,99,2
52,100,3
52,102,1
52,107,7
52,117,2
52,119,1
52,121,3
52,122,3
52,123,2
52,126,2
52,127,2
52,128,9
52,129,2
52,132,3
52,134,1
52,135,1
52,139,2
52,143,1
52,145,1
52,146,1
52,148,1
52,152,2
52,158,1
52,162,1
52,176,1
52,182,1
52,186,2
52,194,1
52,195,3
52,196,1
52,205,1
52,208,1
53,54,1
53,63,1
53,65,2
53,71,1
53,75,2
53,77,1
53,84,1
53,88,9
53,89,3
53,92,7
53,116,1
53,119,1
53,126,1
53,127,1
53,128,1
53,129,2
53,152,1
53,194,1
53,195,2
53,196,2
54,58,1
54,59,1
54,60,2
54,62,1
54,65,2
54,66,1
54,76,1
54,77,2
54,78,10
54,82,2
54,84,4
54,85,1
54,87,1
54,88,1
54,89,1
54,90,2
54,91,1
54,92,3
54,93,2
54,97,1
54,99,1
54,101,5
54,102,5
54,103,3
54,104,2
54,106,1
54,108,5
54,109,3
54,111,1
54,119,1
54,125,2
54,126,2
54,127,2
54,128,1
54,129,2
54,142,1
54,143,3
54,146,1
54,150,5
54,152,6
54,166,4
54,167,5
54,183,2
54,186,2
54,194,2
54,195,3
54,196,1
54,197,1
55,59,1
55,62,1
55,65,4
55,72,9
55,88,1
55,92,1
55,95,9
55,104,1
55,107,5
55,116,2
55,141,3
55,146,3
55,161,1
55,177,1
55,194,2
55,195,2
55,196,2
56,58,1
56,62,1
56,66,6
56,67,7
56,68,2
56,69,3
56,71,1
56,84,2
56,85,1
56,86,1
56,95,2
56,101,3
56,102,2
56,104,2
56,119,1
56,124,1
56,125,1
56,126,1
56,127,2
56,128,1
56,129,2
56,136,4
56,142,6
56,143,1
56,145,1
56,146,1
56,152,1
56,177,3
56,194,1
56,195,2
56,196,2
56,209,6
57,78,1
57,82,5
57,84,1
57,92,1
57,98,1
57,99,1
57,102,2
57,103,1
57,104,1
57,108,2
57,109,7
57,123,2
57,160,2
57,173,1
57,176,1
57,188,2
57,195,2
57,196,2
57,198,1
58,61,4
58,63,2
58,75,1
58,77,2
58,87,2
58,102,3
58,109,2
58,122,2
58,126,1
58,127,1
58,129,1
58,137,1
58,140,2
58,152,2
58,159,2
58,166,2
58,169,1
58,183,5
58,194,1
58,195,3
58,196,3
58,198,2
58,205,1
58,209,6
59,60,2
59,63,2
59,69,1
59,75,1
59,82,5
59,84,2
59,87,2
59,91,1
59,92,13
59,101,3
59,102,13
59,107,1
59,112,4
59,113,3
59,116,2
59,118,1
59,126,1
59,127,2
59,128,1
59,129,2
59,137,1
59,145,6
59,147,3
59,148,1
59,150,1
59,162,1
59,166,1
59,170,1
59,180,2
59,185,2
59,191,1
59,194,1
59,195,3
59,196,3
59,199,1
59,210,1
60,78,4
60,82,1
60,92,6
60,95,7
60,102,2
60,108,2
60,109,1
60,111,1
60,112,1
60,119,1
60,123,2
60,126,2
60,127,2
60,129,2
60,137,2
60,146,3
60,164,2
60,188,7
60,194,1
60,195,2
60,196,3
60,199,1
61,63,1
61,74,2
61,84,2
61,87,1
61,99,4
61,120,1
61,121,1
61,122,1
61,128,6
61,140,2
61,176,1
61,181,5
61,194,1
61,195,4
61,196,3
62,63,2
62,65,1
62,71,3
62,77,2
62,82,2
62,84,4
62,85,6
62,87,5
62,88,2
62,92,2
62,94,6
62,100,1
62,102,2
62,108,2
62,119,1
62,126,2
62,127,2
62,129,2
62,132,1
62,137,3
62,143,1
62,156,1
62,158,1
62,169,1
62,180,2
62,188,3
62,194,1
62,195,2
62,196,3
63,79,1
63,81,1
63,87,3
63,88,1
63,89,1
63,90,1
63,102,1
63,104,2
63,105,2
63,109,2
63,117,1
63,120,1
63,122,1
63,123,1
63,143,1
63,146,3
63,158,2
63,169,2
63,187,1
63,188,2
63,194,2
63,195,2
63,196,2
63,198,1
64,67,3
64,75,1
64,77,1
