Node,DegreeWeighted,Neighborhood,ConnectiveRedundancyWeighted,AvgShortestPathWeighted
0,0,0,0.000000,
1,0,0,0.000000,
2,0,0,0.000000,
3,1,1,0.000000,1.000000
4,0,0,0.000000,
5,0,0,0.000000,
6,0,0,0.000000,
7,0,0,0.000000,
8,0,0,0.000000,
9,0,0,0.000000,
10,0,0,0.000000,
11,0,0,0.000000,
12,0,0,0.000000,
13,0,0,0.000000,
14,0,0,0.000000,
15,0,0,0.000000,
16,0,0,0.000000,
17,0,0,0.000000,
18,0,0,0.000000,
19,0,0,0.000000,
20,0,0,0.000000,
21,2,2,0.000000,3.066667
22,1,1,0.000000,1.000000
23,0,0,0.000000,
24,0,0,0.000000,
25,0,0,0.000000,
26,0,0,0.000000,
27,0,0,0.000000,
28,0,0,0.000000,
29,0,0,0.000000,
30,0,0,0.000000,
31,0,0,0.000000,
32,0,0,0.000000,
33,0,0,0.000000,
34,0,0,0.000000,
35,0,0,0.000000,
36,0,0,0.000000,
37,0,0,0.000000,
38,1,1,0.000000,5.121951
39,1,1,0.000000,5.121951
40,1,1,0.000000,4.317073
41,4,4,0.000000,5.975610
42,2,2,0.000000,4.146341
43,4,4,0.000000,4.463415
44,0,0,0.000000,
45,0,0,0.000000,
46,3,3,0.000000,5.756098
47,0,0,0.000000,
48,2,2,0.000000,4.878049
49,0,0,0.000000,
50,0,0,0.000000,
51,0,0,0.000000,
52,2,2,0.000000,4.146341
53,1,1,0.000000,4.195122
54,1,1,0.000000,4.902439
55,2,2,0.000000,1.000000
56,1,1,0.000000,4.266667
57,0,0,0.000000,
58,1,1,0.000000,1.000000
59,3,3,0.000000,4.000000
60,2,2,0.000000,6.902439
61,0,0,0.000000,
62,3,3,0.000000,4.439024
63,0,0,0.000000,
64,0,0,0.000000,
65,2,2,0.000000,3.866667
66,2,2,0.000000,3.333333
67,0,0,0.000000,
68,2,2,0.000000,6.926829
69,0,0,0.000000,
70,2,2,0.000000,4.146341
71,2,2,0.000000,5.195122
72,1,1,0.000000,1.500000
73,0,0,0.000000,
74,0,0,0.000000,
75,0,0,0.000000,
76,2,2,0.000000,4.146341
77,1,1,0.000000,5.439024
78,0,0,0.000000,
79,0,0,0.000000,
80,0,0,0.000000,
81,2,2,0.000000,6.926829
82,1,1,0.000000,5.439024
83,0,0,0.000000,
84,2,2,0.000000,3.878049
85,2,2,0.000000,3.707317
86,0,0,0.000000,
87,1,1,0.000000,4.317073
88,1,1,0.000000,4.800000
89,0,0,0.000000,
90,1,1,0.000000,4.195122
91,0,0,0.000000,
92,10,10,0.000000,3.219512
93,2,2,0.000000,4.146341
94,2,2,0.000000,5.268293
95,1,1,0.000000,1.500000
96,1,1,0.000000,1.000000
97,1,1,0.000000,1.000000
98,1,1,0.000000,5.121951
99,1,1,0.000000,6.731707
100,4,4,0.000000,3.243902
101,3,3,0.000000,3.926829
102,6,6,0.000000,3.024390
103,3,3,0.000000,3.634146
104,6,6,0.000000,3.341463
