Node,DegreeCentrality,DegreeDeviation,CountOfNeighbors,NeighborhoodCentrality,ConnectiveRedundancy,ExclusiveNeighborhood,AvgShortestPath
0,10,0.872635,10,10,0.5454545454545454,6,2.129630
1,3,0.408138,3,3,0.5,1,2.685185
2,4,0.389144,4,4,0.5,1,2.263889
3,4,0.320559,4,4,0.19999999999999996,3,2.597222
4,4,0.607329,4,4,0.4285714285714286,1,2.486111
5,4,0.361776,4,4,0,4,2.560185
6,3,0.254755,3,3,0,3,2.625000
7,3,0.361776,3,3,0.25,2,2.574074
8,10,0.798863,10,10,0.2857142857142857,6,2.259259
9,3,0.254755,3,3,0,3,2.601852
10,5,0.478867,5,5,0.2857142857142857,3,2.361111
11,9,0.822217,9,9,0.3076923076923077,5,2.273148
12,3,0.361776,3,3,0.25,2,2.504630
13,3,0.408138,3,3,0.5,1,2.611111
14,4,0.346504,4,4,0.33333333333333337,2,2.486111
15,5,0.580930,5,5,0.375,3,2.527778
16,4,0.408138,4,4,0.33333333333333337,2,2.509259
17,4,0.320559,4,4,0.19999999999999996,3,2.365741
18,3,0.290465,3,3,0.25,2,2.731481
19,4,0.346504,4,4,0.33333333333333337,2,2.643519
20,4,0.369175,4,4,0.4285714285714286,3,2.675926
21,7,0.658595,7,7,0.41666666666666663,3,2.430556
22,6,0.497696,6,6,0.5,4,2.444444
23,7,0.793429,7,7,0.46153846153846156,4,2.236111
24,2,0.254755,2,2,0.33333333333333337,1,2.666667
25,3,0.254755,3,3,0,3,2.689815
26,9,0.886166,9,9,0.4,6,2.259259
27,3,0.254755,3,3,0,3,2.486111
28,3,0.369175,3,3,0.5714285714285714,1,2.597222
29,3,0.254755,3,3,0,3,2.671296
30,3,0.254755,3,3,0,3,2.277778
31,4,0.346504,4,4,0.33333333333333337,2,2.564815
32,4,0.320559,4,4,0.19999999999999996,3,2.527778
33,3,0.290465,3,3,0.25,2,2.685185
34,3,0.254755,3,3,0,3,2.453704
35,3,0.290465,3,3,0.25,2,2.532407
36,3,0.565838,3,3,0.8,1,2.759259
37,3,0.254755,3,3,0,3,2.560185
38,5,0.592909,5,5,0.4444444444444444,3,2.569444
39,19,1.477797,19,19,0.5777777777777777,7,2.078704
40,7,0.460442,7,7,0.2222222222222222,5,2.467593
41,47,4.639171,47,47,0.7025316455696202,11,1.865741
42,21,1.649360,21,21,0.5227272727272727,10,2.050926
43,20,1.475966,20,20,0.6226415094339622,8,2.083333
44,15,0.844926,15,15,0.34782608695652173,12,2.166667
45,11,0.706150,11,11,0.2142857142857143,9,2.194444
46,15,1.024312,15,15,0.5588235294117647,7,2.115741
47,5,0.474327,5,5,0.5,3,2.611111
48,21,1.979342,21,21,0.6557377049180328,6,2.083333
49,17,1.602459,17,17,0.5526315789473684,10,2.111111
50,11,0.754292,11,11,0.38888888888888884,6,2.226852
51,11,0.605545,11,11,0.2666666666666667,8,2.175926
52,46,3.195454,46,46,0.5353535353535354,22,1.833333
53,22,1.130721,22,22,0.5,13,2.013889
54,55,3.247997,55,55,0.5864661654135339,22,1.773148
55,18,1.379758,18,18,0.64,7,2.078704
56,36,1.849970,36,36,0.55,16,1.907407
57,20,1.261400,20,20,0.4736842105263158,10,2.009259
58,27,1.335135,27,27,0.509090909090909,11,1.935185
59,43,2.759516,43,43,0.6260869565217391,20,1.833333
60,28,1.813655,28,28,0.6111111111111112,9,1.953704
61,17,1.461975,17,17,0.5853658536585367,7,2.055556
62,34,1.763766,34,34,0.5211267605633803,14,1.935185
63,30,1.837356,30,30,0.3877551020408163,15,1.949074
64,14,0.923815,14,14,0.30000000000000004,10,2.212963
65,25,1.548565,25,25,0.5192307692307692,12,1.986111
66,23,1.766524,23,23,0.5740740740740741,8,2.004630
67,29,2.066760,29,29,0.618421052631579,13,1.944444
68,26,1.700062,26,26,0.5666666666666667,14,1.976852
69,24,1.261400,24,24,0.368421052631579,16,1.990741
70,31,1.712108,31,31,0.5571428571428572,10,1.949074
71,23,1.346831,23,23,0.4651162790697675,12,2.046296
72,21,1.137397,21,21,0.46153846153846156,10,2.023148
73,23,1.552750,23,23,0.5660377358490566,9,2.027778
74,11,0.610880,11,11,0.3125,7,2.162037
75,25,1.430563,25,25,0.41860465116279066,13,2.009259
76,17,1.423362,17,17,0.5,8,2.060185
77,40,2.022320,40,40,0.5698924731182795,20,1.875000
78,25,1.607850,25,25,0.4897959183673469,15,1.976852
79,11,0.605545,11,11,0.2666666666666667,8,2.111111
80,7,0.660236,7,7,0.6818181818181819,3,2.203704
81,15,1.086821,15,15,0.625,5,2.083333
82,27,1.383281,27,27,0.55,12,1.976852
83,22,1.098699,22,22,0.46341463414634143,10,2.004630
84,44,2.781574,44,44,0.5849056603773585,23,1.856481
85,28,1.315547,28,28,0.41666666666666663,19,1.962963
86,15,0.922643,15,15,0.375,8,2.083333
87,37,2.672699,37,37,0.5375,16,1.884259
88,36,2.240538,36,36,0.5443037974683544,17,1.902778
89,48,3.948561,48,48,0.6129032258064516,16,1.833333
90,22,1.655579,22,22,0.56,8,1.995370
91,21,1.017425,21,21,0.4,14,2.055556
92,60,5.658479,60,60,0.7169811320754718,24,1.745370
93,25,1.575227,25,25,0.6212121212121212,11,1.990741
94,19,1.326193,19,19,0.5957446808510638,8,2.087963
95,30,1.858138,30,30,0.5081967213114754,15,1.930556
96,21,1.171133,21,21,0.5227272727272727,9,2.055556
97,24,1.266535,24,24,0.4545454545454546,13,1.995370
98,36,2.470814,36,36,0.6170212765957447,19,1.888889
99,34,1.661774,34,34,0.4769230769230769,17,1.921296
100,40,2.945145,40,40,0.6875,16,1.865741
101,35,2.358373,35,35,0.7154471544715447,11,1.898148
102,67,6.665621,67,67,0.732,19,1.717593
103,39,2.741425,39,39,0.5760869565217391,19,1.888889
104,36,2.799405,36,36,0.5764705882352941,16,1.870370
105,7,0.521055,7,7,0.30000000000000004,4,2.439815
106,11,0.689879,11,11,0.38888888888888884,4,2.245370
107,30,1.486918,30,30,0.4642857142857143,16,1.958333
