Node,DegreeWeighted,Neighborhood,ConnectiveRedundancyWeighted,AvgShortestPathWeighted
0,22,10,0.545455,0.843675
1,6,3,0.500000,0.936664
2,8,4,0.500000,0.864265
3,5,4,0.200000,1.171494
4,7,4,0.428571,1.078854
5,4,4,0.000000,1.497240
6,3,3,0.000000,1.558357
7,4,3,0.250000,1.137669
8,14,10,0.285714,1.003699
9,3,3,0.000000,1.533032
10,7,5,0.285714,1.109880
11,13,9,0.307692,1.052894
12,4,3,0.250000,1.289058
13,6,3,0.500000,0.985015
14,6,4,0.333333,1.066158
15,8,5,0.375000,0.994000
16,6,4,0.333333,1.109014
17,5,4,0.200000,1.043651
18,4,3,0.250000,1.315590
19,6,4,0.333333,1.071392
20,7,4,0.428571,0.955909
21,12,7,0.416667,0.981605
22,12,6,0.500000,1.000332
23,13,7,0.461538,0.771787
24,3,2,0.333333,1.082637
25,3,3,0.000000,1.533682
26,15,9,0.400000,0.783382
27,3,3,0.000000,1.575872
28,7,3,0.571429,0.869014
29,3,3,0.000000,1.506600
30,3,3,0.000000,1.537147
31,6,4,0.333333,1.205942
32,5,4,0.200000,1.146352
33,4,3,0.250000,1.220178
34,3,3,0.000000,1.594377
35,4,3,0.250000,1.348578
36,15,3,0.800000,0.938665
37,3,3,0.000000,1.491391
38,9,5,0.444444,0.925984
39,45,19,0.577778,0.709927
40,9,7,0.222222,1.054539
41,158,47,0.702532,0.564900
42,44,21,0.522727,0.679732
43,53,20,0.622642,0.669286
44,23,15,0.347826,0.926143
45,14,11,0.214286,0.970489
46,34,15,0.558824,0.710210
47,10,5,0.500000,0.915699
48,61,21,0.655738,0.631261
49,38,17,0.552632,0.626295
50,18,11,0.388889,0.804506
51,15,11,0.266667,0.918658
52,99,46,0.535354,0.588229
53,44,22,0.500000,0.650886
54,133,55,0.586466,0.625753
55,50,18,0.640000,0.745669
56,80,36,0.550000,0.712027
57,38,20,0.473684,0.768157
58,55,27,0.509091,0.711768
59,115,43,0.626087,0.562385
60,72,28,0.611111,0.602474
61,41,17,0.585366,0.695023
62,71,34,0.521127,0.729938
63,49,30,0.387755,0.849372
64,20,14,0.300000,0.834544
65,52,25,0.519231,0.674627
66,54,23,0.574074,0.649052
67,76,29,0.618421,0.655466
68,60,26,0.566667,0.618564
69,38,24,0.368421,0.791266
70,70,31,0.557143,0.650421
71,43,23,0.465116,0.747896
72,39,21,0.461538,0.827712
73,53,23,0.566038,0.716628
74,16,11,0.312500,0.978477
75,43,25,0.418605,0.784998
76,34,17,0.500000,0.659741
77,93,40,0.569892,0.655786
78,49,25,0.489796,0.710969
79,15,11,0.266667,0.960686
80,22,7,0.681818,0.759868
81,40,15,0.625000,0.723094
