Layer,Edges,SharedEdges,SharedFrac,UniqueEdges,UniqueFrac,Params(edgeSharedMinLayers,uniqueMaxLayers,minSharedFrac,maxUniqueFrac)
0,66,0,0.000000,18,0.272727,(22,1,0.50,0.40)
1,148,0,0.000000,83,0.560811,(22,1,0.50,0.40)
2,176,0,0.000000,82,0.465909,(22,1,0.50,0.40)
3,145,0,0.000000,43,0.296552,(22,1,0.50,0.40)
4,295,0,0.000000,60,0.203390,(22,1,0.50,0.40)
5,186,0,0.000000,33,0.177419,(22,1,0.50,0.40)
6,101,0,0.000000,74,0.732673,(22,1,0.50,0.40)
7,278,0,0.000000,15,0.053957,(22,1,0.50,0.40)
8,48,0,0.000000,21,0.437500,(22,1,0.50,0.40)
9,395,0,0.000000,72,0.182278,(22,1,0.50,0.40)
10,168,0,0.000000,37,0.220238,(22,1,0.50,0.40)
11,228,0,0.000000,5,0.021930,(22,1,0.50,0.40)
12,372,0,0.000000,109,0.293011,(22,1,0.50,0.40)
13,54,0,0.000000,4,0.074074,(22,1,0.50,0.40)
14,181,0,0.000000,43,0.237569,(22,1,0.50,0.40)
15,103,0,0.000000,10,0.097087,(22,1,0.50,0.40)
16,142,0,0.000000,49,0.345070,(22,1,0.50,0.40)
17,69,0,0.000000,1,0.014493,(22,1,0.50,0.40)
18,162,0,0.000000,35,0.216049,(22,1,0.50,0.40)
19,13,0,0.000000,0,0.000000,(22,1,0.50,0.40)
20,231,0,0.000000,63,0.272727,(22,1,0.50,0.40)
21,107,0,0.000000,9,0.084112,(22,1,0.50,0.40)
22,197,0,0.000000,40,0.203046,(22,1,0.50,0.40)
23,72,0,0.000000,1,0.013889,(22,1,0.50,0.40)
24,171,0,0.000000,31,0.181287,(22,1,0.50,0.40)
25,17,0,0.000000,1,0.058824,(22,1,0.50,0.40)
26,169,0,0.000000,14,0.082840,(22,1,0.50,0.40)
27,89,0,0.000000,16,0.179775,(22,1,0.50,0.40)
28,101,0,0.000000,24,0.237624,(22,1,0.50,0.40)
29,139,0,0.000000,25,0.179856,(22,1,0.50,0.40)
30,125,0,0.000000,7,0.056000,(22,1,0.50,0.40)
31,99,0,0.000000,15,0.151515,(22,1,0.50,0.40)
32,66,0,0.000000,9,0.136364,(22,1,0.50,0.40)
33,224,0,0.000000,34,0.151786,(22,1,0.50,0.40)
34,94,0,0.000000,20,0.212766,(22,1,0.50,0.40)
35,61,0,0.000000,10,0.163934,(22,1,0.50,0.40)
36,92,0,0.000000,15,0.163043,(22,1,0.50,0.40)
37,7,0,0.000000,0,0.000000,(22,1,0.50,0.40)
38,74,0,0.000000,28,0.378378,(22,1,0.50,0.40)
39,10,0,0.000000,4,0.400000,(22,1,0.50,0.40)
40,7,0,0.000000,0,0.000000,(22,1,0.50,0.40)
41,1,0,0.000000,0,0.000000,(22,1,0.50,0.40)
42,13,0,0.000000,2,0.153846,(22,1,0.50,0.40)
