source,target,weight
0,1,1
1,2,1
1,3,1
1,18,1
1,27,1
1,37,1
1,39,1
1,82,1
1,86,1
1,140,1
1,204,1
1,496,1
1,502,1
1,548,1
1,549,1
1,703,1
1,782,1
1,834,1
1,876,1
1,928,1
1,956,1
1,1271,1
1,1349,1
1,1397,1
2,4,1
2,5,1
2,6,1
2,11,1
2,24,1
2,28,1
2,30,1
2,38,1
2,55,1
2,65,1
2,67,1
2,72,1
2,77,1
2,88,1
2,91,1
2,99,1
2,102,1
2,104,1
2,105,1
2,113,1
2,120,1
2,128,1
2,137,1
2,139,1
2,143,1
2,145,1
2,152,1
2,166,1
2,215,1
2,217,1
2,220,1
2,233,1
2,236,1
2,242,1
2,246,1
2,267,1
2,281,1
2,286,1
2,300,1
2,304,1
2,313,1
2,322,1
2,338,1
2,357,1
2,358,1
2,363,1
2,386,1
2,401,1
2,423,1
2,428,1
2,435,1
2,458,1
2,462,1
2,465,1
2,471,1
2,538,1
2,541,1
2,575,1
2,581,1
2,600,1
2,650,1
2,659,1
2,692,1
2,715,1
2,719,1
2,727,1
2,768,1
2,789,1
2,793,1
2,815,1
2,837,1
2,847,1
2,853,1
2,861,1
2,878,1
2,882,1
2,885,1
2,902,1
2,954,1
2,1042,1
2,1098,1
2,1127,1
2,1192,1
2,1193,1
2,1214,1
2,1250,1
2,1252,1
2,1267,1
2,1274,1
2,1345,1
2,1355,1
2,1376,1
2,1390,1
2,1446,1
3,17,1
3,141,1
3,299,1
3,400,1
3,402,1
3,1442,1
4,7,1
4,14,1
4,20,1
4,179,1
4,453,1
4,1353,1
5,118,1
5,155,1
5,277,1
5,795,1
7,8,1
7,33,1
7,41,1
7,87,1
7,151,1
7,168,1
7,186,1
7,197,1
7,251,1
7,319,1
7,397,1
7,494,1
7,1226,1
7,1361,1
8,9,1
8,19,1
8,23,1
8,26,1
8,29,1
8,51,1
8,206,1
8,232,1
8,254,1
8,266,1
8,296,1
8,297,1
8,298,1
8,366,1
8,368,1
8,381,1
8,543,1
8,593,1
8,663,1
8,742,1
8,766,1
8,830,1
8,961,1
8,989,1
8,1005,1
8,1186,1
8,1295,1
8,1359,1
9,10,1
9,13,1
9,15,1
9,80,1
9,172,1
9,174,1
9,175,1
9,199,1
9,287,1
9,318,1
9,344,1
9,412,1
9,509,1
9,838,1
9,891,1
9,948,1
9,1079,1
10,32,1
10,275,1
10,532,1
10,627,1
10,1133,1
11,12,1
11,16,1
11,22,1
11,44,1
11,48,1
11,69,1
11,76,1
11,79,1
11,112,1
11,124,1
11,154,1
11,167,1
11,180,1
11,193,1
11,283,1
11,353,1
11,380,1
11,475,1
11,499,1
11,566,1
11,590,1
11,604,1
11,621,1
11,637,1
11,653,1
11,677,1
11,724,1
11,892,1
11,1008,1
11,1130,1
11,1161,1
11,1315,1
12,42,1
12,1325,1
13,437,1
14,56,1
14,85,1
14,252,1
14,1413,1
15,21,1
15,305,1
15,908,1
15,930,1
15,1240,1
16,125,1
16,127,1
16,136,1
16,146,1
16,178,1
16,262,1
16,269,1
16,417,1
16,493,1
16,656,1
16,732,1
16,1021,1
16,1408,1
17,34,1
17,62,1
17,70,1
17,138,1
17,149,1
17,203,1
17,438,1
17,440,1
17,555,1
17,983,1
18,54,1
18,421,1
18,781,1
18,814,1
19,701,1
19,818,1
20,43,1
20,352,1
20,460,1
20,469,1
20,993,1
20,1136,1
20,1449,1
22,25,1
22,40,1
22,49,1
22,111,1
22,202,1
22,263,1
22,373,1
22,770,1
22,1056,1
22,1074,1
22,1473,1
23,61,1
23,337,1
23,424,1
23,477,1
23,588,1
23,796,1
23,825,1
23,1148,1
23,1280,1
25,50,1
25,81,1
25,161,1
25,427,1
25,625,1
25,676,1
25,870,1
25,912,1
25,1070,1
25,1143,1
26,257,1
26,924,1
26,1063,1
27,31,1
27,36,1
27,64,1
27,317,1
27,343,1
27,426,1
27,444,1
27,503,1
27,922,1
27,1284,1
27,1323,1
27,1354,1
28,633,1
29,45,1
29,57,1
29,117,1
29,121,1
29,122,1
29,134,1
29,142,1
29,147,1
29,190,1
29,213,1
29,231,1
29,244,1
29,250,1
29,303,1
29,425,1
29,459,1
29,642,1
29,688,1
29,750,1
29,775,1
29,812,1
29,994,1
29,1028,1
29,1047,1
29,1096,1
29,1275,1
29,1378,1
29,1429,1
29,1475,1
30,35,1
30,75,1
30,210,1
30,253,1
30,662,1
30,1087,1
30,1447,1
31,95,1
31,96,1
31,208,1
31,389,1
31,670,1
31,712,1
31,1068,1
32,276,1
32,821,1
32,1010,1
33,59,1
33,132,1
33,150,1
33,185,1
33,214,1
33,218,1
33,228,1
33,404,1
33,431,1
33,456,1
33,690,1
33,875,1
33,1392,1
33,1444,1
34,52,1
34,144,1
34,235,1
34,311,1
34,525,1
34,610,1
34,675,1
34,992,1
34,1231,1
34,1242,1
34,1344,1
34,1400,1
36,106,1
36,158,1
36,416,1
36,778,1
36,1197,1
37,46,1
37,68,1
37,71,1
37,97,1
37,135,1
37,156,1
37,375,1
37,395,1
37,545,1
37,546,1
37,866,1
37,889,1
37,1131,1
37,1229,1
37,1419,1
39,192,1
39,265,1
39,550,1
39,584,1
39,619,1
39,1387,1
40,47,1
40,78,1
40,767,1
41,53,1
41,63,1
41,207,1
41,752,1
41,1065,1
