source,target,weight
0,1,1
0,2,1
0,4,1
0,5,1
0,8,1
0,11,1
0,20,1
0,21,1
0,22,1
0,37,1
0,48,1
0,49,1
0,117,1
0,135,1
0,142,1
0,154,1
0,175,1
0,184,1
0,185,1
0,264,1
0,268,1
0,326,1
0,342,1
0,393,1
0,486,1
0,525,1
0,547,1
0,635,1
0,668,1
0,695,1
0,696,1
0,913,1
0,919,1
0,920,1
0,1033,1
0,1047,1
0,1052,1
0,1086,1
0,1176,1
0,1306,1
0,1324,1
1,6,1
1,14,1
1,27,1
1,55,1
1,68,1
1,299,1
1,408,1
1,459,1
1,616,1
1,777,1
1,782,1
1,840,1
1,1315,1
1,1442,1
2,3,1
2,7,1
2,9,1
2,10,1
2,12,1
2,13,1
2,15,1
2,28,1
2,32,1
2,46,1
2,52,1
2,56,1
2,65,1
2,73,1
2,77,1
2,88,1
2,103,1
2,104,1
2,131,1
2,163,1
2,172,1
2,177,1
2,183,1
2,209,1
2,210,1
2,222,1
2,279,1
2,284,1
2,316,1
2,320,1
2,345,1
2,346,1
2,381,1
2,392,1
2,399,1
2,424,1
2,469,1
2,562,1
2,573,1
2,583,1
2,585,1
2,602,1
2,612,1
2,628,1
2,632,1
2,639,1
2,673,1
2,680,1
2,730,1
2,764,1
2,784,1
2,817,1
2,822,1
2,844,1
2,845,1
2,863,1
2,887,1
2,889,1
2,938,1
2,980,1
2,1016,1
2,1019,1
2,1026,1
2,1027,1
2,1038,1
2,1114,1
2,1123,1
2,1151,1
2,1197,1
2,1204,1
2,1259,1
2,1271,1
2,1310,1
2,1312,1
2,1340,1
2,1392,1
2,1478,1
2,1480,1
2,1481,1
3,25,1
3,26,1
3,35,1
3,43,1
3,81,1
3,96,1
3,119,1
3,134,1
3,140,1
3,152,1
3,157,1
3,173,1
3,187,1
3,189,1
3,260,1
3,274,1
3,276,1
3,447,1
3,467,1
3,558,1
3,586,1
3,630,1
3,650,1
3,733,1
3,759,1
3,881,1
3,886,1
3,921,1
3,923,1
3,926,1
3,952,1
3,987,1
3,1143,1
3,1157,1
3,1158,1
3,1209,1
3,1319,1
3,1329,1
4,16,1
4,30,1
4,82,1
4,280,1
4,300,1
4,781,1
4,925,1
4,930,1
4,1219,1
4,1385,1
5,29,1
5,162,1
5,199,1
5,379,1
5,505,1
5,851,1
5,1107,1
5,1331,1
6,115,1
6,333,1
6,994,1
6,1269,1
7,707,1
8,17,1
8,36,1
8,38,1
8,51,1
8,66,1
8,92,1
8,100,1
8,195,1
8,252,1
8,290,1
8,330,1
8,335,1
8,352,1
8,387,1
8,421,1
8,425,1
8,446,1
8,488,1
8,523,1
8,560,1
8,590,1
8,677,1
8,691,1
8,693,1
8,719,1
8,788,1
8,811,1
8,812,1
8,847,1
8,940,1
8,1013,1
8,1068,1
8,1088,1
8,1097,1
8,1152,1
8,1207,1
8,1242,1
8,1301,1
8,1314,1
8,1363,1
8,1451,1
9,61,1
9,170,1
9,176,1
9,289,1
9,314,1
9,506,1
9,509,1
9,527,1
9,566,1
9,1402,1
9,1461,1
10,1427,1
11,18,1
11,41,1
11,50,1
11,64,1
11,123,1
11,205,1
11,286,1
11,671,1
11,688,1
11,882,1
11,1102,1
11,1240,1
11,1482,1
12,242,1
12,669,1
12,797,1
12,1487,1
13,24,1
13,285,1
13,472,1
13,539,1
13,708,1
13,771,1
13,953,1
13,1011,1
13,1453,1
14,19,1
14,553,1
14,857,1
14,1009,1
14,1142,1
14,1266,1
15,23,1
15,31,1
15,34,1
15,59,1
15,94,1
15,231,1
15,462,1
15,580,1
15,752,1
15,827,1
15,1089,1
15,1217,1
15,1277,1
16,258,1
16,282,1
16,766,1
16,836,1
16,1171,1
17,126,1
17,151,1
17,240,1
17,1418,1
18,1336,1
19,79,1
19,196,1
19,197,1
19,275,1
19,623,1
19,700,1
19,939,1
19,1080,1
19,1145,1
19,1258,1
20,39,1
20,137,1
20,531,1
20,872,1
20,1349,1
20,1401,1
22,33,1
22,109,1
22,751,1
22,900,1
22,1020,1
22,1036,1
23,70,1
23,74,1
23,298,1
23,388,1
23,549,1
23,652,1
23,1355,1
23,1379,1
24,124,1
24,159,1
24,949,1
24,1431,1
25,537,1
25,551,1
25,596,1
25,892,1
26,985,1
27,44,1
27,86,1
27,89,1
27,322,1
27,534,1
27,933,1
27,1462,1
29,334,1
29,436,1
29,774,1
29,1384,1
30,67,1
30,111,1
30,155,1
30,200,1
30,204,1
30,221,1
30,267,1
30,272,1
30,313,1
30,340,1
30,622,1
30,843,1
30,988,1
30,1070,1
30,1185,1
31,186,1
31,232,1
31,288,1
31,406,1
31,442,1
31,682,1
31,947,1
31,1141,1
32,47,1
32,57,1
32,76,1
32,178,1
32,277,1
32,324,1
32,390,1
32,454,1
32,528,1
32,732,1
32,975,1
32,1130,1
32,1414,1
32,1495,1
33,106,1
33,244,1
33,555,1
33,934,1
33,1003,1
33,1066,1
33,1224,1
34,63,1
34,97,1
34,410,1
34,1005,1
35,54,1
35,337,1
36,42,1
36,72,1
36,108,1
36,120,1
36,607,1
36,641,1
36,793,1
36,901,1
36,1287,1
36,1330,1
36,1371,1
36,1432,1
37,40,1
37,78,1
37,128,1
37,145,1
37,219,1
37,325,1
37,394,1
37,621,1
37,634,1
37,663,1
37,667,1
37,834,1
37,868,1
37,918,1
37,1056,1
37,1085,1
37,1221,1
37,1415,1
37,1468,1
39,62,1
39,69,1
39,75,1
39,116,1
39,150,1
39,167,1
39,273,1
39,358,1
39,609,1
39,789,1
40,45,1
40,168,1
40,559,1
40,571,1
40,593,1
40,660,1
40,1228,1
41,1244,1
42,71,1
42,341,1
42,400,1
42,445,1
43,270,1
43,307,1
43,374,1
43,420,1
43,504,1
43,627,1
43,859,1
44,153,1
44,1059,1
44,1112,1
45,58,1
45,87,1
45,90,1
45,233,1
45,348,1
45,861,1
45,976,1
45,1127,1
45,1164,1
45,1292,1
45,1303,1
45,1459,1
46,53,1
46,91,1
46,112,1
46,489,1
46,1290,1
46,1394,1
46,1429,1
47,166,1
47,438,1
47,475,1
47,651,1
49,121,1
49,181,1
49,328,1
49,430,1
49,511,1
49,1256,1
50,80,1
50,229,1
50,295,1
50,1140,1
51,431,1
51,461,1
51,666,1
51,870,1
51,1030,1
51,1321,1
51,1452,1
53,101,1
53,105,1
53,110,1
53,234,1
53,253,1
53,292,1
53,411,1
53,465,1
53,664,1
53,701,1
53,761,1
53,1440,1
54,95,1
54,852,1
56,699,1
58,894,1
59,60,1
59,160,1
59,927,1
59,1144,1
60,93,1
60,211,1
60,349,1
60,485,1
60,501,1
60,569,1
60,653,1
60,722,1
60,1015,1
62,798,1
62,1105,1
63,995,1
65,98,1
65,214,1
65,339,1
65,418,1
65,429,1
65,493,1
65,990,1
65,1129,1
65,1241,1
66,373,1
66,483,1
66,561,1
66,578,1
66,802,1
66,848,1
66,1215,1
67,125,1
67,250,1
67,824,1
68,84,1
68,107,1
68,132,1
68,230,1
68,249,1
68,308,1
68,432,1
68,775,1
68,813,1
68,943,1
68,1460,1
68,1484,1
71,147,1
71,402,1
71,958,1
71,1037,1
72,524,1
72,1062,1
73,254,1
73,414,1
73,440,1
73,480,1
73,554,1
73,588,1
73,670,1
73,765,1
74,122,1
74,127,1
74,165,1
74,192,1
74,224,1
74,520,1
74,584,1
74,902,1
74,984,1
74,1124,1
74,1208,1
74,1381,1
75,355,1
75,362,1
75,470,1
75,1225,1
75,1257,1
75,1360,1
76,378,1
76,685,1
77,83,1
77,304,1
77,491,1
77,672,1
77,963,1
77,1128,1
77,1433,1
78,85,1
78,726,1
79,916,1
79,1437,1
80,581,1
80,738,1
80,744,1
82,149,1
82,213,1
84,191,1
84,207,1
84,269,1
85,629,1
85,929,1
85,999,1
86,479,1
86,600,1
87,114,1
87,188,1
87,202,1
87,407,1
87,422,1
87,850,1
87,1010,1
87,1134,1
87,1249,1
87,1389,1
87,1441,1
87,1485,1
88,1172,1
89,991,1
90,372,1
90,791,1
90,1237,1
91,247,1
91,563,1
92,102,1
92,161,1
92,473,1
92,595,1
92,1113,1
93,518,1
94,271,1
94,1040,1
96,174,1
96,507,1
96,605,1
96,960,1
96,1004,1
96,1226,1
97,433,1
97,1449,1
98,99,1
98,217,1
98,218,1
98,656,1
98,865,1
99,476,1
100,261,1
101,360,1
102,208,1
102,315,1
102,684,1
102,710,1
102,1359,1
103,203,1
103,223,1
103,225,1
103,332,1
103,452,1
103,716,1
103,1210,1
104,182,1
105,138,1
105,194,1
105,306,1
105,434,1
105,1293,1
105,1341,1
105,1430,1
107,113,1
107,477,1
107,705,1
107,998,1
107,1035,1
108,118,1
108,136,1
108,139,1
108,156,1
108,198,1
108,545,1
108,750,1
109,143,1
109,212,1
109,912,1
110,129,1
110,130,1
110,251,1
110,278,1
110,370,1
110,449,1
110,633,1
111,141,1
112,144,1
112,164,1
112,344,1
114,1055,1
115,226,1
115,259,1
115,538,1
115,1104,1
116,1327,1
117,246,1
117,380,1
117,1115,1
118,351,1
119,655,1
121,1041,1
123,133,1
123,148,1
123,179,1
123,220,1
123,1106,1
123,1213,1
124,238,1
124,301,1
126,158,1
126,262,1
126,636,1
126,972,1
127,321,1
127,471,1
128,146,1
128,237,1
128,591,1
129,982,1
129,1076,1
131,458,1
131,1166,1
133,248,1
133,565,1
133,568,1
133,758,1
133,796,1
133,854,1
133,1159,1
133,1288,1
134,171,1
134,375,1
134,794,1
134,1474,1
135,389,1
137,973,1
137,1162,1
137,1231,1
138,742,1
139,216,1
139,443,1
139,1167,1
141,674,1
141,1196,1
145,245,1
145,385,1
145,966,1
145,1081,1
145,1284,1
145,1332,1
146,180,1
146,206,1
146,617,1
146,736,1
146,753,1
146,983,1
146,1000,1
146,1281,1
146,1497,1
148,1012,1
149,398,1
149,1250,1
150,911,1
151,1337,1
152,190,1
152,255,1
152,294,1
152,576,1
152,709,1
152,749,1
152,1061,1
153,193,1
153,317,1
153,361,1
153,613,1
153,619,1
153,689,1
153,799,1
153,869,1
154,772,1
154,970,1
154,1154,1
154,1356,1
155,377,1
156,497,1
156,734,1
157,996,1
159,386,1
159,647,1
159,706,1
159,1101,1
160,347,1
161,548,1
161,891,1
161,1377,1
162,533,1
162,1083,1
164,783,1
165,618,1
165,1260,1
166,502,1
166,570,1
166,587,1
166,1051,1
166,1235,1
166,1285,1
167,239,1
167,319,1
167,1075,1
168,169,1
168,257,1
169,989,1
170,291,1
170,932,1
170,1483,1
171,241,1
172,1411,1
179,227,1
181,500,1
181,517,1
181,654,1
181,826,1
182,287,1
182,1361,1
183,1025,1
187,905,1
188,228,1
188,310,1
188,1170,1
191,697,1
191,959,1
192,263,1
192,296,1
192,323,1
192,427,1
192,557,1
192,815,1
192,832,1
192,875,1
194,331,1
194,412,1
194,829,1
194,924,1
194,1156,1
195,1049,1
196,265,1
196,338,1
196,687,1
196,787,1
198,510,1
198,513,1
198,904,1
198,1470,1
199,201,1
199,401,1
199,439,1
199,598,1
199,717,1
199,1048,1
199,1094,1
199,1313,1
201,243,1
201,283,1
202,329,1
203,896,1
204,1409,1
206,235,1
206,309,1
212,215,1
213,1069,1
214,383,1
214,711,1
214,997,1
214,1133,1
215,792,1
215,1212,1
216,236,1
216,266,1
216,354,1
216,512,1
216,579,1
216,643,1
216,895,1
216,1390,1
216,1417,1
216,1466,1
218,391,1
218,397,1
218,556,1
218,1001,1
219,871,1
219,1024,1
219,1190,1
222,704,1
222,823,1
222,971,1
222,1074,1
223,327,1
223,662,1
224,303,1
224,343,1
224,382,1
224,1289,1
224,1493,1
225,416,1
227,466,1
227,1046,1
227,1477,1
228,363,1
228,369,1
231,305,1
231,543,1
231,993,1
231,1187,1
232,256,1
232,419,1
234,1186,1
234,1382,1
235,356,1
235,535,1
235,1300,1
235,1364,1
238,805,1
238,935,1
238,965,1
238,1374,1
239,415,1
239,495,1
239,833,1
239,1230,1
241,366,1
241,396,1
241,453,1
241,702,1
241,1280,1
241,1345,1
241,1347,1
242,311,1
242,448,1
242,451,1
242,455,1
242,521,1
243,577,1
244,357,1
244,681,1
244,968,1
244,1261,1
245,601,1
245,1467,1
247,1342,1
248,456,1
250,490,1
250,830,1
251,281,1
252,368,1
252,1443,1
253,428,1
253,897,1
253,936,1
253,1278,1
254,928,1
254,1450,1
255,1428,1
260,302,1
264,293,1
264,809,1
264,819,1
264,888,1
264,1194,1
265,371,1
267,1148,1
269,318,1
269,364,1
269,376,1
269,1092,1
269,1448,1
270,359,1
271,426,1
271,946,1
271,1421,1
272,297,1
273,336,1
273,986,1
274,367,1
275,880,1
276,1096,1
279,853,1
279,1079,1
279,1192,1
282,499,1
282,763,1
282,903,1
287,384,1
288,405,1
288,481,1
288,614,1
288,951,1
291,353,1
291,1436,1
293,444,1
293,883,1
293,1071,1
294,589,1
294,729,1
295,790,1
296,637,1
296,922,1
296,1008,1
298,464,1
299,808,1
300,350,1
301,721,1
301,878,1
301,1366,1
306,441,1
306,723,1
306,1372,1
306,1386,1
307,536,1
307,574,1
307,955,1
307,1188,1
307,1305,1
307,1309,1
308,1155,1
309,603,1
309,675,1
310,413,1
310,735,1
310,1057,1
311,312,1
311,498,1
311,1488,1
313,437,1
313,615,1
313,1183,1
313,1353,1
315,807,1
317,395,1
317,599,1
317,1304,1
318,1475,1
320,460,1
320,1323,1
321,842,1
323,1199,1
324,770,1
325,592,1
328,657,1
329,620,1
330,529,1
333,1472,1
335,482,1
337,403,1
337,468,1
337,969,1
338,1499,1
342,773,1
342,1273,1
343,404,1
343,487,1
343,564,1
343,582,1
343,646,1
344,728,1
346,365,1
346,692,1
346,1193,1
346,1220,1
346,1391,1
347,532,1
347,1077,1
347,1352,1
350,1216,1
351,694,1
351,743,1
351,907,1
359,552,1
359,967,1
359,1370,1
360,780,1
360,1218,1
363,816,1
366,1380,1
371,1050,1
372,1234,1
373,661,1
373,1350,1
373,1445,1
375,516,1
375,1091,1
375,1169,1
375,1357,1
379,835,1
381,604,1
381,659,1
381,820,1
381,1121,1
381,1139,1
381,1177,1
385,776,1
387,898,1
387,1296,1
387,1405,1
393,1419,1
396,1365,1
397,417,1
397,423,1
398,1175,1
398,1243,1
398,1308,1
399,572,1
399,594,1
399,1267,1
400,494,1
401,409,1
401,508,1
401,979,1
405,450,1
405,645,1
405,849,1
406,1201,1
407,992,1
409,606,1
410,435,1
411,492,1
411,515,1
411,526,1
411,626,1
415,463,1
416,712,1
418,611,1
420,457,1
422,767,1
424,503,1
424,884,1
424,1160,1
431,519,1
431,1198,1
433,608,1
433,1039,1
433,1119,1
434,1017,1
435,610,1
438,678,1
438,837,1
439,575,1
439,747,1
439,961,1
439,1251,1
440,474,1
440,779,1
440,831,1
440,1084,1
440,1108,1
444,597,1
445,642,1
445,755,1
445,931,1
448,544,1
452,484,1
457,567,1
460,1034,1
461,860,1
462,800,1
463,522,1
463,724,1
467,540,1
467,542,1
467,718,1
467,720,1
