source,target,weight
0,1,1
0,2,1
0,3,1
0,13,1
0,15,1
0,17,1
0,25,1
0,26,1
0,47,1
0,53,1
0,60,1
0,72,1
0,77,1
0,83,1
0,87,1
0,125,1
0,148,1
0,150,1
0,163,1
0,165,1
0,168,1
0,247,1
0,267,1
0,299,1
0,318,1
0,330,1
0,430,1
0,464,1
0,550,1
0,556,1
0,575,1
0,591,1
0,761,1
0,805,1
0,828,1
0,841,1
0,900,1
0,953,1
0,958,1
0,1006,1
0,1044,1
0,1158,1
0,1314,1
0,1467,1
0,1499,1
1,4,1
1,6,1
1,9,1
1,11,1
1,38,1
1,54,1
1,57,1
1,91,1
1,122,1
1,151,1
1,229,1
1,238,1
1,272,1
1,275,1
1,288,1
1,334,1
1,408,1
1,449,1
1,488,1
1,492,1
1,493,1
1,522,1
1,547,1
1,564,1
1,609,1
1,731,1
1,735,1
1,759,1
1,781,1
1,816,1
1,834,1
1,836,1
1,840,1
1,863,1
1,873,1
1,885,1
1,888,1
1,921,1
1,990,1
1,1027,1
1,1032,1
1,1056,1
1,1104,1
1,1145,1
1,1277,1
1,1362,1
1,1425,1
1,1441,1
2,18,1
2,63,1
2,71,1
2,110,1
2,413,1
3,5,1
3,27,1
3,34,1
3,40,1
3,82,1
3,96,1
3,141,1
3,159,1
3,162,1
3,201,1
3,263,1
3,265,1
3,274,1
3,298,1
3,337,1
3,345,1
3,375,1
3,417,1
3,420,1
3,447,1
3,460,1
3,483,1
3,502,1
3,645,1
3,689,1
3,697,1
3,830,1
3,848,1
3,849,1
3,1004,1
3,1088,1
3,1132,1
3,1211,1
3,1228,1
3,1278,1
3,1379,1
3,1403,1
3,1434,1
4,116,1
4,264,1
4,281,1
4,404,1
4,405,1
4,428,1
4,613,1
4,714,1
4,800,1
4,842,1
4,880,1
4,1118,1
4,1171,1
4,1264,1
4,1490,1
5,8,1
5,22,1
5,23,1
5,31,1
5,41,1
5,49,1
5,50,1
5,94,1
5,143,1
5,175,1
5,227,1
5,268,1
5,364,1
5,378,1
5,394,1
5,471,1
5,539,1
5,581,1
5,597,1
5,639,1
5,702,1
5,720,1
5,894,1
5,922,1
5,1002,1
5,1011,1
5,1185,1
5,1195,1
5,1350,1
6,7,1
6,175,1
6,236,1
6,379,1
6,638,1
6,653,1
6,658,1
7,780,1
8,12,1
8,14,1
8,16,1
8,20,1
8,21,1
8,24,1
8,51,1
8,55,1
8,56,1
8,62,1
8,86,1
8,101,1
8,105,1
8,115,1
8,140,1
8,158,1
8,170,1
8,269,1
8,289,1
8,316,1
8,317,1
8,324,1
8,391,1
8,392,1
8,396,1
8,409,1
8,457,1
8,472,1
8,536,1
8,616,1
8,665,1
8,741,1
8,742,1
8,778,1
8,818,1
8,844,1
8,913,1
8,919,1
8,977,1
8,1131,1
8,1308,1
8,1322,1
8,1372,1
8,1376,1
9,10,1
9,1416,1
10,90,1
10,341,1
10,1164,1
11,19,1
11,28,1
11,31,1
11,36,1
11,50,1
11,167,1
11,180,1
11,259,1
11,647,1
11,750,1
11,760,1
11,929,1
11,1062,1
11,1160,1
12,68,1
12,231,1
12,262,1
12,346,1
12,1381,1
13,152,1
13,837,1
14,37,1
14,58,1
14,149,1
14,219,1
14,223,1
14,303,1
14,445,1
14,634,1
14,706,1
14,767,1
14,961,1
15,205,1
15,523,1
15,595,1
15,789,1
15,1113,1
15,1305,1
16,85,1
16,656,1
16,1123,1
17,32,1
17,43,1
17,209,1
17,326,1
17,387,1
17,463,1
17,592,1
17,1065,1
17,1221,1
18,124,1
18,646,1
18,766,1
18,775,1
18,970,1
18,1052,1
18,1317,1
19,28,1
19,48,1
19,102,1
19,138,1
19,156,1
19,178,1
19,193,1
19,351,1
19,407,1
19,461,1
19,538,1
19,757,1
19,942,1
19,1037,1
19,1289,1
20,29,1
20,59,1
20,78,1
20,196,1
20,199,1
20,293,1
20,587,1
20,813,1
20,835,1
20,877,1
20,1000,1
20,1466,1
21,33,1
21,42,1
21,189,1
21,207,1
21,282,1
21,431,1
21,467,1
21,486,1
21,501,1
21,649,1
21,660,1
21,708,1
21,939,1
21,1059,1
21,1073,1
21,1302,1
23,30,1
23,34,1
23,35,1
23,39,1
23,50,1
23,71,1
23,100,1
23,131,1
23,173,1
23,257,1
23,277,1
23,361,1
23,389,1
23,446,1
23,542,1
23,607,1
23,755,1
23,892,1
23,1090,1
23,1149,1
23,1225,1
23,1339,1
23,1349,1
23,1367,1
23,1377,1
24,604,1
24,657,1
24,1258,1
25,75,1
25,92,1
25,187,1
25,252,1
25,306,1
25,397,1
25,469,1
25,504,1
25,718,1
25,758,1
25,1035,1
25,1380,1
26,70,1
26,674,1
26,1081,1
27,290,1
27,693,1
27,1295,1
27,1307,1
27,1440,1
28,44,1
28,73,1
28,300,1
28,513,1
28,621,1
28,839,1
28,870,1
28,1364,1
28,1431,1
28,1464,1
29,61,1
29,76,1
29,117,1
29,146,1
29,183,1
29,323,1
29,371,1
29,456,1
29,611,1
29,618,1
29,782,1
29,845,1
29,884,1
29,1103,1
29,1229,1
29,1329,1
30,220,1
33,191,1
33,228,1
33,307,1
33,812,1
33,853,1
33,1247,1
33,1351,1
33,1471,1
34,45,1
34,576,1
34,632,1
34,723,1
34,899,1
34,1012,1
34,1074,1
34,1215,1
35,79,1
35,97,1
35,118,1
35,186,1
35,197,1
35,233,1
35,280,1
35,440,1
35,498,1
35,605,1
35,959,1
35,1330,1
36,95,1
36,380,1
36,476,1
36,532,1
36,637,1
36,794,1
36,1399,1
37,188,1
37,971,1
37,991,1
38,239,1
38,987,1
39,116,1
39,147,1
39,178,1
39,505,1
39,1179,1
42,60,1
42,519,1
42,711,1
43,64,1
43,121,1
43,164,1
43,400,1
43,460,1
43,829,1
43,1017,1
43,1047,1
43,1232,1
44,52,1
44,395,1
44,692,1
44,910,1
44,1182,1
45,46,1
45,72,1
46,374,1
46,788,1
47,172,1
48,297,1
49,111,1
49,240,1
49,535,1
49,546,1
49,822,1
49,1007,1
50,74,1
50,104,1
50,139,1
50,174,1
50,596,1
50,666,1
50,680,1
50,869,1
50,981,1
50,1089,1
50,1256,1
50,1269,1
50,1327,1
53,144,1
53,249,1
53,283,1
53,1325,1
53,1408,1
54,287,1
54,312,1
55,107,1
55,142,1
55,155,1
55,301,1
55,355,1
55,696,1
55,1294,1
57,65,1
57,80,1
57,88,1
57,89,1
57,132,1
57,292,1
57,336,1
57,626,1
57,957,1
57,1287,1
57,1297,1
58,108,1
58,113,1
58,123,1
58,157,1
58,179,1
58,214,1
58,221,1
58,243,1
58,401,1
58,648,1
58,673,1
58,746,1
58,1013,1
59,1306,1
59,1437,1
60,192,1
60,518,1
61,66,1
61,67,1
61,217,1
61,1180,1
61,1200,1
62,126,1
62,248,1
62,253,1
62,308,1
62,519,1
62,636,1
62,1054,1
62,1492,1
63,819,1
63,1343,1
64,84,1
66,114,1
66,169,1
66,350,1
67,69,1
67,129,1
67,133,1
67,142,1
67,160,1
67,304,1
67,320,1
67,451,1
67,500,1
67,527,1
67,725,1
67,740,1
67,749,1
67,754,1
67,821,1
67,865,1
67,1024,1
67,1043,1
67,1387,1
68,137,1
68,367,1
68,403,1
68,444,1
68,732,1
68,815,1
70,599,1
71,78,1
71,889,1
71,917,1
71,1470,1
72,120,1
72,315,1
72,491,1
72,1272,1
73,171,1
73,1356,1
74,237,1
74,381,1
74,703,1
74,1457,1
74,1484,1
75,81,1
75,136,1
75,258,1
75,273,1
75,531,1
75,608,1
75,902,1
75,1038,1
76,176,1
76,184,1
76,1407,1
76,1409,1
76,1472,1
78,99,1
78,103,1
78,585,1
78,628,1
78,826,1
78,846,1
78,854,1
80,98,1
80,127,1
80,895,1
81,134,1
81,194,1
81,226,1
83,410,1
83,452,1
83,1130,1
85,354,1
85,969,1
85,1283,1
85,1474,1
86,278,1
86,296,1
86,474,1
86,517,1
86,704,1
86,852,1
86,1324,1
87,106,1
87,215,1
87,322,1
88,93,1
88,633,1
88,1174,1
90,119,1
90,443,1
91,662,1
92,174,1
92,344,1
92,736,1
93,427,1
94,109,1
94,212,1
94,224,1
94,234,1
94,305,1
94,470,1
94,559,1
94,1053,1
94,1061,1
94,1361,1
94,1386,1
95,157,1
95,458,1
96,168,1
96,235,1
96,260,1
96,544,1
96,574,1
96,1421,1
98,324,1
100,695,1
101,139,1
101,203,1
101,676,1
101,784,1
101,878,1
101,1119,1
102,181,1
102,310,1
102,356,1
102,414,1
102,478,1
102,555,1
102,866,1
102,1001,1
102,1034,1
102,1067,1
102,1208,1
102,1267,1
103,421,1
103,533,1
103,976,1
104,465,1
104,770,1
104,926,1
104,1183,1
105,368,1
106,112,1
106,204,1
106,208,1
106,434,1
106,557,1
106,572,1
106,580,1
106,589,1
106,690,1
106,1085,1
106,1199,1
106,1214,1
106,1224,1
106,1230,1
106,1358,1
106,1432,1
109,291,1
110,359,1
110,1326,1
111,112,1
111,135,1
111,359,1
111,566,1
112,190,1
112,373,1
112,799,1
112,868,1
112,909,1
112,1025,1
112,1357,1
112,1418,1
114,748,1
115,206,1
115,482,1
115,943,1
116,177,1
116,443,1
116,677,1
116,1141,1
116,1249,1
116,1340,1
118,944,1
118,962,1
118,1167,1
118,1479,1
119,126,1
119,233,1
119,242,1
119,406,1
119,419,1
119,494,1
119,554,1
119,765,1
119,1008,1
119,1076,1
119,1191,1
120,302,1
120,860,1
120,998,1
120,1251,1
121,200,1
121,459,1
122,254,1
122,256,1
122,266,1
122,415,1
122,428,1
123,182,1
123,412,1
123,635,1
123,985,1
123,1087,1
124,128,1
124,185,1
124,195,1
124,384,1
124,537,1
124,655,1
125,130,1
125,161,1
125,365,1
125,454,1
128,145,1
128,154,1
128,290,1
128,358,1
128,386,1
128,496,1
128,543,1
128,608,1
128,792,1
129,1220,1
130,724,1
131,952,1
131,1156,1
132,827,1
132,876,1
134,198,1
134,1333,1
134,1375,1
135,329,1
136,932,1
138,529,1
138,558,1
138,617,1
138,728,1
138,940,1
138,1161,1
138,1485,1
139,264,1
139,311,1
140,148,1
140,277,1
140,691,1
142,426,1
142,1049,1
143,218,1
143,1496,1
144,216,1
144,349,1
144,507,1
144,1209,1
145,602,1
145,752,1
145,1031,1
145,1279,1
146,448,1
147,384,1
148,222,1
148,251,1
148,1294,1
149,333,1
149,1010,1
150,436,1
150,455,1
150,698,1
150,1385,1
150,1482,1
151,342,1
152,153,1
152,166,1
152,225,1
152,325,1
152,398,1
152,1227,1
152,1310,1
153,610,1
153,1246,1
154,213,1
154,352,1
154,1176,1
155,477,1
155,669,1
155,700,1
157,202,1
157,241,1
157,245,1
157,277,1
157,437,1
157,753,1
157,843,1
158,246,1
159,348,1
159,764,1
159,1244,1
162,905,1
163,248,1
163,340,1
163,790,1
163,1197,1
167,276,1
167,947,1
167,1126,1
168,450,1
168,1290,1
170,707,1
171,331,1
171,530,1
171,719,1
171,1370,1
175,294,1
175,578,1
175,1222,1
177,230,1
177,271,1
177,285,1
177,383,1
177,448,1
177,508,1
177,923,1
179,363,1
179,545,1
180,244,1
180,253,1
180,664,1
180,1415,1
182,370,1
182,1240,1
183,631,1
183,1426,1
184,255,1
184,520,1
184,643,1
184,915,1
184,1469,1
186,562,1
186,1353,1
187,935,1
187,1298,1
188,366,1
188,388,1
188,509,1
188,964,1
189,480,1
189,1394,1
190,384,1
191,289,1
191,713,1
191,882,1
193,211,1
194,683,1
194,1412,1
195,339,1
195,377,1
195,623,1
195,1196,1
197,252,1
197,678,1
197,1253,1
197,1309,1
198,250,1
198,350,1
199,210,1
199,232,1
199,286,1
199,335,1
199,1107,1
199,1259,1
204,347,1
204,357,1
205,570,1
206,832,1
207,1162,1
208,309,1
208,313,1
208,390,1
209,569,1
211,612,1
212,261,1
212,445,1
213,887,1
214,768,1
214,1020,1
214,1140,1
214,1446,1
214,1497,1
216,497,1
216,1015,1
218,620,1
219,392,1
219,549,1
219,1234,1
220,382,1
220,1155,1
220,1456,1
221,418,1
221,963,1
221,1129,1
221,1233,1
221,1252,1
221,1315,1
222,908,1
222,1347,1
224,614,1
224,997,1
227,348,1
227,402,1
227,762,1
227,946,1
227,1435,1
231,376,1
231,453,1
231,966,1
231,1204,1
232,295,1
232,630,1
233,1275,1
234,319,1
234,321,1
234,499,1
234,622,1
234,671,1
234,773,1
234,1443,1
234,1498,1
238,802,1
239,1243,1
241,423,1
241,924,1
243,338,1
244,615,1
244,1136,1
244,1291,1
247,350,1
248,512,1
248,896,1
248,1352,1
251,314,1
251,515,1
251,1128,1
251,1439,1
252,814,1
252,1494,1
256,270,1
256,291,1
256,439,1
256,979,1
256,1359,1
256,1414,1
256,1427,1
259,820,1
259,1260,1
260,650,1
260,672,1
260,904,1
260,1262,1
261,995,1
263,332,1
263,1014,1
263,1438,1
263,1454,1
264,279,1
267,914,1
267,1033,1
267,1271,1
268,424,1
270,1086,1
272,362,1
272,774,1
272,936,1
272,1318,1
274,601,1
274,986,1
276,327,1
276,432,1
276,567,1
276,617,1
276,965,1
277,284,1
277,330,1
277,809,1
277,824,1
280,328,1
282,1384,1
287,674,1
287,727,1
287,1083,1
288,429,1
288,1348,1
289,560,1
289,701,1
290,1030,1
292,1096,1
293,473,1
293,898,1
293,1428,1
294,475,1
297,360,1
297,416,1
297,422,1
297,490,1
297,713,1
298,584,1
300,563,1
302,534,1
303,479,1
303,715,1
305,600,1
305,684,1
305,726,1
305,1341,1
305,1366,1
306,487,1
306,603,1
307,313,1
307,485,1
307,1245,1
308,343,1
308,1048,1
311,372,1
311,1477,1
313,565,1
313,579,1
314,687,1
315,785,1
322,1189,1
323,744,1
324,1453,1
326,506,1
327,524,1
327,606,1
327,777,1
327,972,1
327,1391,1
328,561,1
328,1242,1
329,675,1
330,353,1
333,838,1
334,551,1
337,660,1
337,1066,1
337,1105,1
338,385,1
339,425,1
339,462,1
339,769,1
339,1172,1
340,369,1
340,406,1
340,619,1
340,831,1
340,858,1
340,1091,1
340,1430,1
342,776,1
342,907,1
342,1281,1
343,681,1
343,847,1
345,553,1
346,683,1
347,377,1
348,1138,1
350,688,1
351,654,1
352,528,1
354,1040,1
354,1051,1
355,1026,1
355,1332,1
356,438,1
359,541,1
360,652,1
369,717,1
369,730,1
369,823,1
372,427,1
372,795,1
372,1265,1
373,983,1
373,1150,1
374,450,1
374,511,1
375,1168,1
376,399,1
376,804,1
376,823,1
376,975,1
376,1078,1
378,438,1
379,411,1
379,442,1
379,588,1
379,861,1
379,967,1
379,1328,1
379,1374,1
380,439,1
380,1098,1
381,393,1
381,783,1
382,468,1
383,1175,1
383,1199,1
384,495,1
384,679,1
384,1465,1
392,737,1
394,1236,1
395,481,1
395,514,1
395,763,1
401,705,1
409,955,1
409,980,1
409,1120,1
409,1154,1
410,879,1
410,1099,1
410,1124,1
410,1304,1
413,661,1
414,912,1
416,489,1
416,659,1
422,433,1
424,738,1
424,1159,1
424,1255,1
425,545,1
