source,target,weight
0,1,1
0,3,1
0,4,1
0,7,1
0,13,1
0,37,1
0,49,1
0,53,1
0,63,1
0,107,1
0,117,1
0,125,1
0,140,1
0,158,1
0,161,1
0,171,1
0,179,1
0,206,1
0,219,1
0,224,1
0,261,1
0,276,1
0,277,1
0,290,1
0,311,1
0,332,1
0,333,1
0,424,1
0,498,1
0,525,1
0,568,1
0,579,1
0,660,1
0,678,1
0,700,1
0,712,1
0,759,1
0,851,1
0,902,1
0,944,1
0,962,1
0,1107,1
0,1125,1
0,1159,1
0,1184,1
0,1276,1
0,1284,1
0,1387,1
0,1409,1
1,2,1
1,5,1
1,925,1
1,1366,1
2,427,1
2,1078,1
3,4,1
3,6,1
3,21,1
3,36,1
3,73,1
3,102,1
3,113,1
3,149,1
3,207,1
3,253,1
3,266,1
3,289,1
3,361,1
3,458,1
3,508,1
3,623,1
3,767,1
3,1077,1
3,1212,1
3,1258,1
4,8,1
4,9,1
4,31,1
4,34,1
4,39,1
4,45,1
4,46,1
4,58,1
4,76,1
4,86,1
4,115,1
4,123,1
4,170,1
4,222,1
4,233,1
4,347,1
4,367,1
4,370,1
4,396,1
4,472,1
4,485,1
4,505,1
4,575,1
4,617,1
4,726,1
4,751,1
4,812,1
4,816,1
4,903,1
4,931,1
4,979,1
4,1020,1
4,1114,1
4,1216,1
4,1231,1
4,1354,1
4,1424,1
5,60,1
5,106,1
5,384,1
6,14,1
6,54,1
6,100,1
6,192,1
6,282,1
6,414,1
6,417,1
6,421,1
6,447,1
6,714,1
6,790,1
6,901,1
6,997,1
6,1361,1
7,10,1
7,15,1
7,23,1
7,51,1
7,203,1
7,234,1
7,254,1
7,273,1
7,339,1
7,376,1
7,418,1
7,476,1
7,532,1
7,574,1
7,618,1
7,624,1
7,671,1
7,692,1
7,699,1
7,786,1
7,935,1
7,1140,1
7,1206,1
7,1305,1
7,1446,1
8,11,1
8,15,1
8,22,1
8,26,1
8,27,1
8,28,1
8,38,1
8,52,1
8,72,1
8,88,1
8,95,1
8,187,1
8,263,1
8,271,1
8,363,1
8,385,1
8,413,1
8,434,1
8,514,1
8,527,1
8,529,1
8,740,1
8,822,1
8,971,1
8,1086,1
8,1405,1
9,25,1
9,80,1
9,103,1
9,177,1
9,206,1
9,274,1
9,723,1
10,12,1
10,16,1
10,63,1
10,122,1
10,143,1
10,398,1
10,405,1
10,500,1
10,652,1
10,787,1
10,838,1
12,18,1
12,19,1
12,47,1
12,217,1
12,465,1
12,570,1
12,696,1
12,773,1
12,1156,1
12,1304,1
13,14,1
13,32,1
13,35,1
13,41,1
13,45,1
13,55,1
13,66,1
13,71,1
13,82,1
13,104,1
13,110,1
13,118,1
13,132,1
13,152,1
13,159,1
13,210,1
13,293,1
13,296,1
13,305,1
13,379,1
13,411,1
13,546,1
13,564,1
13,576,1
13,628,1
13,643,1
13,697,1
13,778,1
13,863,1
13,875,1
13,949,1
13,1287,1
13,1343,1
13,1395,1
13,1449,1
14,17,1
14,91,1
14,99,1
14,229,1
14,349,1
14,406,1
14,483,1
14,578,1
14,602,1
14,711,1
14,930,1
14,1301,1
14,1375,1
15,20,1
15,33,1
15,43,1
15,65,1
15,68,1
15,83,1
15,119,1
15,124,1
15,144,1
15,169,1
15,174,1
15,190,1
15,209,1
15,237,1
15,279,1
15,302,1
15,318,1
15,341,1
15,509,1
15,535,1
15,584,1
15,601,1
15,615,1
15,663,1
15,708,1
15,709,1
15,829,1
15,883,1
15,999,1
15,1093,1
15,1129,1
15,1171,1
15,1320,1
15,1368,1
15,1384,1
15,1490,1
15,1498,1
16,1309,1
17,30,1
17,40,1
17,456,1
17,1157,1
18,24,1
18,108,1
18,164,1
18,230,1
18,236,1
18,468,1
18,693,1
18,877,1
18,961,1
18,1026,1
18,1065,1
19,80,1
19,1349,1
20,29,1
20,69,1
20,138,1
20,148,1
20,172,1
20,243,1
20,322,1
20,467,1
20,499,1
20,547,1
20,562,1
20,590,1
20,719,1
20,737,1
20,742,1
20,793,1
20,884,1
20,934,1
20,1050,1
20,1112,1
20,1115,1
20,1329,1
21,35,1
21,41,1
21,59,1
21,150,1
21,227,1
21,451,1
21,488,1
21,573,1
21,722,1
21,748,1
21,1102,1
22,94,1
22,175,1
22,191,1
22,250,1
22,338,1
22,490,1
22,781,1
23,50,1
23,53,1
23,57,1
23,75,1
23,362,1
23,1410,1
24,372,1
25,693,1
26,42,1
26,56,1
26,131,1
26,185,1
26,410,1
26,1223,1
27,48,1
27,134,1
27,176,1
28,105,1
28,552,1
28,893,1
29,1197,1
30,77,1
30,287,1
30,340,1
30,511,1
30,1274,1
31,129,1
31,513,1
31,1495,1
32,614,1
32,919,1
33,42,1
33,62,1
33,130,1
33,205,1
33,248,1
33,286,1
33,304,1
33,611,1
33,804,1
34,787,1
34,806,1
34,841,1
34,1475,1
35,200,1
35,1234,1
36,59,1
36,113,1
36,312,1
36,353,1
36,399,1
36,462,1
36,725,1
36,818,1
36,1081,1
36,1236,1
37,85,1
37,260,1
37,1058,1
39,98,1
39,288,1
39,326,1
39,673,1
39,891,1
40,70,1
40,166,1
40,201,1
40,247,1
40,291,1
40,481,1
40,523,1
40,661,1
40,694,1
40,728,1
40,1019,1
41,61,1
41,114,1
41,142,1
41,162,1
41,184,1
41,213,1
41,368,1
41,592,1
41,635,1
41,665,1
41,670,1
41,710,1
41,831,1
41,855,1
41,1068,1
41,1119,1
41,1144,1
41,1149,1
41,1176,1
41,1254,1
41,1259,1
41,1279,1
41,1326,1
41,1334,1
41,1398,1
41,1403,1
41,1458,1
41,1471,1
42,44,1
42,92,1
42,310,1
42,939,1
42,1044,1
43,199,1
43,295,1
43,382,1
43,622,1
43,703,1
44,67,1
44,89,1
45,371,1
45,437,1
45,627,1
45,666,1
45,814,1
45,1296,1
47,136,1
47,138,1
47,1250,1
48,93,1
48,109,1
48,593,1
49,225,1
49,453,1
49,556,1
49,717,1
49,788,1
49,878,1
49,889,1
49,1185,1
49,1332,1
49,1436,1
50,78,1
51,96,1
51,120,1
51,165,1
51,239,1
51,369,1
51,445,1
51,496,1
51,503,1
51,550,1
51,680,1
51,686,1
51,732,1
51,809,1
51,871,1
51,1049,1
51,1362,1
51,1390,1
51,1428,1
52,64,1
52,168,1
52,195,1
52,226,1
52,246,1
52,388,1
52,423,1
53,81,1
53,137,1
53,834,1
53,981,1
54,146,1
54,147,1
54,634,1
54,945,1
55,79,1
55,133,1
55,135,1
55,160,1
55,358,1
55,475,1
55,581,1
55,720,1
55,734,1
55,802,1
56,354,1
56,510,1
57,231,1
57,284,1
57,763,1
58,321,1
58,796,1
59,74,1
59,90,1
59,116,1
59,167,1
59,197,1
59,268,1
59,325,1
59,401,1
59,429,1
59,487,1
59,653,1
59,847,1
59,1072,1
60,1303,1
61,655,1
63,180,1
63,345,1
63,365,1
63,381,1
63,835,1
63,846,1
63,862,1
63,897,1
63,914,1
63,1056,1
63,1057,1
63,1311,1
67,112,1
67,126,1
67,153,1
67,188,1
67,314,1
67,344,1
67,346,1
67,386,1
67,393,1
67,408,1
67,478,1
67,519,1
67,1069,1
67,1071,1
67,1113,1
67,1189,1
67,1391,1
68,337,1
68,504,1
68,995,1
68,1437,1
71,493,1
73,81,1
73,599,1
73,794,1
74,1095,1
75,145,1
75,215,1
75,306,1
75,308,1
75,558,1
75,566,1
75,839,1
75,849,1
75,1188,1
75,1252,1
75,1341,1
76,97,1
76,121,1
76,127,1
76,156,1
76,1422,1
78,356,1
78,448,1
78,608,1
78,1443,1
79,251,1
79,992,1
80,241,1
80,495,1
80,619,1
81,218,1
81,402,1
81,443,1
81,554,1
81,585,1
81,715,1
81,854,1
81,1007,1
81,1091,1
82,482,1
82,1474,1
83,84,1
83,359,1
83,557,1
83,969,1
83,1054,1
84,86,1
84,214,1
84,320,1
84,528,1
84,727,1
84,766,1
84,1076,1
84,1261,1
84,1445,1
85,203,1
85,477,1
85,859,1
86,87,1
86,494,1
86,817,1
86,894,1
86,1033,1
86,1221,1
86,1430,1
87,258,1
87,315,1
87,328,1
87,466,1
87,1018,1
88,232,1
90,352,1
90,436,1
90,1016,1
91,144,1
91,1013,1
92,228,1
94,101,1
94,193,1
94,491,1
94,881,1
94,965,1
94,1379,1
95,1067,1
95,1190,1
96,543,1
96,768,1
96,861,1
97,844,1
99,183,1
99,1181,1
100,924,1
101,128,1
101,565,1
101,1331,1
102,300,1
102,770,1
104,181,1
104,471,1
104,1003,1
104,1174,1
105,283,1
105,330,1
105,540,1
105,1342,1
106,309,1
106,375,1
106,724,1
108,117,1
108,278,1
