Node,NeighborhoodCentrality
0,10
1,3
2,4
3,4
4,4
5,4
6,3
7,3
8,10
9,3
10,5
11,9
12,3
13,3
14,4
15,5
16,4
17,4
18,3
19,4
20,4
21,7
22,6
23,7
24,2
25,3
26,9
27,3
28,3
29,3
30,3
31,4
32,4
33,3
34,3
35,3
36,3
37,3
38,5
39,19
40,7
41,47
42,21
43,20
44,15
45,11
46,15
47,5
48,21
49,17
50,11
51,11
52,46
53,22
54,55
55,18
56,36
57,20
58,27
59,43
60,28
61,17
62,34
63,30
64,14
65,25
66,23
67,29
68,26
69,24
70,31
71,23
72,21
73,23
74,11
75,25
76,17
77,40
78,25
79,11
80,7
81,15
82,27
83,22
84,44
85,28
86,15
87,37
88,36
89,48
90,22
91,21
92,60
93,25
94,19
95,30
96,21
97,24
98,36
99,34
100,40
101,35
102,67
103,39
104,36
105,7
106,11
107,30
108,33
109,30
110,18
111,21
112,54
113,36
114,7
115,15
116,44
117,32
118,14
119,65
120,22
121,43
122,33
123,33
124,37
125,34
126,77
127,84
128,61
129,75
130,17
131,16
132,26
133,14
134,23
135,45
136,32
137,55
138,19
139,26
140,36
141,19
142,29
143,48
144,13
145,25
146,53
147,19
148,26
149,37
150,35
151,17
152,28
153,28
154,18
155,17
156,25
157,18
158,33
159,41
160,28
161,15
162,40
163,11
164,20
165,11
166,17
167,16
168,35
169,17
170,16
171,18
172,26
173,37
174,12
175,32
176,22
177,26
178,14
179,20
180,24
181,18
182,42
183,31
184,22
185,23
186,52
187,18
188,63
189,9
190,8
191,16
192,14
193,2
194,120
195,132
196,139
197,22
198,16
199,12
200,4
201,2
202,5
203,3
204,3
205,10
206,18
207,10
208,9
209,3
210,3
211,5
212,4
213,3
214,1
215,1
216,4
