NodeId,X,Y
0,50,50
1,950,50
2,950,950
3,950,50
4,50,50
5,50,950
6,950,50
7,950,950
8,50,50
9,50,950
10,950,50
11,50,950
12,950,50
13,950,50
14,950,950
15,50,50
16,50,950
17,950,950
18,50,50
19,950,950
20,50,950
21,950,950
22,950,950
23,950,950
24,950,950
25,950,950
26,50,950
27,50,950
28,950,950
29,950,50
30,950,50
31,50,950
32,50,950
33,950,50
34,50,950
35,50,950
36,50,50
37,50,50
38,950,950
39,50,950
40,50,950
41,437.0504,584.59906
42,233.35652,945.57623
43,281.9069,131.58713
44,50,50
45,50,950
46,50,950
47,50,50
48,50,742.06274
49,50,950
50,50,50
51,517.6467,629.0109
52,435.5797,368.71844
53,950,50
54,411.85513,489.71033
55,950,50
56,315.297,412.92593
57,950,50
58,566.0231,370.97116
59,465.81137,476.0985
60,542.37897,533.4297
61,950,950
62,458.25363,486.3026
63,634.3939,177.43073
64,50,50
65,756.27527,950
66,340.8389,580.22186
67,341.43307,380.64832
68,704.25464,307.46823
69,266.60727,50
70,245.49947,294.50577
71,326.1167,456.9776
72,569.03143,618.40186
73,620.04095,507.14737
74,950,50
75,950,950
76,895.22986,250.46521
77,950,50
78,950,50
79,50,50
80,50,950
81,50,950
82,637.4944,50
83,724.4705,569.23224
84,151.3381,393.20782
85,374.71313,534.03577
86,950,950
87,246.90659,271.94318
88,519.09845,224.26654
89,496.43088,296.0794
90,640.53485,525.591
91,50,50
92,453.0024,487.68976
93,707.4821,570.6381
94,371.27512,239.0807
95,609.28156,835.3328
96,603.72095,169.36655
97,730.2177,443.22687
98,120.59242,50
99,500.91586,497.947
100,397.71793,287.9527
101,234.03923,353.4322
102,950,878.5315
103,334.77875,207.98503
104,524.36456,950
105,50,50
106,527.321,329.3297
107,660.4651,324.31403
108,472.08917,486.60425
109,288.9723,176.08652
110,950,950
111,277.82413,294.84436
112,950,612.01465
113,595.73065,85.01164
114,50,950
115,50,950
116,578.48346,323.77664
117,347.8507,499.6784
118,321.65433,496.3446
119,950,50
120,950,50
121,500.8325,570.47974
122,482.40237,149.19937
123,409.66592,428.7029
124,410.71683,50
125,463.53778,459.5398
126,355.2223,215.5982
127,385.523,678.6934
128,429.00995,485.50833
129,602.5195,615.84985
130,50,50
131,924.78723,50
132,454.89075,745.88074
133,950,50
134,532.86304,473.85425
135,50,950
136,346.37225,321.32227
137,352.0367,691.0091
138,412.93643,566.1974
139,362.87875,476.53748
140,672.0095,202.32256
141,457.28824,345.2755
142,451.088,475.4871
143,354.9327,179.10834
144,50,950
145,950,50
146,544.427,466.16028
147,732.7724,409.65033
148,375.98608,389.94766
149,605.3037,167.05634
150,539.8099,291.48965
151,584.00464,469.40927
152,717.69214,380.58557
153,818.88745,403.13657
154,658.5822,360.34232
155,50,50
156,339.45514,50
157,524.27936,589.42126
158,950,301.3287
159,410.6046,600.29504
160,523.3197,537.98083
161,50,50
162,616.0823,600.6708
163,750.9183,309.0436
164,50,171.97845
165,50,50
166,950,950
167,245.62671,323.1526
168,499.88998,495.70282
169,50,50
170,950,50
171,950,536.41315
172,50,50
173,771.14233,393.21085
174,50,50
175,474.7589,553.58453
176,50,50
177,429.13034,284.9111
178,50,950
179,950,218.31906
180,401.46118,433.13535
181,457.13663,589.4123
182,50,308.5852
183,415.16284,564.7207
184,73.767204,950
185,798.4125,330.71344
186,294.09024,50
187,50,950
188,474.85226,298.9816
189,50,50
190,50,50
191,411.21533,554.0277
192,318.1603,50
193,950,50
194,950,950
195,294.97488,372.6099
196,431.5078,381.18085
197,950,50
198,950,950
199,950,950
200,950,50
201,50,950
202,50,50
203,950,950
204,950,50
205,50,950
206,950,950
207,950,950
208,50,50
209,950,50
210,50,950
211,950,950
212,950,50
213,950,950
214,50,950
215,50,950
216,50,950
